Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,212.5,215.3,212.25,214.25,3.025,+1.43%,639646
06/07/2023,210.55,212.8,209.55,211.225,2.975,+1.43%,870783
06/06/2023,208.25,208.25,208.25,208.25,0,0.00%,0
06/05/2023,208.25,211.25,208,208.25,1.425,+0.69%,1297207
06/02/2023,204.55,208.3,204.3,206.825,3.825,+1.88%,371525
06/01/2023,201.4,203.2,200.7,203,1.19,+0.59%,162717
05/31/2023,200.5,202.1,199,201.81,-0.265,-0.13%,670005
05/30/2023,204,205.8,202,202.075,-2.125,-1.04%,9821739
05/26/2023,202.25,204.55,201.6,204.2,2.635,+1.31%,193033
05/25/2023,201.5,202.6,198.74,201.565,-0.465,-0.23%,390900
05/24/2023,206.35,206.494,200.8,202.03,-6.445,-3.09%,480439
05/23/2023,208.55,209.2,207.5,208.475,-0.3,-0.14%,215368
05/22/2023,209.05,209.75,208.093,208.775,1.4,+0.68%,409865
05/19/2023,207.25,209.15,206.85,207.375,2.725,+1.33%,456943
05/18/2023,204.65,204.65,204.65,204.65,0,0.00%,0
05/17/2023,204,204.65,201.95,204.65,0,0.00%,1275294
05/16/2023,206.9,207.1,204.35,204.65,-2.325,-1.12%,153519
05/15/2023,207.75,207.9,205.9,206.975,0.525,+0.25%,416352
05/12/2023,206.75,207.2,204.8,206.45,2.25,+1.10%,368511
05/11/2023,204.7,206.5,202.4,204.2,1.645,+0.81%,1845086
05/10/2023,206.65,207.35,202.555,202.555,-2.27,-1.11%,660109
05/09/2023,206.55,207.05,203.35,204.825,-0.125,-0.06%,5329116
05/05/2023,202.45,205.376,200.75,204.95,3.385,+1.68%,729579
05/04/2023,202,204.3,200.45,201.565,-1.385,-0.68%,1145641
05/03/2023,205.7,207.4,201.8,202.95,-6.85,-3.27%,1188086
05/02/2023,212,212,207.8,209.8,-0.6,-0.29%,1151358
04/28/2023,210.75,211.45,208.4,210.4,1.125,+0.54%,438855
04/27/2023,211.85,212.1,208.3,209.275,-1.375,-0.65%,424104
04/26/2023,210.7,211.242,208.2,210.65,-2.15,-1.01%,1570975
04/25/2023,215.1,215.1,211.2,212.8,-1.55,-0.72%,380800
04/24/2023,212.05,215.7,211.85,214.35,2.6,+1.23%,769235
04/21/2023,212.55,214.75,210.6,211.75,0.275,+0.13%,380367
04/20/2023,213.55,214.043,209.15,211.475,1.275,+0.61%,1093342
04/19/2023,212.1,212.65,208.4,210.2,-2.875,-1.35%,9834228
04/18/2023,212.9,213.5,211.15,213.075,1.4,+0.66%,1033008
04/17/2023,211.5,213.05,211.1,211.675,0.775,+0.37%,379314
04/14/2023,210.65,211.2,208.95,210.9,1.4,+0.67%,2856691
04/13/2023,209.2,210.5,207.6,209.5,0.525,+0.25%,1916891
04/12/2023,211.15,212.9,207.65,208.975,14.105,+7.24%,2711480
04/11/2023,194.86,196.18,193.4,194.87,5.89,+3.12%,4115751
04/06/2023,191.31,192.84,188.98,188.98,0,0.00%,14206971
04/05/2023,200.55,200.864,188.98,188.98,-26.37,-12.25%,670290
04/04/2023,215.15,218.375,214.95,215.35,1.375,+0.64%,1591304
04/03/2023,213.85,215.25,204.7,213.975,1.425,+0.67%,7596071
03/31/2023,210.75,214.6,209.35,212.55,1.925,+0.91%,15561631
03/30/2023,206.45,211.15,206.25,210.625,6.25,+3.06%,7122417
03/29/2023,204.65,204.726,203.5,204.375,1.65,+0.81%,218747
03/28/2023,203,203.4,202.1,202.725,2.555,+1.28%,24313579
03/27/2023,200.75,201.25,198.08,200.17,1.925,+0.97%,19927978
03/24/2023,200.35,200.7,196.54,198.245,-4.285,-2.12%,4769395
03/23/2023,202.9,203.25,200.15,202.53,-0.84,-0.41%,940469
03/22/2023,202.6,204.9,202.6,203.37,-1.105,-0.54%,4829021
03/21/2023,200.45,204.475,199.9,204.475,4.695,+2.35%,13860053
03/20/2023,194.58,199.82,190.94,199.78,3.495,+1.78%,594125
03/17/2023,200.15,202,194.42,196.285,-3.25,-1.63%,732141
03/16/2023,199.4,200.05,194.48,199.535,-6.015,-2.93%,577950
03/15/2023,205.55,206.113,195.66,205.55,-0.85,-0.41%,5721807
03/14/2023,201.8,207.9,201.3,206.4,2.955,+1.45%,439343
03/13/2023,209,210.046,201.3,203.445,-5.955,-2.84%,1114834
03/10/2023,212.05,213.1,208.45,209.4,-7.225,-3.34%,448683
03/09/2023,216.75,217.3,214.15,216.625,-0.425,-0.20%,3288919
03/08/2023,216.45,218.05,216.15,217.05,-2.1,-0.96%,130438
03/07/2023,218.8,219.65,216.95,219.15,0.275,+0.13%,1946906
03/06/2023,218.7,219.3,217.4,218.875,2.225,+1.03%,1398005
03/03/2023,213.9,217.9,213.279,216.65,4.2,+1.98%,3758742
03/02/2023,210.4,213.15,209.85,212.45,1.2,+0.57%,447216
03/01/2023,211.2,213.2,209.9,211.25,3.3,+1.59%,9049839
02/28/2023,206.05,209.81,206.05,207.95,1.9,+0.92%,1116414
02/27/2023,205.8,207.8,205.5,206.05,-0.3,-0.15%,572779
02/24/2023,208.95,209.2,204.6,206.35,-0.55,-0.27%,379701
02/23/2023,207.15,208.7,206.5,206.9,1.625,+0.79%,1156000
02/22/2023,205,206.7,203.45,205.275,-1.8,-0.87%,3176845
02/21/2023,207.25,208.5,205.45,207.075,-0.7,-0.34%,209626
02/20/2023,210,210.25,207.15,207.775,-0.8,-0.38%,380984
02/17/2023,206.3,210.25,206.3,208.575,1.45,+0.70%,1274345
02/16/2023,210.1,210.6,207.05,207.125,-1.275,-0.61%,1684858
02/15/2023,204.3,208.55,203.2,208.4,2,+0.97%,310932
02/14/2023,206.55,207.1,205.05,206.4,1.75,+0.86%,2944223
02/13/2023,205.4,206.35,204.65,204.65,0.3,+0.15%,111492
02/10/2023,206.85,206.9,202.9,204.35,-2.575,-1.24%,378720
02/09/2023,207.25,208.7,205.55,206.925,0.7,+0.34%,1253816
02/08/2023,206.075,206.9,205,206.225,-1.125,-0.54%,287938
02/07/2023,207.2,208.8,206.7,207.35,-0.75,-0.36%,170205
02/06/2023,210.2,210.2,206.6,208.1,-1.975,-0.94%,310719
02/03/2023,210,210.85,208.25,210.075,-3.5,-1.64%,2714480
02/02/2023,209.15,213.8,209.15,213.575,6.45,+3.11%,421291
02/01/2023,207.15,209.1,207.125,207.125,1.3,+0.63%,297085
01/31/2023,206.1,207.05,205,205.825,0.375,+0.18%,716783
01/30/2023,205.25,207.05,204.85,205.45,-0.15,-0.07%,535247
01/27/2023,203.95,207.45,203.5,205.6,3.745,+1.86%,528354
01/26/2023,200.7,203.2,196.34,201.855,-4.795,-2.32%,2178225
01/25/2023,206.4,209.55,205.4,206.65,1.825,+0.89%,626800
01/24/2023,204.55,206.65,203.55,204.825,1.66,+0.82%,378554
01/23/2023,203,204.65,202.35,203.165,1.41,+0.70%,367966
01/20/2023,200.2,202.05,198.42,201.755,1.085,+0.54%,1068350
01/19/2023,200.35,201.8,198.4,200.67,-3.955,-1.93%,1393029
01/18/2023,202.4,204.85,201.8,204.625,3.265,+1.62%,709624
01/17/2023,201.5,201.95,199.62,201.36,0.25,+0.12%,499943
01/16/2023,200.6,201.9,199.44,201.11,0.51,+0.25%,613018
01/13/2023,200.6,201.35,199.02,200.6,-0.94,-0.47%,366781
01/12/2023,199.56,202.05,198.66,201.54,3.985,+2.02%,663872
01/11/2023,195.62,199.12,195.5,197.555,2.565,+1.32%,505770
01/10/2023,197.405,197.5,193.3,194.99,-2.675,-1.35%,669200
01/09/2023,195.84,200.75,195.16,197.665,3.975,+2.05%,997079
01/06/2023,193.69,193.69,193.69,193.69,0,0.00%,0
01/05/2023,192.42,193.69,190.78,193.69,0,0.00%,64791
01/04/2023,191.32,193.86,190.86,193.69,1.94,+1.01%,333552
01/03/2023,191.66,194.8,191.64,191.75,0.996,+0.52%,207027
01/02/2023,189.56,191.899,189.22,190.754,1.464,+0.77%,75433
12/30/2022,189.44,190.18,188.4,189.29,1.07,+0.57%,63442
12/29/2022,188,190.06,188,188.22,-1.01,-0.53%,95407
12/28/2022,191.06,191.5,188.8,189.23,0.41,+0.22%,233827
12/23/2022,189.06,190.08,188.32,188.82,-0.77,-0.41%,151784
12/22/2022,191.6,192.02,188.24,189.59,-1.24,-0.65%,60240
12/21/2022,188.86,191.019,188.34,190.83,2.83,+1.51%,403606
12/20/2022,188.04,189.16,186.88,188,-2.16,-1.14%,319796
12/19/2022,190.04,190.92,189.16,190.16,0.99,+0.52%,171256
12/16/2022,191.34,192.56,189.12,189.17,-3.69,-1.91%,497755
12/15/2022,194.72,194.94,190.98,192.86,-2.72,-1.39%,273072
12/14/2022,197.82,198.22,195.24,195.58,-2.3,-1.16%,367097
12/13/2022,194.1,199.04,193.84,197.88,4.45,+2.30%,389919
12/12/2022,192.54,193.43,191.5,193.43,-0.75,-0.39%,155444
