Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,66.98,67.28,66.46,67.03,-0.21,-0.31%,469779
06/07/2023,67.86,68.58,67.02,67.24,-2.03,-2.93%,196424
06/06/2023,68.36,69.27,67.84,69.27,1.45,+2.14%,1294657
06/05/2023,68.4,68.78,67.8,67.82,-1.04,-1.51%,296193
06/02/2023,68.68,68.86,68.16,68.86,0.34,+0.50%,273637
06/01/2023,67.52,68.68,67.52,68.52,1.43,+2.13%,320378
05/31/2023,66.94,68.64,66.76,67.09,-1.1,-1.61%,3387546
05/30/2023,67.68,68.64,67,68.19,0.79,+1.17%,272112
05/26/2023,66.7,67.42,66,67.4,0.35,+0.52%,219645
05/25/2023,66.62,67.1,66.346,67.05,0.92,+1.39%,476962
05/24/2023,65.9,66.42,65.4,66.13,-0.9,-1.34%,1423276
05/23/2023,67.64,67.64,66.37,67.03,-1.05,-1.54%,284128
05/22/2023,67.86,68.08,67.8,68.08,-0.05,-0.07%,62853
05/19/2023,68.2,68.2,67.6,68.13,0.09,+0.13%,1191251
05/18/2023,67.36,68.04,67.36,68.04,1.53,+2.30%,52077
05/17/2023,66.5,66.748,66.34,66.51,-0.35,-0.52%,487602
05/16/2023,66.36,67.88,66.22,66.86,0.88,+1.33%,80696
05/15/2023,66.14,66.368,65.6,65.98,-0.06,-0.09%,72203
05/12/2023,65.92,66.28,65.56,66.04,0.67,+1.02%,139220
05/11/2023,64.76,65.84,64.56,65.37,0.99,+1.54%,737767
05/10/2023,64,65,63.46,64.38,1.43,+2.27%,293586
05/09/2023,63.08,63.668,62.46,62.95,0.34,+0.54%,988704
05/05/2023,62.44,62.806,61.92,62.61,0.14,+0.22%,217550
05/04/2023,63.32,63.32,61.82,62.47,-0.64,-1.01%,235792
05/03/2023,63.1,63.38,62.54,63.11,0.09,+0.14%,280210
05/02/2023,64,64,62.84,63.02,-0.23,-0.36%,71482
04/28/2023,63.46,63.746,62.905,63.25,0.1,+0.16%,74791
04/27/2023,63.02,63.6,63,63.15,0.25,+0.40%,48648
04/26/2023,62.5,63.26,61.9,62.9,0.4,+0.64%,231637
04/25/2023,62.58,63,62.097,62.5,-0.69,-1.09%,174503
04/24/2023,62.74,63.54,62.7,63.19,0.81,+1.30%,66704
04/21/2023,62.58,62.728,61.68,62.38,-0.11,-0.18%,70075
04/20/2023,62.46,62.72,61.9,62.49,0.12,+0.19%,124752
04/19/2023,62.32,62.74,62.32,62.37,0.33,+0.53%,185445
04/18/2023,62.1,62.64,62,62.04,0.69,+1.12%,301987
04/17/2023,61.3,61.987,61.3,61.35,0.34,+0.56%,94371
04/14/2023,61.14,61.36,60.96,61.01,0.02,+0.03%,371554
04/13/2023,60.22,61.1,60.22,60.99,0.52,+0.86%,377290
04/12/2023,60.52,60.86,60.233,60.47,-0.41,-0.67%,92573
04/11/2023,61.58,61.88,60.34,60.88,-0.82,-1.33%,147727
04/06/2023,61.28,61.98,60.88,61.7,0.64,+1.05%,227700
04/05/2023,61,61.3,60.84,61.06,-0.53,-0.86%,30654
04/04/2023,61.44,61.96,61.22,61.59,0.22,+0.36%,546133
04/03/2023,61.7,61.7,60.9,61.37,0.22,+0.36%,102391
03/31/2023,61.8,61.8,60.158,61.15,0.43,+0.71%,192534
03/30/2023,59.5,60.72,59.4,60.72,1.89,+3.21%,130043
03/29/2023,58.78,59.015,58.46,58.83,0.38,+0.65%,61219
03/28/2023,59.14,59.18,58.28,58.45,0.07,+0.12%,862922
03/27/2023,58.4,58.68,57.84,58.38,0.66,+1.14%,934477
03/24/2023,58.12,58.46,57.5,57.72,-1.34,-2.27%,192691
03/23/2023,57.76,59.06,57.7,59.06,0.18,+0.31%,88697
03/22/2023,59.02,59.34,58.74,58.88,-0.13,-0.22%,193397
03/21/2023,58.92,59.46,58.72,59.01,0.49,+0.84%,308388
03/20/2023,58.34,58.52,57.6,58.52,-0.31,-0.53%,478470
03/17/2023,59.86,60.04,58.313,58.83,-0.8,-1.34%,209785
03/16/2023,59.24,59.63,58.1,59.63,-0.64,-1.06%,145897
03/15/2023,60.18,60.27,57.52,60.27,-0.25,-0.41%,236480
03/14/2023,58.58,60.64,58.58,60.52,1.8,+3.07%,63060
03/13/2023,60.16,64.963,57.98,58.72,-1.49,-2.47%,588364
03/10/2023,60.5,60.96,60.18,60.21,-1.52,-2.46%,145453
03/09/2023,61.62,62,61.2,61.73,-0.13,-0.21%,215517
03/08/2023,61.84,62.24,61.72,61.86,0.47,+0.77%,120320
03/07/2023,61.36,61.8,61.06,61.39,-0.15,-0.24%,277518
03/06/2023,61.52,61.92,61.34,61.54,0.14,+0.23%,49917
03/03/2023,60.66,61.58,60.6,61.4,0.94,+1.55%,119480
03/02/2023,60.06,60.5,59.2,60.46,-0.1,-0.17%,765987
03/01/2023,59.96,60.94,59.4,60.56,1.79,+3.05%,737884
02/28/2023,57.6,59.403,57.4,58.77,1,+1.73%,479402
02/27/2023,57.56,58.54,57.54,57.77,0.82,+1.44%,168092
02/24/2023,57.34,57.86,56.64,56.95,1.04,+1.86%,371698
02/23/2023,55.28,56,55.04,55.91,1.15,+2.10%,313751
02/22/2023,54.68,55.24,54.58,54.76,-0.17,-0.31%,274921
02/21/2023,55.48,55.68,54.74,54.93,-0.88,-1.58%,99292
02/20/2023,57.16,57.16,55.81,55.81,-1.82,-3.16%,63010
02/17/2023,57.28,57.7,56.8,57.63,0.03,+0.05%,180275
02/16/2023,59.3,59.54,57.44,57.6,-1.22,-2.07%,598087
02/15/2023,59.02,59.86,58.2,58.82,-0.42,-0.71%,158718
02/14/2023,58.92,59.28,58.64,59.24,0.75,+1.28%,400750
02/13/2023,58.1,58.82,57.62,58.49,0.07,+0.12%,36242
02/10/2023,59.86,59.86,57.72,58.42,-1.89,-3.13%,204580
02/09/2023,60.1,60.64,60.073,60.31,-0.13,-0.22%,115765
02/08/2023,59.88,60.48,59.72,60.44,1.22,+2.06%,165452
02/07/2023,60.74,60.8,59.2,59.22,-1.62,-2.66%,456962
02/06/2023,60.9,61.32,60.44,60.84,-0.19,-0.31%,209057
02/03/2023,60.18,61.747,59.64,61.03,0.56,+0.93%,291282
02/02/2023,58.68,60.8,57.72,60.47,2.62,+4.53%,427383
02/01/2023,57.74,58.1,57.42,57.85,0.06,+0.10%,275651
01/31/2023,57.62,57.88,57.04,57.79,0.08,+0.14%,170848
01/30/2023,58.06,58.18,57.36,57.71,-0.39,-0.67%,431264
01/27/2023,58.04,58.507,57.76,58.1,0.13,+0.22%,23972
01/26/2023,58.66,58.66,57.78,57.97,-0.25,-0.43%,1001753
01/25/2023,57.46,59.06,57.28,58.22,1.46,+2.57%,1045569
01/24/2023,56.9,57.14,56.3,56.76,0.48,+0.85%,366166
01/23/2023,56.96,56.96,56.28,56.28,0.18,+0.32%,97632
01/20/2023,56,56.86,56,56.1,0.26,+0.47%,123044
01/19/2023,56.98,57.02,55.769,55.84,-1.18,-2.07%,102697
01/18/2023,57.18,57.74,56.86,57.02,0.51,+0.90%,153430
01/17/2023,56.4,56.7,55.96,56.51,-0.04,-0.07%,138620
01/16/2023,57.46,57.5,56.3,56.55,-0.28,-0.49%,655997
01/13/2023,56.52,57.72,56.16,56.83,0.86,+1.54%,225489
01/12/2023,54.82,56.48,54.82,55.97,1.6,+2.94%,94708
01/11/2023,54.74,54.74,54.26,54.37,-0.17,-0.31%,530914
01/10/2023,53.86,54.571,53.4,54.54,0.34,+0.63%,1259744
01/09/2023,54.28,54.5,53.7,54.2,0.54,+1.01%,1081407
01/06/2023,52.8,54.2,52.199,53.66,1.32,+2.52%,441987
