Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,654.9,665.7,653.8,662.8,-3.5,-0.53%,2629292
06/07/2023,669.6,673.5,661,666.3,0,0.00%,272164
06/06/2023,668.9,675.2,658.9,666.3,-13.45,-1.98%,586901
06/05/2023,673.5,680.5,669.9,679.75,3.45,+0.51%,152218
06/02/2023,677.7,682.8,670.1,676.3,1.25,+0.19%,222092
06/01/2023,678,682.2,670.1,675.05,2.35,+0.35%,293381
05/31/2023,678.8,685.5,670,672.7,-11.3,-1.65%,178617
05/30/2023,677.6,698.1,674.6,684,1.4,+0.21%,375540
05/26/2023,664.6,687.9,661.6,682.6,30.85,+4.73%,392997
05/25/2023,653.1,659.7,645.9,651.75,28.7,+4.61%,214130
05/24/2023,630.7,631.2,617.3,623.05,-12.95,-2.04%,324011
05/23/2023,642.8,646.1,635,636,-5.75,-0.90%,149360
05/22/2023,641.6,643.9,636.6,641.75,-3.6,-0.56%,514925
05/19/2023,646.1,657,642.6,645.35,4.95,+0.77%,231054
05/18/2023,617,642.1,615.3,640.4,31.25,+5.13%,286993
05/17/2023,602,609.5,600.9,609.15,9.3,+1.55%,676957
05/16/2023,601.6,605.3,598.6,599.85,4.2,+0.71%,98135
05/15/2023,596.4,598.8,593.3,595.65,-2.45,-0.41%,673757
05/12/2023,596.9,600.6,594.2,598.1,1.8,+0.30%,224034
05/11/2023,600.7,604.4,591.2,596.3,-2.85,-0.48%,134891
05/10/2023,587.6,601.1,582.7,599.15,13.4,+2.29%,160333
05/09/2023,592.4,607.134,582.7,585.75,2.85,+0.49%,201058
05/05/2023,578.2,586,575.5,582.9,6.7,+1.16%,134273
05/04/2023,576.1,578.4,569,576.2,4.2,+0.73%,539656
05/03/2023,578,578.2,556.634,572,-1.85,-0.32%,157696
05/02/2023,579.4,582,572.814,573.85,3.35,+0.59%,434766
04/28/2023,573.3,576,565.5,570.5,9.15,+1.63%,196818
04/27/2023,556.1,566.4,548.9,561.35,7.05,+1.27%,143243
04/26/2023,554.3,557.1,545.7,554.3,-11.55,-2.04%,265546
04/25/2023,565.2,570.7,563.4,565.85,-10.35,-1.80%,314237
04/24/2023,575.5,582.8,572.4,576.2,2.55,+0.44%,312281
