Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,731.5,734.5,728.5,731.985,-10.441,-1.41%,501
06/07/2023,742.5,745,735.074,742.426,-6.074,-0.81%,135
06/06/2023,739,751.5,739,748.5,11.5,+1.56%,594
06/05/2023,736,737,733,737,-6.5,-0.87%,592
06/02/2023,739,746.5,737,743.5,9.408,+1.28%,419
06/01/2023,738.5,738.5,730,734.092,12.736,+1.77%,2263
05/31/2023,712,721.572,710.5,721.356,-17.874,-2.42%,6266
05/30/2023,742,742,717.5,739.23,-8.676,-1.16%,761
05/26/2023,743.5,754,743.5,747.906,4.332,+0.58%,1421
05/25/2023,751.5,751.5,741,743.574,-4.416,-0.59%,706
05/24/2023,738,750,738,747.99,0.34,+0.05%,483
05/23/2023,744.5,754,744,747.65,4.724,+0.64%,741
05/22/2023,736,742.926,734,742.926,-2.074,-0.28%,215
05/19/2023,743,747,737.5,745,11.427,+1.56%,685
05/17/2023,739,743,732,733.573,-2.927,-0.40%,1459
05/16/2023,737.5,747.5,732,736.5,-14,-1.87%,2222
05/15/2023,742,753.5,738,750.5,17.353,+2.37%,1292
05/12/2023,732,736,728.5,733.147,12.075,+1.67%,1490
05/11/2023,724,724,715.5,721.072,-2.356,-0.33%,1234
05/10/2023,719.5,726,718,723.428,-1,-0.14%,1393
05/09/2023,719.5,724.5,719,724.428,2.572,+0.36%,826
05/05/2023,702.5,724,702.5,721.856,25.769,+3.70%,678
05/04/2023,687.5,697.5,686.158,696.087,6.003,+0.87%,526
05/03/2023,693,693.5,686.5,690.084,7.652,+1.12%,436
05/02/2023,693.5,697,682.432,682.432,-2.818,-0.41%,649
04/28/2023,684,688,677,685.25,5.182,+0.76%,513
04/27/2023,675,682,673.5,680.068,-5.363,-0.78%,590
04/26/2023,680,685.431,669,685.431,-2.569,-0.37%,803
04/25/2023,697,708.5,686.5,688,-7.746,-1.11%,1405
04/24/2023,689.5,699,687.431,695.746,19.861,+2.94%,1806
04/21/2023,666,684.5,666,675.885,8.818,+1.32%,674
04/20/2023,659.5,671.5,658.493,667.067,1.384,+0.21%,5687
04/19/2023,664,670.5,660,665.683,-10.885,-1.61%,790
04/18/2023,675.5,680.5,673.75,676.568,-0.902,-0.13%,662
04/17/2023,685,685,677.47,677.47,-11.172,-1.62%,557
04/14/2023,680.5,702.5,678.5,688.642,17.906,+2.67%,1023
04/13/2023,663,680,663,670.736,2.669,+0.40%,1092
04/12/2023,673,678.976,665.532,668.067,2.033,+0.31%,653
04/11/2023,655,670.5,655,666.034,15.757,+2.42%,1260
04/06/2023,646.5,652,644.023,650.277,5.361,+0.83%,740
04/05/2023,659,661,634,644.916,-17.443,-2.63%,25264
04/04/2023,664.5,669,661.5,662.359,-0.628,-0.09%,834
04/03/2023,668.5,671,662.5,662.987,-6.08,-0.91%,507
03/31/2023,657,673.5,656.5,669.067,9.773,+1.48%,1536
03/30/2023,648.5,662.5,646,659.294,19.438,+3.04%,880
03/29/2023,637,643.329,637,639.856,2.483,+0.39%,239
03/28/2023,642,642,633.5,637.373,-4.191,-0.65%,1611
03/27/2023,642,644.5,639.5,641.564,2,+0.31%,631
03/24/2023,641,642.5,637,639.564,-3.872,-0.60%,2447
03/23/2023,637,645.5,635.5,643.436,-3.587,-0.55%,2538
03/22/2023,651,651.486,645,647.023,-2.412,-0.37%,245
03/21/2023,648.5,652,647,649.435,5.515,+0.86%,6898
03/20/2023,639,651.5,635,643.92,-3.645,-0.56%,1138
03/17/2023,648.5,649.5,636,647.565,7.416,+1.16%,14723
03/16/2023,637.5,652,635.5,640.149,-3.802,-0.59%,888
03/15/2023,646,647.5,641.5,643.951,-7.196,-1.11%,1184
03/14/2023,656,656,635.5,651.147,-1.252,-0.19%,744
03/13/2023,659,659,643,652.399,-3.667,-0.56%,1307
03/10/2023,656,661.5,653.5,656.066,4.501,+0.69%,548
03/09/2023,656.5,665.5,649.5,651.565,-2.5,-0.38%,557
03/08/2023,646,657.5,643.5,654.065,-1.001,-0.15%,1562
03/07/2023,655,670,655,655.066,-5.579,-0.84%,2155
03/06/2023,662,662,652,660.645,-0.278,-0.04%,996
03/03/2023,660.5,665.5,658.848,660.923,9.358,+1.44%,721
03/02/2023,654,654.5,645.5,651.565,-19.368,-2.89%,1333
03/01/2023,657,675.154,657,670.933,12.399,+1.88%,850
02/28/2023,659,663,653.5,658.534,1.065,+0.16%,546
02/27/2023,653.5,661,653,657.469,7.904,+1.22%,1115
02/24/2023,649,658.5,644.5,649.565,12.755,+2.00%,1993
02/23/2023,657,657,628,636.81,-13.261,-2.04%,6276
02/22/2023,673,674.52,630.5,650.071,-61.5,-8.64%,9326
02/21/2023,711,721,709.5,711.571,-3.866,-0.54%,702
