Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,118.96,122.18,117.118,119.91,-2.51,-2.05%,528490
06/07/2023,125.1,125.28,118.07,122.42,-1.34,-1.08%,220221
06/06/2023,117.84,124.331,117.74,123.76,6.44,+5.49%,196821
06/05/2023,116.572,119.3,116.48,117.32,-1.43,-1.20%,135607
06/02/2023,120.68,121.61,117.882,118.75,0.61,+0.52%,107833
06/01/2023,117.005,120.788,116.61,118.14,-3.46,-2.85%,137993
05/31/2023,123.5,123.905,118.655,121.6,-4.92,-3.89%,165504
05/30/2023,130.455,130.9,123.418,126.52,0.92,+0.73%,271528
05/26/2023,122.415,127.141,120.915,125.6,7.02,+5.92%,201422
05/25/2023,117.85,120.36,115.833,118.58,11.36,+10.60%,2246103
05/24/2023,105.965,107.565,105.7,107.22,-2.23,-2.04%,106560
05/23/2023,107.78,110.988,107.25,109.45,1.6,+1.48%,554343
05/22/2023,104.925,108.779,103.492,107.85,2.09,+1.98%,139490
05/19/2023,107.215,107.23,104.623,105.76,-1.81,-1.68%,159663
05/18/2023,104.13,107.98,103.94,107.57,6.135,+6.05%,209318
05/17/2023,101.805,104.038,100.04,101.435,0.06,+0.06%,196842
05/16/2023,97.33,103.279,97.33,101.375,7.85,+8.39%,230431
05/15/2023,95.175,96.719,93.492,93.525,-1.905,-2.00%,174234
05/12/2023,96.79,97.398,93.738,95.43,-1.32,-1.36%,177789
05/11/2023,98.13,99.15,96.141,96.75,-1.65,-1.68%,136927
05/10/2023,94.492,99.932,94.492,98.4,3.77,+3.98%,3074649
05/09/2023,94.99,96.17,93.479,94.63,7.265,+8.32%,609656
05/05/2023,84.935,90.418,84.758,87.365,4.305,+5.18%,172021
05/04/2023,81.62,91.499,81.11,83.06,0.525,+0.64%,263510
05/03/2023,82.795,85.2,81.41,82.535,-7.03,-7.85%,290962
05/02/2023,89.14,90.255,88.15,89.565,2.42,+2.78%,136335
04/28/2023,87.26,89.338,86.444,87.145,2.115,+2.49%,111164
04/27/2023,86.43,87.02,84.112,85.03,-0.545,-0.64%,99577
04/26/2023,86.51,87.34,85.322,85.575,0.27,+0.32%,133091
04/25/2023,86.96,86.96,84.181,85.305,-2.8,-3.18%,167546
04/24/2023,87.93,88.639,86.365,88.105,-0.42,-0.47%,118239
04/21/2023,89.63,89.68,88.441,88.525,-2.295,-2.53%,100625
04/20/2023,88.822,91.567,88.8,90.82,1.34,+1.50%,88655
04/19/2023,88.4,90.525,88.231,89.48,-2.14,-2.34%,91745
04/18/2023,90.721,92.15,89.665,91.62,1.505,+1.67%,132966
04/17/2023,90.05,90.495,88.335,90.115,-2.02,-2.19%,25018
04/14/2023,91.667,92.97,90.535,92.135,-0.095,-0.10%,83016
