Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,221,233.213,221,233,5,+2.19%,594119
06/07/2023,229,230.823,223.276,228,10,+4.59%,630699
06/06/2023,216.996,220.932,212.577,218,2,+0.93%,513895
06/05/2023,216,221.25,216,216,-0.5,-0.23%,467681
06/02/2023,210,217.24,207.52,216.5,12.5,+6.13%,578875
06/01/2023,203.93,208.43,199.4,204,5.75,+2.90%,475677
05/31/2023,199.1,202.948,195.12,198.25,-1.75,-0.88%,388727
05/30/2023,193.5,204.461,193.5,200,8.75,+4.58%,515489
05/26/2023,185,198.56,184.54,191.25,6.75,+3.66%,639491
05/25/2023,185.6,186.755,180.623,184.5,3.5,+1.93%,2123699
05/24/2023,186,186,178.232,181,-10.25,-5.36%,708014
05/23/2023,189,192.94,186.087,191.25,5.5,+2.96%,641181
05/22/2023,179.5,186.87,179.5,185.75,6.75,+3.77%,519604
05/19/2023,177.6,181.894,176.37,179,4,+2.29%,635195
05/18/2023,175.84,175.851,172.472,175,1.75,+1.01%,406370
05/17/2023,168.94,174.21,166.52,173.25,4.75,+2.82%,653725
05/16/2023,167.196,169.5,164.391,168.5,2.5,+1.51%,467289
05/15/2023,169.287,169.75,164.54,166,-4,-2.35%,580119
05/12/2023,174.803,177.37,167.24,170,1,+0.59%,845483
05/11/2023,169.5,169.959,166.85,169,-0.5,-0.29%,1415623
05/10/2023,172.04,174.383,166.7,169.5,2,+1.19%,448364
05/09/2023,171.79,171.79,166.62,167.5,-1.25,-0.74%,292562
05/05/2023,166.5,170.4,161.2,168.75,6.75,+4.17%,424695
05/04/2023,161.939,162.949,159.651,162,-1,-0.61%,273789
05/03/2023,160,164.99,159.98,163,2,+1.24%,296078
05/02/2023,164,166.5,159.79,161,-1.25,-0.77%,406445
04/28/2023,157.5,165,157.32,162.25,4.75,+3.02%,512711
04/27/2023,155,159.86,152.35,157.5,2.5,+1.61%,427985
04/26/2023,166.5,166.5,153.244,155,-4.5,-2.82%,491035
04/25/2023,160,163.452,158.76,159.5,0,0.00%,464227
