Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,424.3,440.14,424.15,434.83,15.33,+3.65%,5770
06/07/2023,434.559,436.62,418.81,419.5,-12.849,-2.97%,2427
06/06/2023,432.79,437.033,431.245,432.349,-4.624,-1.06%,2031
06/05/2023,433.01,440.025,427.087,436.973,0.743,+0.17%,2736
06/02/2023,426.75,438.382,426.75,436.23,7.715,+1.80%,29354
06/01/2023,412.83,428.94,412.29,428.515,9.345,+2.23%,3413
05/31/2023,413.49,419.89,411.001,419.17,1.605,+0.38%,7597
05/30/2023,429.94,432.88,416.27,417.565,4.671,+1.13%,4906
05/26/2023,396.72,414.852,396.72,412.894,17.082,+4.32%,4424
05/25/2023,372.352,396.07,372.352,395.812,32.031,+8.81%,15448
05/24/2023,370.42,370.42,361.815,363.781,-7.994,-2.15%,32251
05/23/2023,371.49,375.847,370.11,371.775,-0.972,-0.26%,2874
05/22/2023,370.61,374.148,369.91,372.747,5.457,+1.49%,2028
05/19/2023,361.76,368.035,361.76,367.29,8.875,+2.48%,2276
05/18/2023,354.38,360.85,354.38,358.415,-0.035,-0.01%,4681
05/17/2023,345.11,358.5,345.11,358.45,14.56,+4.23%,16426
05/16/2023,344.2,344.59,341.868,343.89,-0.409,-0.12%,1305
05/15/2023,337.35,344.299,333.552,344.299,11.968,+3.60%,22469
05/12/2023,340.23,341.58,332.331,332.331,-8.309,-2.44%,22704
05/11/2023,341.88,343.99,339.56,340.64,-4.93,-1.43%,389603
05/10/2023,348.24,351.595,342.64,345.57,1.23,+0.36%,1194
05/09/2023,342.5,344.88,341.4,344.34,-2.72,-0.78%,103027
05/05/2023,338.96,347.15,338.51,347.06,11.09,+3.30%,3007
05/04/2023,346.97,346.97,332.87,335.97,-14.49,-4.13%,5508
05/03/2023,363.5,365.206,349.868,350.46,-20.485,-5.52%,4449
05/02/2023,374.56,375.38,368.3,370.945,-4.335,-1.16%,1509
04/28/2023,371,375.765,368.96,375.28,3.35,+0.90%,1896
04/27/2023,365.94,371.93,363.06,371.93,8.58,+2.36%,176483
04/26/2023,368.89,368.89,357.221,363.35,-7.075,-1.91%,2687
04/25/2023,374.46,374.608,370.425,370.425,-6.845,-1.81%,1638
04/24/2023,376.14,378.8,374.135,377.27,0.4,+0.11%,1460
04/21/2023,379.97,379.97,375.98,376.87,-4.615,-1.21%,1463
04/20/2023,375.67,382.83,375.67,381.485,1.973,+0.52%,1836
04/19/2023,378.025,382,376.542,379.512,2.817,+0.75%,2456
04/18/2023,380.87,380.9,374.554,376.695,1.925,+0.51%,3631
04/17/2023,379.61,380.58,374.77,374.77,-1.55,-0.41%,1150
04/14/2023,376.37,380.243,375.55,376.32,-1.032,-0.27%,1606
04/13/2023,372.73,378.27,372.73,377.352,4.852,+1.30%,3686
04/12/2023,371.11,377.645,368.869,372.5,1.07,+0.29%,39842
04/11/2023,375.46,376.25,368.75,371.43,-9.36,-2.46%,65229
04/06/2023,379.31,382.395,376.843,380.79,1.38,+0.36%,1738
04/05/2023,384.76,386,377.711,379.41,-5.505,-1.43%,2477
04/04/2023,380.08,385.36,380.08,384.915,6.464,+1.71%,82959
04/03/2023,380.892,385.37,378.34,378.451,-3.819,-1.00%,62796
03/31/2023,382.29,383.44,380.405,382.27,2.88,+0.76%,2705
03/30/2023,382.839,382.839,378.509,379.39,1.7,+0.45%,2061
03/29/2023,376.46,379.24,375.982,377.69,6.72,+1.81%,5422
03/28/2023,373.36,373.42,367.881,370.97,-1.64,-0.44%,3005
03/27/2023,377.52,380.11,369.97,372.61,-0.81,-0.22%,2161
03/24/2023,370.23,373.42,368.785,373.42,5.155,+1.40%,7558
03/23/2023,361.71,374.91,361.71,368.265,0.455,+0.12%,57364
03/22/2023,375,377.074,367.81,367.81,-2.67,-0.72%,206793
03/21/2023,362.88,370.48,361,370.48,6.154,+1.69%,381907
03/20/2023,357.39,364.635,355.619,364.326,6.426,+1.80%,3704
03/17/2023,353.29,360.42,351.519,357.9,3.468,+0.98%,163370
03/16/2023,344.71,354.432,342.184,354.432,21.027,+6.31%,5737
