Time,Open,High,Low,Last,Change,%Chg,Volume
06/06/2023,158.28,158.9,157.68,158,0.08,+0.05%,204341
06/05/2023,159.48,160.12,157.82,157.92,-1.88,-1.18%,211001
06/02/2023,158.94,159.86,157.58,159.8,1.5,+0.95%,278094
06/01/2023,157.38,158.5,156.16,158.3,2.08,+1.33%,320045
05/31/2023,158.98,159.54,155.74,156.22,-3.28,-2.06%,414977
05/30/2023,159.8,160.36,159,159.5,-0.04,-0.03%,367770
05/29/2023,159.46,159.66,158.84,159.54,0.58,+0.36%,131600
05/26/2023,158.28,159.06,157.16,158.96,1.32,+0.84%,270992
05/25/2023,158.02,159.06,157.18,157.64,-0.1,-0.06%,220995
05/24/2023,158.84,158.84,156.73,157.74,-2.32,-1.45%,221752
05/23/2023,162.02,162.68,159.87,160.06,-2.33,-1.43%,228972
05/22/2023,162.72,163.72,162.26,162.39,-0.65,-0.40%,198003
05/19/2023,161.78,163.6,161.53,163.04,1.74,+1.08%,202763
05/18/2023,160.28,162.06,160.28,161.3,1.18,+0.74%,205630
05/17/2023,159.16,160.82,158.82,160.12,0.6,+0.38%,238691
05/16/2023,160.14,160.72,159.2,159.52,-1.09,-0.68%,263162
05/15/2023,161.3,161.66,160.14,160.61,-2.95,-1.80%,152698
05/12/2023,162.9,164.18,162.9,163.56,0.96,+0.59%,236505
05/11/2023,162.02,163.89,161.52,162.6,0.74,+0.46%,276660
05/10/2023,163.28,163.48,161.5,161.86,-1.14,-0.70%,253397
05/09/2023,163.06,163.7,162.12,163,-0.46,-0.28%,258311
05/08/2023,163.68,163.88,163.04,163.46,0.02,+0.01%,115525
05/05/2023,163.4,163.58,162.28,163.44,0.88,+0.54%,232247
05/04/2023,162.76,163.34,161.46,162.56,0,0.00%,273217
05/03/2023,162.8,163.18,161.98,162.56,0.66,+0.41%,328783
05/02/2023,163.94,164.54,161.82,161.9,-1,-0.61%,315937
04/28/2023,163.16,163.88,161.14,162.9,0.34,+0.21%,439510
04/27/2023,160.96,162.88,160.18,162.56,1.6,+0.99%,416291
04/26/2023,162.58,163.36,160.38,160.96,-2.52,-1.54%,509560
04/25/2023,163.16,163.71,162.79,163.48,0.26,+0.16%,261371
04/24/2023,162.68,163.52,162.6,163.22,0.7,+0.43%,271322
04/21/2023,162.26,162.9,161.73,162.52,0.6,+0.37%,297168
04/20/2023,161.28,162.3,160.9,161.92,0.28,+0.17%,339940
04/19/2023,160.68,161.8,160.42,161.64,1.1,+0.69%,271991
04/18/2023,159.88,161.34,159.86,160.54,0.36,+0.22%,278979
04/17/2023,158.48,160.44,158.48,160.18,1.86,+1.17%,351319
04/14/2023,159.4,159.64,157.95,158.32,-0.7,-0.44%,239768
04/13/2023,159.28,159.73,158.38,159.02,0.06,+0.04%,238677
04/12/2023,158.6,160.58,157.88,158.96,-0.16,-0.10%,309766
04/11/2023,159.82,159.98,158.14,159.12,0.91,+0.58%,341236
04/06/2023,155.86,158.3,155.5,158.21,3.03,+1.95%,479270
04/05/2023,154.21,155.66,153.52,155.18,0.58,+0.38%,325098
04/04/2023,153.84,155.28,153.6,154.6,0.84,+0.55%,248150
04/03/2023,154.1,154.84,153.4,153.76,-1.04,-0.67%,301287
03/31/2023,152.6,154.89,152.56,154.8,1.9,+1.24%,317648
03/30/2023,151.46,153.25,151.14,152.9,1.94,+1.29%,358161
03/29/2023,150.72,151.36,150.3,150.96,0.59,+0.39%,392107
03/28/2023,150.8,150.84,149.91,150.37,0.79,+0.53%,247262
03/27/2023,150.34,151.06,149.26,149.58,0.3,+0.20%,296545
03/24/2023,150.78,150.82,148.24,149.28,-2.16,-1.43%,412083
03/23/2023,151.28,151.9,150.16,151.44,0.05,+0.03%,294712
03/22/2023,150.18,151.96,149.58,151.39,1.31,+0.87%,269172
03/21/2023,150.88,151.54,149.86,150.08,-0.34,-0.23%,329243
03/20/2023,147.92,151.12,146.94,150.42,3.18,+2.16%,616487
03/17/2023,150.38,151.22,146.54,147.24,-2.64,-1.76%,601738
03/16/2023,147.76,150.18,146.3,149.88,3.06,+2.08%,466114
03/15/2023,149.15,149.26,146.46,146.82,-2.58,-1.73%,616579
03/14/2023,146.84,149.64,146.38,149.4,3.02,+2.06%,435984
03/13/2023,148.68,148.78,145.6,146.38,-2.14,-1.44%,595462
03/10/2023,148.46,149.8,147.62,148.52,-1.62,-1.08%,491461
03/09/2023,149.04,150.37,147.96,150.14,1.22,+0.82%,302068
03/08/2023,148.6,149.02,147.89,148.92,-0.76,-0.51%,344071
03/07/2023,148.36,150.82,148.35,149.68,0.46,+0.31%,463202
03/06/2023,150.78,150.81,148.82,149.22,-1.3,-0.86%,297317
03/03/2023,149.86,150.64,149.66,150.52,0.96,+0.64%,223337
03/02/2023,148.68,149.94,147.96,149.56,0.22,+0.15%,378482
03/01/2023,151.08,151.12,149.04,149.34,-1.44,-0.96%,339803
02/28/2023,150.32,151.09,149.78,150.78,-0.8,-0.53%,397868
02/27/2023,149.5,151.6,149.44,151.58,4.23,+2.87%,484260
02/24/2023,149.16,150.08,147.18,147.35,-1.41,-0.95%,591920
02/23/2023,149.98,150.3,148.3,148.76,-0.86,-0.57%,498946
02/22/2023,150.24,150.36,148.28,149.62,-1.08,-0.72%,399399
02/21/2023,150.98,151.66,150.16,150.7,-1.24,-0.82%,418397
02/20/2023,149.62,152.5,149.24,151.94,2.64,+1.77%,569276
02/17/2023,147.44,149.72,146.66,149.3,0.76,+0.51%,540816
02/16/2023,147.58,149.16,146.26,148.54,2.1,+1.43%,482176
02/15/2023,144.32,146.49,144,146.44,1.48,+1.02%,391692
02/14/2023,145.17,146.26,144.72,144.96,0.29,+0.20%,283797
02/13/2023,142.82,144.9,142.42,144.67,2.41,+1.69%,285237
02/10/2023,144.04,144.58,142.03,142.26,-2.82,-1.94%,456787
02/09/2023,147.26,147.36,144.89,145.08,-1.54,-1.05%,309826
02/08/2023,145.56,148.5,145.56,146.62,2.1,+1.45%,429127
02/07/2023,143.96,145.08,142.82,144.52,0.8,+0.56%,449941
02/06/2023,144.36,144.42,142.94,143.72,-1,-0.69%,362442
02/03/2023,145.62,145.68,143.54,144.72,-1.85,-1.26%,473652
02/02/2023,146.2,147.54,145.76,146.57,0.87,+0.60%,397841
02/01/2023,145.68,146.6,145.12,145.7,-0.32,-0.22%,212428
01/31/2023,147.74,148.07,144.34,146.02,-2.49,-1.68%,371517
01/30/2023,147.76,149.06,146.94,148.51,0.53,+0.36%,295244
01/27/2023,147.94,148.32,147.2,147.98,0.36,+0.24%,366029
01/26/2023,145.92,147.74,145.84,147.62,1.74,+1.19%,494299
01/25/2023,145.08,146.14,144.14,145.88,1.24,+0.86%,343238
01/24/2023,143.88,144.94,143.22,144.64,0.9,+0.63%,306914
01/23/2023,144.48,144.48,142.82,143.74,-1,-0.69%,289988
01/20/2023,145.28,145.44,144.38,144.74,0.08,+0.06%,372919
01/19/2023,143.38,145.27,143.38,144.66,0.21,+0.15%,605858
01/18/2023,144.58,145.2,142.8,144.45,-0.17,-0.12%,502649
01/17/2023,144.3,145.8,143.18,144.62,0.61,+0.42%,364337
01/16/2023,143.28,144.76,143,144.01,1.71,+1.20%,336664
01/13/2023,143.48,144.46,142.01,142.3,-1.16,-0.81%,467156
01/12/2023,144.98,145.02,143.18,143.46,-0.88,-0.61%,363392
01/11/2023,142,145.06,141.52,144.34,2.44,+1.72%,487866
01/10/2023,143.08,143.08,141.3,141.9,-1.34,-0.94%,290105
01/09/2023,141.96,143.48,141.2,143.24,2.1,+1.49%,346750
01/06/2023,137.76,141.18,137.58,141.14,3.49,+2.54%,365360
01/05/2023,137.95,138.31,136.48,137.65,-0.79,-0.57%,471493
01/04/2023,135.7,138.48,135.68,138.44,3.61,+2.68%,576185
01/03/2023,134.72,136.6,134.18,134.83,-0.07,-0.05%,356193
01/02/2023,133.5,134.94,133.37,134.9,2.5,+1.89%,229020
12/30/2022,133.68,134.36,132.34,132.4,-2.18,-1.62%,156854
12/29/2022,133.48,134.72,132.94,134.58,0.96,+0.72%,168472
12/28/2022,133.92,134.58,133.36,133.62,-0.38,-0.28%,176063
12/27/2022,134.66,135.45,133.92,134,0.34,+0.25%,103079
12/23/2022,133.66,134.06,133.06,133.66,0.48,+0.36%,167479
12/22/2022,135.29,136.1,133.18,133.18,-2.28,-1.68%,168322
12/21/2022,133.78,135.88,133.5,135.46,2.2,+1.65%,361613
12/20/2022,132.58,133.97,131.9,133.26,0.18,+0.14%,390259
12/19/2022,133.52,133.76,132.6,133.08,-0.31,-0.23%,182469
12/16/2022,134,134.4,132.05,133.39,-0.45,-0.34%,446607
