Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,126.58,127,125.36,126.54,0.1,+0.08%,563350
06/07/2023,127.44,127.62,125.8,126.44,-1,-0.78%,667435
06/06/2023,126.9,127.62,126,127.44,0.72,+0.57%,492368
06/05/2023,129.42,130.06,126.06,126.72,-1.66,-1.29%,829586
06/02/2023,127.26,128.38,125.82,128.38,2.44,+1.94%,797789
06/01/2023,124.2,126.22,123.92,125.94,3.4,+2.77%,843554
05/31/2023,123.2,124.96,122.46,122.54,-1.9,-1.53%,1592919
05/30/2023,124.96,125.38,123.58,124.44,-0.84,-0.67%,716239
05/29/2023,126,126.38,124.92,125.28,-0.4,-0.32%,376193
05/26/2023,125.36,125.78,123.4,125.68,1.14,+0.92%,811069
05/25/2023,124.52,125.38,123.66,124.54,0.74,+0.60%,766545
05/24/2023,124.68,124.72,123.24,123.8,-2.48,-1.96%,856504
05/23/2023,127.48,128.04,125.92,126.28,-1.92,-1.50%,822741
05/22/2023,128.84,129.38,127.48,128.2,-1.04,-0.80%,932453
05/19/2023,129.3,130.04,128.82,129.24,0.44,+0.34%,847493
05/18/2023,129.54,131.22,128.24,128.8,0.6,+0.47%,720100
05/17/2023,126,129.74,125.86,128.2,1.96,+1.55%,1100970
05/16/2023,123.18,126.76,123.06,126.24,3.18,+2.58%,1114225
05/15/2023,123.18,123.42,122.4,123.06,0.26,+0.21%,463381
05/12/2023,121.64,122.8,121.6,122.8,1.48,+1.22%,672172
05/11/2023,122.04,123.24,120.08,121.32,-0.38,-0.31%,712304
05/10/2023,121.66,122.9,121.6,121.7,0.08,+0.07%,891395
05/09/2023,120.98,121.62,120.1,121.62,0.36,+0.30%,850190
05/08/2023,122.5,122.56,120.96,121.26,-0.94,-0.77%,551347
05/05/2023,122.34,122.82,120.4,122.2,0.1,+0.08%,1284525
05/04/2023,123,124.8,120.42,122.1,-2.3,-1.85%,1824927
05/03/2023,123.8,126.34,123,124.4,-0.96,-0.77%,1103039
05/02/2023,126.9,127.3,124.88,125.36,-1.78,-1.40%,1376322
04/28/2023,125.94,127.14,124.58,127.14,1.6,+1.27%,986108
04/27/2023,123.98,126.5,123.72,125.54,1.46,+1.18%,911920
04/26/2023,126.38,126.38,122.6,124.08,-1.82,-1.45%,1661984
04/25/2023,125.26,126.52,124.48,125.9,-2.34,-1.82%,983954
04/24/2023,127,128.46,126.92,128.24,0.92,+0.72%,752850
04/21/2023,129.2,129.6,127.14,127.32,-1.96,-1.52%,1176467
04/20/2023,128.06,129.68,128.06,129.28,0.76,+0.59%,797800
04/19/2023,128.1,128.9,127.66,128.52,0.2,+0.16%,691472
04/18/2023,128.12,128.78,125.32,128.32,0.24,+0.19%,1388056
04/17/2023,126.38,128.5,126.36,128.08,1.8,+1.43%,990593
04/14/2023,126.08,126.58,124.9,126.28,0.36,+0.29%,950961
04/13/2023,126.28,127.4,125.54,125.92,-0.32,-0.25%,858237
04/12/2023,126,127.42,125.76,126.24,0.24,+0.19%,786909
04/11/2023,126.72,127.1,125.42,126,-0.18,-0.14%,1117437
04/06/2023,124.42,126.18,124.28,126.18,1.8,+1.45%,1113228
04/05/2023,125.28,126.24,124.38,124.38,-1.06,-0.85%,1145916
04/04/2023,125.9,126.78,124.82,125.44,0.24,+0.19%,793626
04/03/2023,123.5,126.32,123.38,125.2,1.92,+1.56%,1158727
03/31/2023,122.44,123.68,122.4,123.28,1.04,+0.85%,1147316
03/30/2023,121.76,122.88,121.56,122.24,1.34,+1.11%,875000
03/29/2023,118.9,121.86,118.78,120.9,2.18,+1.84%,1148665
03/28/2023,119.68,120.2,117.9,118.72,-0.36,-0.30%,564371
03/27/2023,118.8,119.36,118.04,119.08,1.68,+1.43%,778768
03/24/2023,119.32,119.32,116.44,117.4,-2.54,-2.12%,1101650
03/23/2023,120.82,121.54,119.22,119.94,-1.06,-0.88%,736193
03/22/2023,121.14,122.38,119.78,121,-0.6,-0.49%,769867
03/21/2023,120,121.86,119.3,121.6,3,+2.53%,1002062
03/20/2023,116.1,119.28,114.08,118.6,1.86,+1.59%,1290939
03/17/2023,120.9,121.36,116.36,116.74,-2.54,-2.13%,2171271
03/16/2023,118.04,119.78,116.7,119.28,2.98,+2.56%,1588878
03/15/2023,121.84,121.92,116.06,116.3,-5.88,-4.81%,1695773
03/14/2023,118.16,122.86,118.16,122.18,4.02,+3.40%,1175948
03/13/2023,121.86,122.3,117.04,118.16,-3.46,-2.84%,1872766
03/10/2023,122.48,123,120.92,121.62,-2.88,-2.31%,1305160
03/09/2023,123.5,125.08,123.12,124.5,0.52,+0.42%,878387
03/08/2023,124.5,125.48,123.98,123.98,-0.04,-0.03%,1041033
03/07/2023,123.78,124.48,123.14,124.02,0.12,+0.10%,827515
03/06/2023,124.62,124.7,123.58,123.9,-0.26,-0.21%,634841
03/03/2023,123.08,124.28,123.06,124.16,1.26,+1.03%,998552
03/02/2023,121.7,122.9,121.22,122.9,0.58,+0.47%,874219
03/01/2023,124.08,124.36,121.8,122.32,-1.7,-1.37%,1090837
02/28/2023,122.72,124.78,122.12,124.02,0.38,+0.31%,1621475
02/27/2023,122.62,124.66,122.58,123.64,1.7,+1.39%,1228665
02/24/2023,124.84,125.66,121.94,121.94,-2.5,-2.01%,2137600
02/23/2023,123,124.44,122.84,124.44,1.66,+1.35%,1256062
02/22/2023,122.42,123.02,121.22,122.78,-0.04,-0.03%,876700
02/21/2023,122.6,124.04,121.58,122.82,-0.02,-0.02%,858815
02/20/2023,125.82,126.04,122.84,122.84,-2.82,-2.24%,884291
02/17/2023,125,125.94,123.48,125.66,0.72,+0.58%,1980783
02/16/2023,120,124.94,120,124.94,5.88,+4.94%,2621505
02/15/2023,116.18,119.4,116.08,119.06,3.08,+2.66%,1547124
02/14/2023,115.08,116.98,114.88,115.98,0.38,+0.33%,1245678
02/13/2023,114.3,116.42,114.2,115.6,1.86,+1.64%,1240329
