Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,111.92,116.44,111.92,115.78,0.72,+0.63%,1048
06/07/2023,117.94,118.9,115.02,115.06,-3.1,-2.62%,1023
06/06/2023,116.86,118.6,116.39,118.16,1.24,+1.06%,2146
06/05/2023,115.88,117.32,115.34,116.92,0.06,+0.05%,938
06/02/2023,114.22,117.5,114.22,116.86,3.4,+3.00%,395
06/01/2023,112.8,113.46,112.32,113.46,1.12,+1.00%,245
05/31/2023,113.56,113.92,112.28,112.34,-1.26,-1.11%,877
05/30/2023,113.44,114.36,112.38,113.6,0.6,+0.53%,1275
05/29/2023,112.98,113.08,112.66,113,0.26,+0.23%,531
05/26/2023,107.28,112.74,106.72,112.74,5.72,+5.34%,826
05/25/2023,109.28,109.36,106.66,107.02,-0.74,-0.69%,373
05/24/2023,106.64,108.02,106.56,107.76,-0.38,-0.35%,428
05/23/2023,106.16,108.14,106.16,108.14,1.76,+1.65%,116
05/22/2023,107.54,108.27,105.96,106.38,-1.58,-1.46%,761
05/19/2023,109.78,109.9,107.9,107.96,-1.72,-1.57%,639
05/18/2023,106.96,109.7,106.88,109.68,3.52,+3.32%,441
05/17/2023,104.12,107,104.12,106.16,1.76,+1.69%,1694
05/16/2023,102.16,104.84,101.79,104.4,2.7,+2.65%,1138
05/15/2023,102.04,102.88,100.74,101.7,-0.28,-0.27%,258
05/12/2023,102.92,103.02,101.94,101.98,-0.92,-0.89%,1832
05/11/2023,100.56,102.9,100.56,102.9,3.72,+3.75%,851
05/10/2023,97.22,100.12,96.76,99.18,2.02,+2.08%,890
05/09/2023,96.11,97.22,96.11,97.16,1.17,+1.22%,536
05/08/2023,95.81,95.99,95.38,95.99,0.49,+0.51%,315
05/05/2023,94.34,95.66,94.34,95.5,0.4,+0.42%,546
05/04/2023,94,95.37,93.79,95.1,0.5,+0.53%,1394
05/03/2023,94.06,95.74,94.06,94.6,1.21,+1.30%,100
05/02/2023,92.62,93.47,92.54,93.39,-2.23,-2.33%,232
04/28/2023,97.65,98.8,95.05,95.62,-3.7,-3.73%,1845
04/27/2023,96.94,99.36,96.93,99.32,3.62,+3.78%,413
04/26/2023,96.58,96.59,94.27,95.7,0.81,+0.85%,1247
04/25/2023,95.57,95.815,94.85,94.89,-1.54,-1.60%,706
04/24/2023,96.82,98.88,96.43,96.43,-0.81,-0.83%,157
04/21/2023,94.27,97.24,94.27,97.24,2.21,+2.33%,2144
04/20/2023,94.49,95.48,94.02,95.03,0.7,+0.74%,375
04/19/2023,92.72,94.33,92.5,94.33,1.29,+1.39%,635
04/18/2023,93.67,95.12,92.83,93.04,-0.91,-0.97%,401
04/17/2023,93.52,94.28,93.52,93.95,1.65,+1.79%,166
04/14/2023,92.16,93.67,91.87,92.3,1.21,+1.33%,1862
04/13/2023,89.46,91.14,88.87,91.09,1.27,+1.41%,917
04/12/2023,91.43,92.69,89.82,89.82,-1.32,-1.45%,291
04/11/2023,93.56,93.99,90.97,91.14,-1.23,-1.33%,901
04/06/2023,92.54,92.62,92.01,92.37,-0.42,-0.45%,450
04/05/2023,94.89,94.89,92.42,92.79,-0.74,-0.79%,100
04/04/2023,93.88,94.93,93.45,93.53,-0.27,-0.29%,640
04/03/2023,94.64,94.64,93.64,93.8,-0.85,-0.90%,717
03/31/2023,93.63,94.65,93.58,94.65,0.92,+0.98%,542
03/30/2023,92.53,93.73,92.53,93.73,1.73,+1.88%,678
03/29/2023,90.55,92.09,90.43,92,1.25,+1.38%,505
03/28/2023,90.66,90.75,90.36,90.75,-0.06,-0.07%,390
03/27/2023,91.05,92.04,90.81,90.81,0.29,+0.32%,1069
03/24/2023,91.9,91.9,89.97,90.52,-1.78,-1.93%,200
03/23/2023,92.3,92.3,92.3,92.3,-0.26,-0.28%,100
03/22/2023,92.56,92.56,92.56,92.56,0.25,+0.27%,100
03/21/2023,90.95,92.31,90.95,92.31,2.28,+2.53%,329
03/20/2023,91.78,91.78,89.87,90.03,-2.28,-2.47%,386
03/17/2023,93.8,94.21,92.07,92.31,-2.225,-2.35%,847
03/16/2023,90.52,94.535,90.25,94.535,5.175,+5.79%,440
03/15/2023,87.77,89.36,87.36,89.36,1.39,+1.58%,513
03/14/2023,87.08,88.26,86.93,87.97,1.17,+1.35%,18061
03/13/2023,86.08,86.8,82.84,86.8,-0.09,-0.10%,948
03/10/2023,87.1,87.82,86.85,86.89,-1.48,-1.67%,150
"Downloaded from Barchart.com as of 06-08-2023 03:35pm CDT"
