Time,Open,High,Low,Last,Change,%Chg,Volume
06/05/2023,1448.5,1461.5,1427.5,1441.5,-15,-1.03%,882424
06/02/2023,1409,1488.5,1407.5,1456.5,76.5,+5.54%,1144616
06/01/2023,1361.5,1383,1347.5,1380,42.5,+3.18%,864333
05/31/2023,1350.5,1367,1337.5,1337.5,-25.5,-1.87%,3814135
05/30/2023,1390,1397,1361.5,1363,-26.5,-1.91%,701727
05/26/2023,1377.5,1406,1375,1389.5,39.5,+2.93%,566607
05/25/2023,1366,1374.5,1346.5,1350,-8,-0.59%,518183
05/24/2023,1366.5,1378,1345.5,1358,-31.5,-2.27%,881362
05/23/2023,1419,1421,1389.5,1389.5,-37,-2.59%,807132
05/22/2023,1415.5,1427,1402.5,1426.5,10,+0.71%,904561
05/19/2023,1416,1434.5,1413,1416.5,6.5,+0.46%,480970
05/18/2023,1433,1433,1397.5,1410,-16.5,-1.16%,665810
05/17/2023,1402,1427.5,1402,1426.5,22.5,+1.60%,615129
05/16/2023,1406,1423,1394.5,1404,-15,-1.06%,943112
05/15/2023,1406,1423.5,1403,1419,22,+1.57%,497616
05/12/2023,1367.5,1410.5,1367.5,1397,15,+1.09%,636589
05/11/2023,1420.5,1443,1380,1382,-57.5,-3.99%,1076566
05/10/2023,1466.5,1475.5,1434.5,1439.5,-22.5,-1.54%,725021
05/09/2023,1469,1480,1450.5,1462,-7.5,-0.51%,1004720
05/05/2023,1429,1469.5,1422.5,1469.5,50,+3.52%,1017543
05/04/2023,1443.5,1449.5,1414,1419.5,-24,-1.66%,905366
05/03/2023,1442,1456.5,1430.5,1443.5,2,+0.14%,672939
05/02/2023,1449,1459,1435,1441.5,-19,-1.30%,967484
04/28/2023,1456.5,1469.5,1431,1460.5,-27.5,-1.85%,1640881
04/27/2023,1496.5,1504,1473.5,1488,-12.5,-0.83%,1064466
04/26/2023,1487.5,1504.5,1467.5,1500.5,22.5,+1.52%,831887
04/25/2023,1507.5,1507.5,1476,1478,-39,-2.57%,750737
04/24/2023,1523,1546,1505,1517,-13,-0.85%,761862
04/21/2023,1560.5,1560.5,1524,1530,-44,-2.80%,1178600
04/20/2023,1560,1574,1541,1574,-40.5,-2.51%,1156244
04/19/2023,1600,1614.5,1581,1614.5,-22.5,-1.37%,1037383
04/18/2023,1622.5,1658.5,1617.5,1637,29,+1.80%,976790
04/17/2023,1633,1649,1605,1608,-15.5,-0.95%,704589
04/14/2023,1628,1637.5,1611,1623.5,1.5,+0.09%,1670041
04/13/2023,1582,1626.5,1572.5,1622,41.5,+2.63%,1156876
04/12/2023,1548.5,1598,1548.375,1580.5,29,+1.87%,851295
04/11/2023,1503.5,1565.5,1498,1551.5,71.5,+4.83%,1274145
