Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,11753.999,11784,11653.28,11750.002,-3.997,-0.03%,978743
06/07/2023,11780,11876,11671.098,11753.999,-78.001,-0.66%,1108116
06/06/2023,11769.998,11934.002,11752,11832,38.001,+0.32%,1307191
06/05/2023,11722,11817.999,11692,11793.999,45.999,+0.39%,852833
06/02/2023,11636,11753.999,11529.998,11748,77.998,+0.67%,1371369
06/01/2023,11726.001,11781.601,11520,11670.002,10.002,+0.09%,1481880
05/31/2023,11465.998,11766.001,11464,11660,162.001,+1.41%,3651353
05/30/2023,11780,11840,11497.999,11497.999,-286.001,-2.43%,1832185
05/26/2023,11689.998,11832,11636,11784,142,+1.22%,1004123
05/25/2023,11756,11822.001,11590.002,11642,-151.999,-1.29%,930837
05/24/2023,11878,11932,11687.101,11793.999,-240,-1.99%,1346443
05/23/2023,11969.998,12185.998,11942.001,12033.999,-2.001,-0.02%,1390387
05/22/2023,12064,12108,11993.999,12036,26.002,+0.22%,951326
05/19/2023,12025.998,12076,11936.016,12009.998,31.999,+0.27%,1156714
05/18/2023,11969.998,12096,11969.998,11977.999,53.999,+0.45%,1056190
05/17/2023,12120,12184,11865.998,11924,-146.002,-1.21%,1102406
05/16/2023,12042,12102.001,11992,12070.002,70.002,+0.58%,898708
05/15/2023,12049.998,12070.002,11974.002,12000,-9.998,-0.08%,610135
05/12/2023,11958,12089.998,11922,12009.998,85.998,+0.72%,1178004
05/11/2023,11882,12002,11868,11924,104,+0.88%,2105321
05/10/2023,11836,11846.001,11752,11820,-93.999,-0.79%,1058174
05/09/2023,11956,11956,11785.998,11913.999,-8.001,-0.07%,1266770
05/05/2023,11873.999,11922,11713.999,11922,72.002,+0.61%,762200
05/04/2023,11842,11878,11756,11849.998,-34.002,-0.29%,871141
05/03/2023,11844,11904.897,11777.999,11884,109.998,+0.93%,811351
05/02/2023,11726.001,11856,11652,11774.002,28.004,+0.24%,1633809
04/28/2023,11816,11856,11640,11745.998,-50.002,-0.42%,1498775
04/27/2023,11910.002,12145.998,11753.999,11796,-48,-0.41%,1260510
04/26/2023,12164,12209.998,11777.999,11844,-450.002,-3.66%,2902235
04/25/2023,12112,12348,12112,12294.002,130.002,+1.07%,1471675
04/24/2023,12152,12202,12122.065,12164,-21.998,-0.18%,1059729
04/21/2023,12022.001,12232,12022.001,12185.998,176,+1.47%,1248933
04/20/2023,11976,12056,11941.44,12009.998,17.998,+0.15%,2055803
04/19/2023,11993.999,12037.041,11948,11992,-48,-0.40%,941031
04/18/2023,11913.999,12392,11860,12040,216,+1.83%,1702899
04/17/2023,11878,11932,11820,11824,-68,-0.57%,957395
04/14/2023,11950.002,11990.002,11878,11892,-24,-0.20%,1364854
04/13/2023,11849.998,11916,11792,11916,93.999,+0.80%,1075250
04/12/2023,11664,11872,11614.002,11822.001,191.999,+1.65%,2809251
04/11/2023,11737.999,11785.998,11574.002,11630.002,-69.998,-0.60%,4180183
04/06/2023,11620,11734.6,11590.002,11700,106.001,+0.91%,994579
04/05/2023,11244,11628,11230.8,11593.999,349.999,+3.11%,1520350
04/04/2023,11320,11356,11193.999,11244,-26.002,-0.23%,1673350
04/03/2023,11260,11282,11172,11270.002,38.002,+0.34%,1548235
03/31/2023,11150.002,11328,11144,11232,65.999,+0.59%,1521325
03/30/2023,11162,11236,11096,11166.001,0,0.00%,1122858
03/29/2023,11116,11202,11105.998,11166.001,31.999,+0.29%,1112253
03/28/2023,11228,11299.391,11132.886,11134.002,-117.998,-1.05%,1327913
03/27/2023,11129.998,11302.001,11123.258,11252,172,+1.55%,1397925
03/24/2023,11006.001,11094.002,10953.43,11080,82,+0.75%,1247408
03/23/2023,10934.002,11024,10876,10998,22,+0.20%,1236363
03/22/2023,10884,10984,10762,10976,72,+0.66%,1138220
03/21/2023,10884,10932,10808,10904,113.998,+1.06%,1084540
03/20/2023,10762,10814.002,10654,10790.002,-24,-0.22%,1166153
03/17/2023,10824,10922,10745.998,10814.002,16.002,+0.15%,4142821
03/16/2023,10680,10830.002,10640,10798,154,+1.45%,2154731
03/15/2023,10704,10798,10632,10644,-42,-0.39%,2832535
03/14/2023,10702,10730,10574,10686,0,0.00%,1415150
03/13/2023,10698,10860,10558,10686,-12,-0.11%,2411825
03/10/2023,10798,10993.999,10590,10698,-167.998,-1.55%,1542046
03/09/2023,10849.998,10945.998,10785.998,10865.998,43.997,+0.41%,2216534
03/08/2023,10844,10904,10788,10822.001,-27.997,-0.26%,2097083
03/07/2023,10737.999,10905.998,10724,10849.998,107.997,+1.01%,3068900
03/06/2023,10817.999,10817.999,10688,10742.001,-41.999,-0.39%,1549501
03/03/2023,10848,10884,10784,10784,-80,-0.74%,1231174
03/02/2023,10816,10864,10752,10864,48,+0.44%,1360673
03/01/2023,10873.999,10897.999,10785.998,10816,-64,-0.59%,2062351
02/28/2023,11060,11113.999,10827.101,10880,-217.999,-1.96%,2069258
02/27/2023,11036,11162,11030.002,11097.999,-2.001,-0.02%,823664
02/24/2023,11192,11229.439,11096,11100,-109.998,-0.98%,1202737
02/23/2023,11332,11385.998,11169.998,11209.998,-290.002,-2.52%,1573520
02/22/2023,11593.999,11606.001,11440,11500,-69.998,-0.60%,1353241
02/21/2023,11532,11680,11516,11569.998,29.998,+0.26%,1857200
