Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,6.542,6.684,6.524,6.588,0.096,+1.48%,4317875
06/07/2023,6.497,6.512,6.364,6.492,0.02,+0.31%,5368733
06/06/2023,6.423,6.486,6.396,6.472,0.014,+0.22%,2955115
06/05/2023,6.52,6.57,6.4,6.458,-0.032,-0.49%,3583628
06/02/2023,6.316,6.5,6.29,6.49,0.23,+3.67%,4736630
06/01/2023,6.218,6.268,6.182,6.26,0.19,+3.13%,6283726
05/31/2023,6.31,6.359,6.062,6.07,-0.27,-4.26%,13518931
05/30/2023,6.387,6.492,6.316,6.34,-0.054,-0.84%,6105706
05/29/2023,6.548,6.552,6.359,6.394,-0.094,-1.45%,3274447
05/26/2023,6.416,6.505,6.298,6.488,0.062,+0.96%,5461065
05/25/2023,6.32,6.463,6.29,6.426,0.086,+1.36%,5197454
05/24/2023,6.39,6.414,6.296,6.34,-0.144,-2.22%,4618555
05/23/2023,6.51,6.512,6.461,6.484,-0.018,-0.28%,3522303
05/22/2023,6.46,6.568,6.46,6.502,0.016,+0.25%,6653382
05/19/2023,6.508,6.544,6.464,6.486,0.016,+0.25%,5688248
05/18/2023,6.426,6.504,6.426,6.47,0.122,+1.92%,3313289
05/17/2023,6.25,6.352,6.25,6.348,0.038,+0.60%,3995466
05/16/2023,6.326,6.349,6.244,6.31,-0.01,-0.16%,6468448
05/15/2023,6.466,6.516,6.274,6.32,-0.31,-4.68%,7939395
05/12/2023,6.568,6.65,6.568,6.63,0.08,+1.22%,6261879
05/11/2023,6.3,6.569,6.298,6.55,0.266,+4.23%,12779481
05/10/2023,6.342,6.42,6.256,6.284,-0.014,-0.22%,4532309
05/09/2023,6.368,6.424,6.266,6.298,-0.084,-1.32%,3770350
05/08/2023,6.342,6.406,6.336,6.382,0.1,+1.59%,3045882
05/05/2023,6.237,6.3,6.132,6.282,0.106,+1.72%,5934212
05/04/2023,6.25,6.31,6.114,6.176,-0.102,-1.62%,6248557
05/03/2023,6.506,6.53,6.218,6.278,-0.132,-2.06%,8376729
05/02/2023,6.69,6.696,6.386,6.41,-0.246,-3.70%,6803408
04/28/2023,6.95,6.95,6.614,6.656,-0.234,-3.40%,7073687
04/27/2023,6.704,6.896,6.654,6.89,0.208,+3.11%,8033438
04/26/2023,6.603,6.694,6.486,6.682,0.022,+0.33%,7398444
04/25/2023,6.706,6.706,6.614,6.66,-0.146,-2.15%,6995070
04/24/2023,6.724,6.84,6.702,6.806,0.046,+0.68%,3802062
04/21/2023,6.762,6.782,6.679,6.76,-0.056,-0.82%,4651921
04/20/2023,6.99,7.048,6.758,6.816,-0.124,-1.79%,5212728
04/19/2023,6.85,6.946,6.814,6.94,0.081,+1.18%,6230155
04/18/2023,6.782,6.928,6.772,6.859,0.145,+2.16%,8535274
04/17/2023,6.838,6.838,6.681,6.714,-0.082,-1.21%,5617288
04/14/2023,6.648,6.806,6.616,6.796,0.154,+2.32%,6312587
04/13/2023,6.598,6.664,6.586,6.642,0.038,+0.58%,4931892
04/12/2023,6.502,6.679,6.5,6.604,0.118,+1.82%,5823662
04/11/2023,6.626,6.686,6.476,6.486,-0.112,-1.70%,5595846
04/06/2023,6.494,6.604,6.488,6.598,0.142,+2.20%,6493996
04/05/2023,6.408,6.492,6.378,6.456,0.066,+1.03%,6640953
04/04/2023,6.288,6.508,6.288,6.39,0.112,+1.78%,7762124
04/03/2023,6.28,6.418,6.276,6.278,-0.323,-4.89%,6750986
03/31/2023,6.675,6.695,6.542,6.601,-0.024,-0.36%,6736859
03/30/2023,6.6,6.693,6.55,6.625,0.137,+2.11%,8001195
03/29/2023,6.376,6.497,6.361,6.488,0.139,+2.19%,7486079
03/28/2023,6.35,6.4,6.241,6.349,0.063,+1.00%,7805844
03/27/2023,6.256,6.331,6.122,6.286,0.164,+2.68%,8511273
03/24/2023,6.346,6.347,6.018,6.122,-0.291,-4.54%,15626770
03/23/2023,6.439,6.578,6.378,6.413,-0.189,-2.86%,6951707
03/22/2023,6.538,6.756,6.483,6.602,0.015,+0.23%,7701792
03/21/2023,6.37,6.633,6.362,6.587,0.374,+6.02%,13058006
03/20/2023,5.984,6.33,5.734,6.213,0.181,+3.00%,17048206
03/17/2023,6.271,6.405,5.968,6.032,-0.22,-3.52%,13548650
03/16/2023,6.393,6.393,6.042,6.252,0.228,+3.78%,15788696
03/15/2023,6.679,6.685,5.929,6.024,-0.655,-9.81%,19579659
03/14/2023,6.428,6.73,6.372,6.679,0.194,+2.99%,14594300
03/13/2023,7.033,7.034,6.467,6.485,-0.551,-7.83%,19054153
03/10/2023,7.043,7.082,6.94,7.036,-0.268,-3.67%,11183188
03/09/2023,7.3,7.33,7.278,7.304,-0.034,-0.46%,5362183
03/08/2023,7.256,7.352,7.183,7.338,0.048,+0.66%,4683044
03/07/2023,7.452,7.555,7.287,7.29,-0.163,-2.19%,6223159
03/06/2023,7.418,7.455,7.372,7.453,0.069,+0.93%,3811628
03/03/2023,7.283,7.388,7.256,7.384,0.131,+1.81%,5390933
03/02/2023,7.195,7.262,7.135,7.253,0.032,+0.44%,4653640
03/01/2023,7.412,7.433,7.205,7.221,-0.205,-2.76%,9894260
02/28/2023,7.151,7.45,7.137,7.426,0.226,+3.14%,8427540
02/27/2023,7.076,7.22,7.062,7.2,0.158,+2.24%,5507753
02/24/2023,7.043,7.109,7.019,7.042,0.011,+0.16%,6272446
02/23/2023,6.965,7.052,6.96,7.031,0.101,+1.46%,4626950
02/22/2023,6.921,6.948,6.878,6.93,-0.051,-0.73%,6895676
02/21/2023,6.961,6.99,6.845,6.981,0.007,+0.10%,3994085
02/20/2023,7.001,7.022,6.964,6.974,0.012,+0.17%,2593298
02/17/2023,6.964,7.014,6.928,6.962,-0.032,-0.46%,5960031
02/16/2023,6.919,7.015,6.914,6.994,0.107,+1.55%,7844543
02/15/2023,6.859,6.904,6.811,6.887,-0.022,-0.32%,7516749
02/14/2023,6.85,6.957,6.806,6.909,0.078,+1.14%,7003428
02/13/2023,6.76,6.841,6.749,6.831,0.096,+1.43%,3785633
02/10/2023,6.8,6.819,6.696,6.735,-0.065,-0.96%,6147163
02/09/2023,6.798,6.828,6.653,6.8,0.037,+0.55%,7725632
02/08/2023,6.81,6.82,6.721,6.763,-0.004,-0.06%,7016420
02/07/2023,6.825,6.842,6.735,6.767,-0.024,-0.35%,5052950
02/06/2023,6.832,6.837,6.773,6.791,-0.124,-1.79%,8010999
02/03/2023,6.785,6.929,6.77,6.915,0.111,+1.63%,9980445
02/02/2023,6.711,6.958,6.702,6.804,0.053,+0.79%,14698704
02/01/2023,6.501,6.79,6.482,6.751,0.285,+4.41%,15287868
01/31/2023,6.47,6.485,6.375,6.466,0.018,+0.28%,7193433
01/30/2023,6.408,6.465,6.372,6.448,0.016,+0.25%,4251722
01/27/2023,6.45,6.505,6.404,6.432,0.019,+0.30%,3671391
01/26/2023,6.33,6.447,6.33,6.413,0.128,+2.04%,7518907
01/25/2023,6.358,6.387,6.264,6.285,-0.15,-2.33%,9299033
01/24/2023,6.473,6.507,6.35,6.435,-0.019,-0.29%,5422003
01/23/2023,6.399,6.509,6.388,6.454,0.074,+1.16%,6425469
01/20/2023,6.375,6.404,6.316,6.38,0.073,+1.16%,5035057
01/19/2023,6.386,6.39,6.193,6.307,-0.12,-1.87%,10921439
01/18/2023,6.407,6.487,6.407,6.427,0.027,+0.42%,8047632
01/17/2023,6.403,6.45,6.388,6.4,-0.003,-0.05%,8193717
01/16/2023,6.376,6.414,6.34,6.403,0.026,+0.41%,3417518
01/13/2023,6.333,6.412,6.29,6.377,0.056,+0.89%,5433394
01/12/2023,6.294,6.357,6.252,6.321,0.057,+0.91%,6366389
01/11/2023,6.331,6.331,6.253,6.264,-0.061,-0.96%,6957242
01/10/2023,6.26,6.33,6.243,6.325,0.041,+0.65%,7041505
01/09/2023,6.202,6.285,6.201,6.284,0.069,+1.11%,6614337
01/06/2023,6.171,6.23,6.155,6.215,0.064,+1.04%,8442928
01/05/2023,6.069,6.168,6.04,6.151,0.056,+0.92%,6824525
01/04/2023,5.913,6.098,5.913,6.095,0.208,+3.53%,10738578
01/03/2023,5.762,5.899,5.741,5.887,0.102,+1.76%,5534357
01/02/2023,5.691,5.785,5.667,5.785,0.151,+2.68%,2109175
12/30/2022,5.677,5.689,5.631,5.634,-0.067,-1.18%,2585133
12/29/2022,5.63,5.72,5.612,5.701,0.042,+0.74%,2682007
12/28/2022,5.652,5.685,5.635,5.659,0.023,+0.41%,2953577
12/27/2022,5.673,5.691,5.629,5.636,-0.027,-0.48%,1662716
12/23/2022,5.646,5.693,5.622,5.663,0.032,+0.57%,2587260
12/22/2022,5.691,5.719,5.626,5.631,-0.049,-0.86%,3786205
