Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,106.96,108.84,106.96,108.12,1.14,+1.07%,422137
06/07/2023,106.76,106.98,105.48,106.98,0.54,+0.51%,327794
06/06/2023,106.3,106.74,105.69,106.44,0.02,+0.02%,258130
06/05/2023,105.92,107,105.44,106.42,0.16,+0.15%,403098
06/02/2023,104,106.44,103.7,106.26,2.76,+2.67%,395564
06/01/2023,102.58,103.61,102.12,103.5,2.12,+2.09%,334693
05/31/2023,102.36,103.98,101.12,101.38,-2.7,-2.59%,588851
05/30/2023,104.36,105.37,103.94,104.08,-0.2,-0.19%,238008
05/29/2023,104.82,105.54,103.67,104.28,-0.16,-0.15%,131010
05/26/2023,103.42,104.56,102.72,104.44,1.62,+1.58%,358775
05/25/2023,103.1,103.42,101.98,102.82,0.4,+0.39%,294016
05/24/2023,103.74,104.39,102.12,102.42,-2.1,-2.01%,480200
05/23/2023,104.04,104.62,103.62,104.52,0.34,+0.33%,294075
05/22/2023,103.38,104.24,103.06,104.18,0.5,+0.48%,292283
05/19/2023,102.64,103.99,102.54,103.68,0.9,+0.88%,322109
05/18/2023,100.46,102.78,100.46,102.78,2.84,+2.84%,303964
05/17/2023,99.17,100.35,99.12,99.94,0.22,+0.22%,278504
05/16/2023,99.92,100.06,98.66,99.72,-0.32,-0.32%,462109
05/15/2023,99.84,100.48,99.59,100.04,0.67,+0.67%,421191
05/12/2023,100.34,101.08,99.25,99.37,-9.07,-8.36%,729279
05/11/2023,108.68,108.91,107.7,108.44,-0.04,-0.04%,713561
05/10/2023,109.24,109.48,107.56,108.48,-0.12,-0.11%,476705
05/09/2023,109.09,109.56,108.24,108.6,-0.65,-0.59%,648240
05/08/2023,107.8,109.82,107.38,109.25,1.43,+1.33%,603279
05/05/2023,103.84,107.82,103.36,107.82,4.18,+4.03%,670785
05/04/2023,102.34,103.8,100.17,103.64,2.28,+2.25%,772789
05/03/2023,101.16,101.36,100.06,101.36,0.9,+0.90%,395474
05/02/2023,102.03,102.68,100.26,100.46,-0.64,-0.63%,511566
04/28/2023,101.35,102.12,98.23,101.1,0.48,+0.48%,663908
04/27/2023,101.16,102.57,100.53,100.62,-0.38,-0.38%,366967
04/26/2023,101.7,101.7,100.26,101,-0.28,-0.28%,395385
04/25/2023,101.3,102.04,100.95,101.28,0,0.00%,403676
04/24/2023,100.7,101.65,100.32,101.28,0.58,+0.58%,236338
04/21/2023,100.54,101.24,99.4,100.7,0.805,+0.81%,481292
04/20/2023,103.22,103.27,98.94,99.895,-4.025,-3.87%,1070945
04/19/2023,103.86,104.06,102.89,103.92,0.02,+0.02%,432734
04/18/2023,103.52,104.34,103.12,103.9,0.79,+0.77%,461486
04/17/2023,104.02,104.48,102.26,103.11,-0.52,-0.50%,627237
04/14/2023,102.92,104.19,102.64,103.63,1.29,+1.26%,446128
