Time,Open,High,Low,Last,Change,%Chg,Volume
06/05/2023,525,530,520,525,-1,-0.19%,1052893
06/02/2023,504,526,504,526,10.5,+2.04%,708357
06/01/2023,509,517.5,501.5,515.5,5.5,+1.08%,746684
05/31/2023,489.8,518.23,475.8,510,16.4,+3.32%,2166143
05/30/2023,463.8,496.4,458.4,493.6,31.6,+6.84%,1075458
05/26/2023,457,462.6,451,462,7.6,+1.67%,210103
05/25/2023,448,459.6,445.6,454.4,10.4,+2.34%,304655
05/24/2023,449.4,463.6,440.2,444,-6,-1.33%,610383
05/23/2023,452,455.4,444,450,1.4,+0.31%,1574192
05/22/2023,445,455.8,443,448.6,3.8,+0.85%,445196
05/19/2023,443.2,447,437,444.8,5,+1.14%,461540
05/18/2023,430,443.4,427.4,439.8,11.4,+2.66%,1867898
05/17/2023,428,429,419.6,428.4,-0.4,-0.09%,2098038
05/16/2023,427,429.4,418,428.8,5.8,+1.37%,492318
05/15/2023,432,432,420.4,423,1.6,+0.38%,181086
05/12/2023,427.2,427.2,420.8,421.4,-3.6,-0.85%,275571
05/11/2023,427.4,439.6,422,425,-3.6,-0.84%,417424
05/10/2023,424.2,428.6,422,428.6,2,+0.47%,191063
05/09/2023,431,431.6,421.6,426.6,-4.4,-1.02%,2094888
05/05/2023,426.6,433,418.8,431,9,+2.13%,273230
05/04/2023,417,423.2,405.4,422,2.8,+0.67%,1826131
05/03/2023,394.8,421.2,394.8,419.2,5,+1.21%,368503
05/02/2023,420,420,411.2,414.2,-1.6,-0.38%,197548
04/28/2023,411,420.8,411,415.8,-2.2,-0.53%,239254
04/27/2023,420,420,411.6,418,5.2,+1.26%,551516
04/26/2023,409.4,412.8,407.2,412.8,2.4,+0.58%,537439
04/25/2023,411,412.6,408.8,410.4,0.4,+0.10%,252654
04/24/2023,414.6,415,409.8,410,-3.8,-0.92%,178481
04/21/2023,408,413.8,406,413.8,4.2,+1.03%,205670
04/20/2023,411,411,406,409.6,-0.2,-0.05%,360831
04/19/2023,405.2,410.6,405.2,409.8,-2.4,-0.58%,289762
04/18/2023,412,415.4,405.4,412.2,4.4,+1.08%,416750
04/17/2023,403.6,409.8,402.2,407.8,5.8,+1.44%,951800
04/14/2023,398,402.2,397.2,402,4.6,+1.16%,207583
04/13/2023,389.2,397.4,386.6,397.4,7.4,+1.90%,290145
04/12/2023,383.6,394,383,390,6.4,+1.67%,1700250
04/11/2023,388,392.8,381.4,383.6,-2.8,-0.72%,276485
04/06/2023,383,388.4,382,386.4,-0.4,-0.10%,296588
04/05/2023,401.6,401.6,384,386.8,-8,-2.03%,1355182
04/04/2023,394.8,400.2,390.128,394.8,5.8,+1.49%,1874958
04/03/2023,386.6,403.2,385.8,389,0.6,+0.15%,1065261
03/31/2023,377.8,392,377.8,388.4,2,+0.52%,290263
03/30/2023,390.8,390.8,370.8,386.4,13.4,+3.59%,2068483
03/29/2023,365,376,362.3,373,10,+2.75%,8398514
03/28/2023,375.8,375.8,358.8,363,-11.4,-3.04%,2624977
03/27/2023,391.8,391.8,372.6,374.4,1,+0.27%,755568
03/24/2023,394.6,394.6,368.8,373.4,-9.2,-2.40%,631557
03/23/2023,379.6,386.46,379,382.6,-1.2,-0.31%,484390
03/22/2023,393.4,397,381.4,383.8,8.2,+2.18%,5555691
03/21/2023,370,378.6,353.4,375.6,7.6,+2.07%,1027787
03/20/2023,368,374.8,359.4,368,-1,-0.27%,301342
03/17/2023,375,375,365.4,369,-2.8,-0.75%,900287
03/16/2023,371.8,372.4,364.8,371.8,3.4,+0.92%,307415
03/15/2023,371,371,357.2,368.4,-2.4,-0.65%,620304
03/14/2023,362,372.2,357.6,370.8,10.2,+2.83%,1226929
03/13/2023,372.4,379,360.6,360.6,-18.2,-4.80%,393488
03/10/2023,378,383.8,376,378.8,-6.4,-1.66%,367332
03/09/2023,388,392.2,381.4,385.2,-7.4,-1.88%,402050
03/08/2023,395,396,390,392.6,-3.2,-0.81%,857508
03/07/2023,392.6,399.8,392.6,395.8,-3.4,-0.85%,195081
03/06/2023,402.6,402.6,394.6,399.2,-1,-0.25%,149859
03/03/2023,396,400.8,394,400.2,5.4,+1.37%,499864
03/02/2023,400.8,404,394.4,394.8,-7.4,-1.84%,215369
03/01/2023,398.6,403.8,398.6,402.2,2.6,+0.65%,531814
02/28/2023,397,401.4,393.2,399.6,-0.4,-0.10%,452162
02/27/2023,379.6,400.4,379.6,400,5.4,+1.37%,100480
02/24/2023,415.6,415.6,394.4,394.6,-4,-1.00%,142672
02/23/2023,404.8,406,396,398.6,-2.8,-0.70%,289468
02/22/2023,408,408,398.2,401.4,-6.4,-1.57%,123468
02/21/2023,410.4,412,405.6,407.8,-4,-0.97%,202056
02/20/2023,409.4,413,403.76,411.8,4.2,+1.03%,126021
02/17/2023,411,411,402.8,407.6,-3.8,-0.92%,284118
02/16/2023,408.4,414.2,407.6,411.4,3.6,+0.88%,229463
02/15/2023,400,408.6,400,407.8,6.2,+1.54%,265919
02/14/2023,403,411.4,400.6,401.6,-4.8,-1.18%,330634
02/13/2023,399.2,408.8,399.2,406.4,4.8,+1.20%,141091
02/10/2023,411.8,412.2,400,401.6,-10.2,-2.48%,333676
02/09/2023,404.6,413.2,402.4,411.8,5.6,+1.38%,1785406
02/08/2023,402.8,414.6,402.8,406.2,2.4,+0.59%,269538
02/07/2023,400,418.8,398.92,403.8,-12.8,-3.07%,1553462
02/06/2023,416.6,424.8,412.502,416.6,-10,-2.34%,282140
02/03/2023,420,427.2,411.2,426.6,6.6,+1.57%,378060
02/02/2023,372.4,428.2,372.4,420,29.8,+7.64%,1347077
02/01/2023,386.4,395,385.6,390.2,3.2,+0.83%,625764
01/31/2023,385.2,390.4,383.6,387,-3.8,-0.97%,825497
01/30/2023,379.6,395,379.2,390.8,-4.2,-1.06%,540966
01/27/2023,395.4,400.2,391.8,395,-6,-1.50%,1267475
01/26/2023,400,406,396.6,401,-2.8,-0.69%,5797352
01/25/2023,407.4,414,401.8,403.8,-7.2,-1.75%,816227
01/24/2023,404,419,404,411,7,+1.73%,214862
01/23/2023,377.4,406.6,377.4,404,2.4,+0.60%,150965
01/20/2023,400,406.4,400,401.6,-2.4,-0.59%,147093
01/19/2023,410,412,404,404,-6,-1.46%,1095494
01/18/2023,404.6,411,403,410,6.8,+1.69%,471954
01/17/2023,406,409,401.2,403.2,-2.8,-0.69%,194589
01/16/2023,411.6,414.4,402.2,406,-3.6,-0.88%,108369
01/13/2023,408,414.8,408,409.6,1,+0.24%,189036
01/12/2023,392.4,408.8,392.2,408.6,7.6,+1.90%,181660
01/11/2023,399.6,404.4,390.6,401,2.4,+0.60%,608935
01/10/2023,397,401.4,391.6,398.6,-2.2,-0.55%,428879
01/09/2023,395,401.4,385.936,400.8,14.4,+3.73%,212897
01/06/2023,385,387.6,375.4,386.4,6.2,+1.63%,194058
01/05/2023,384,387.2,380.2,380.2,-2.4,-0.63%,265404
01/04/2023,382.8,387.8,376.901,382.6,-0.6,-0.16%,232241
01/03/2023,370.8,393,370.8,383.2,-3.8,-0.98%,222908
12/30/2022,387,393.8,383,387,-4,-1.02%,48976
12/29/2022,404.6,404.6,383.4,391,2.4,+0.62%,1271715
12/28/2022,395,395,384.4,388.6,2.2,+0.57%,172134
12/23/2022,382.6,388.6,382.4,386.4,2.2,+0.57%,148335
12/22/2022,386.6,391.02,382.8,384.2,-3.4,-0.88%,720627
12/21/2022,375.2,391.6,374.435,387.6,3.2,+0.83%,193236
12/20/2022,378,391.2,376.2,384.4,5.6,+1.48%,793237
12/19/2022,371.2,390.6,367.748,378.8,-4.2,-1.10%,329611
12/16/2022,408.8,408.8,378.6,383,-9.2,-2.35%,580658
12/15/2022,399.4,401,391.6,392.2,-5.4,-1.36%,503945
12/14/2022,396.2,401.6,391.6,397.6,-2,-0.50%,643388
12/13/2022,390,405,381.2,399.6,2,+0.50%,1275437
12/12/2022,394.4,402.2,386,397.6,0.2,+0.05%,528529
12/09/2022,402.4,402.6,394.6,397.4,-2.6,-0.65%,2101285
12/08/2022,401.4,403.4,397.4,400,-0.6,-0.15%,115083
12/07/2022,402.6,411,398.8,400.6,-9.4,-2.29%,444037
12/06/2022,430.8,430.8,407.8,410,-10.4,-2.47%,290422
12/05/2022,426,431.2,419.6,420.4,-9.2,-2.14%,90977
12/02/2022,428,436,427,429.6,3,+0.70%,428902
12/01/2022,410.4,430.2,410,426.6,13.2,+3.19%,192490
11/30/2022,412,415.6,410,413.4,4.2,+1.03%,563147
11/29/2022,416,416,407.8,409.2,-4.2,-1.02%,282744
11/28/2022,411.4,418,407.4,413.4,-5,-1.20%,425041
11/25/2022,408.6,421.4,408.6,418.4,-0.8,-0.19%,273635
11/24/2022,423.6,424.4,418,419.2,-2.8,-0.66%,1239247
11/23/2022,400.6,426.4,400.6,422,-2,-0.47%,184804
11/22/2022,423.6,427.8,418.4,424,3.8,+0.90%,205101
11/21/2022,412,421.4,407,420.2,6.6,+1.60%,723304
11/18/2022,405.6,417.8,405.2,413.6,2.8,+0.68%,307605
11/17/2022,416.4,416.4,404.8,410.8,-6,-1.44%,295459
11/16/2022,428.6,432,412.6,416.8,-10.2,-2.39%,619010
11/15/2022,430.6,439,424.6,427,-1.4,-0.33%,629841
11/14/2022,432.8,436,416,428.4,-4.8,-1.11%,785260
11/11/2022,410.2,440.58,410.2,433.2,12.4,+2.95%,340041
11/10/2022,397.4,420.8,388.27,420.8,23.2,+5.84%,390889
11/09/2022,396.8,401,390.2,397.6,2.4,+0.61%,1327064
11/08/2022,391.6,396.6,388.6,395.2,5.6,+1.44%,360839
11/07/2022,374.4,394,372.49,389.6,10.6,+2.80%,712322
11/04/2022,382.4,384.4,367,379,1.8,+0.48%,261931
11/03/2022,376.8,382.2,373.36,377.2,-4,-1.05%,1297053
11/02/2022,386.4,386.4,370.4,381.2,9.6,+2.58%,873490
11/01/2022,367.4,379.8,363.8,371.6,12.4,+3.45%,1080724
10/31/2022,380.6,380.6,355.6,359.2,-9.2,-2.50%,313010
10/28/2022,375.8,385.8,367.2,368.4,-6,-1.60%,570012
10/27/2022,377.6,391,365.8,374.4,-3.2,-0.85%,1810517
10/26/2022,432.8,434.92,360.2,377.6,-60.4,-13.79%,5316566
10/25/2022,419.8,438.2,405.4,438,22.8,+5.49%,1272604
10/24/2022,404.6,433,404.6,415.2,2.2,+0.53%,272709
10/21/2022,405,416.8,403.6,413,6.2,+1.52%,379179
10/20/2022,403.6,411.4,398.4,406.8,3,+0.74%,511576
10/19/2022,412,419.2,402.4,403.8,-14.8,-3.54%,249531
10/18/2022,420.6,424,413.4,418.6,3.6,+0.87%,189521
10/17/2022,416,418.6,396.6,415,11.2,+2.77%,331090
10/14/2022,414.8,426.8,400.6,403.8,-7,-1.70%,298228
10/13/2022,400,413.8,397,410.8,10.8,+2.70%,820870
10/12/2022,384.4,408.2,384.4,400,-4,-0.99%,901038
10/11/2022,403,405.4,395,404,1.4,+0.35%,312217
10/10/2022,416.6,425.2,399.2,402.6,-6.2,-1.52%,345942
10/07/2022,438,441.4,405,408.8,-34,-7.68%,704433
10/06/2022,436.6,442.8,429.2,442.8,6.8,+1.56%,613124
10/05/2022,445,445,429.8,436,2.8,+0.65%,669058
10/04/2022,405.6,433.2,405.6,433.2,16,+3.84%,869349
10/03/2022,400.4,419,400.4,417.2,-2.6,-0.62%,1462640
09/30/2022,395,421.6,395,419.8,15,+3.71%,282050
09/29/2022,410.8,415,399.6,404.8,-6.6,-1.60%,566200
09/28/2022,413.2,413.8,399.2,411.4,-6.4,-1.53%,573152
09/27/2022,426.2,431.6,417.6,417.8,-7.6,-1.79%,1123637
09/26/2022,419.8,427.2,414.6,425.4,5.4,+1.29%,567941
09/23/2022,422.8,425.4,412,420,-2,-0.47%,2362591
09/22/2022,427.4,431.68,419.2,422,-8,-1.86%,422729
09/21/2022,439.2,439.69,420,430,3.6,+0.84%,1400731
09/20/2022,424,427.2,410.8,426.4,3.2,+0.76%,289880
09/16/2022,422.8,427.6,417,423.2,-3.4,-0.80%,709690
09/15/2022,421.6,443,421.6,426.6,0,0.00%,284943
09/14/2022,420.6,435.6,419,426.6,-4.6,-1.07%,969636
09/13/2022,460.8,460.8,429.4,431.2,-8.6,-1.96%,833044
09/12/2022,436,440.2,429.6,439.8,8.6,+1.99%,1111533
09/09/2022,460.4,460.4,429.4,431.2,-8.8,-2.00%,743658
09/08/2022,432.6,441.2,432.6,440,4.8,+1.10%,312341
09/07/2022,428,438.4,428,435.2,5.4,+1.26%,128604
09/06/2022,421.2,429.8,410.6,429.8,22,+5.39%,295589
09/05/2022,401.6,418.8,401.6,407.8,-2.6,-0.63%,248883
09/02/2022,393.2,411.2,393.2,410.4,9.8,+2.45%,162143
09/01/2022,418,418,400,400.6,-16.4,-3.93%,215717
08/31/2022,416,418.2,410.7,417,2,+0.48%,491885
08/30/2022,429,434.4,406.2,415,-10.6,-2.49%,720922
08/26/2022,435.2,435.2,425,425.6,-5.6,-1.30%,261153
08/25/2022,441.2,441.2,422,431.2,8.6,+2.04%,129357
08/24/2022,406.8,422.8,403.2,422.6,-1,-0.24%,351235
08/23/2022,438.4,442,419,423.6,-15,-3.42%,290805
08/22/2022,473.6,473.6,435.6,438.6,-9.8,-2.19%,539729
08/19/2022,468.8,468.8,445,448.4,-0.8,-0.18%,114909
08/18/2022,463.4,463.4,435.71,449.2,5.8,+1.31%,176685
08/17/2022,453.4,455.86,440.6,443.4,-7.4,-1.64%,100166
08/16/2022,477.4,477.4,445.6,450.8,-7,-1.53%,101455
08/15/2022,453.2,475.25,449.6,457.8,6.6,+1.46%,101499
08/12/2022,449,451.6,441,451.2,3.4,+0.76%,388162
08/11/2022,449.4,449.4,438.116,447.8,7.2,+1.63%,106433
08/10/2022,406.2,440.6,406.2,440.6,19.8,+4.71%,259026
08/09/2022,429.8,441.2,420.4,420.8,-20.8,-4.71%,127306
08/08/2022,415.4,447,415.4,441.6,-0.8,-0.18%,123290
08/05/2022,431,448.48,431,442.4,-5.4,-1.21%,292531
08/04/2022,430,454,430,447.8,2,+0.45%,129003
08/03/2022,416.4,448.8,416.4,445.8,7.6,+1.73%,173575
08/02/2022,470,470,433.2,438.2,-9.6,-2.14%,826554
08/01/2022,472.6,472.6,446.4,447.8,-3.4,-0.75%,291191
07/29/2022,416.8,454.8,416.8,451.2,11,+2.50%,252505
07/28/2022,453.4,453.4,420.311,440.2,7.2,+1.66%,209145
07/27/2022,406.2,434,406.2,433,6,+1.41%,160167
07/26/2022,425.2,440.512,422.6,427,-10.2,-2.33%,200048
07/25/2022,428.2,446.4,428.2,437.2,-2.4,-0.55%,154775
07/22/2022,463.8,463.8,437.6,439.6,-6.6,-1.48%,329879
07/21/2022,433.8,446.2,417.8,446.2,25.6,+6.09%,323202
07/20/2022,424.4,424.4,417,420.6,-0.4,-0.10%,484162
07/19/2022,403.2,422,401.8,421,3.2,+0.77%,364830
07/18/2022,419.8,420,413,417.8,-1.6,-0.38%,185454
07/15/2022,405,420.8,403.141,419.4,5.8,+1.40%,404239
07/14/2022,408.4,415.6,404,413.6,3.4,+0.83%,1646961
07/13/2022,436,436,405.8,410.2,-5.6,-1.35%,411837
07/12/2022,423.6,423.6,412.6,415.8,-4.2,-1.00%,82366
07/11/2022,430,430,415.6,420,-8,-1.87%,60682
07/08/2022,451,451,424,428,-2.6,-0.60%,246580
07/07/2022,431.8,431.8,424.6,430.6,3.6,+0.84%,138669
07/06/2022,409.8,427,386.8,427,20.6,+5.07%,153678
07/05/2022,408,409.6,398,406.4,1,+0.25%,346631
07/04/2022,399.2,438,399.2,405.4,-10,-2.41%,196439
07/01/2022,398.6,421.2,398.6,415.4,-3,-0.72%,149484
06/30/2022,420.6,422.4,409.4,418.4,-4.2,-0.99%,636193
06/29/2022,455.8,455.8,421.8,422.6,-10,-2.31%,111541
06/28/2022,436.4,441.56,432.2,432.6,-3.8,-0.87%,108957
06/27/2022,452.8,462.6,436.4,436.4,-3.2,-0.73%,170734
06/24/2022,443.8,443.8,424.2,439.6,18.6,+4.42%,272492
06/23/2022,447.8,447.8,415.8,421,-6.6,-1.54%,438245
06/22/2022,411.4,429,408.8,427.6,9,+2.15%,237569
06/21/2022,447,447,417.6,418.6,-8.6,-2.01%,134392
06/20/2022,432,445.8,424.4,427.2,-2,-0.47%,237936
06/17/2022,436.8,436.8,418,429.2,11.6,+2.78%,989019
06/16/2022,439.8,439.8,412.4,417.6,-5.8,-1.37%,751828
06/15/2022,417.8,423.4,413,423.4,11.6,+2.82%,314004
06/14/2022,410.8,413.8,400,411.8,5,+1.23%,442578
06/13/2022,400,410.2,398.333,406.8,-12.6,-3.00%,367136
06/10/2022,425.4,433,418.4,419.4,-18.8,-4.29%,165550
06/09/2022,417.4,440,417.4,438.2,-0.4,-0.09%,340978
06/08/2022,440,446,435.6,438.6,-7.8,-1.75%,247838
06/07/2022,440,455.8,440,446.4,-9.4,-2.06%,242087
06/06/2022,457.2,470.82,446.8,455.8,2.8,+0.62%,108521
06/01/2022,465.4,466.6,453,453,-13.6,-2.91%,522103
05/31/2022,463.6,470,447.12,466.6,-2.2,-0.47%,461645
05/30/2022,478.6,478.6,460.4,468.8,10.6,+2.31%,465700
05/27/2022,453,459.8,447.8,458.2,8.6,+1.91%,331459
05/26/2022,455,455,436.2,449.6,11.4,+2.60%,432006
05/25/2022,448.2,448.2,427.4,438.2,4.2,+0.97%,405824
05/24/2022,447,464.6,434,434,-5.6,-1.27%,487127
05/23/2022,444.6,444.8,428.4,439.6,15,+3.53%,276018
"Downloaded from Barchart.com as of 06-05-2023 04:50pm CDT"
