Time,Open,High,Low,Last,Change,%Chg,Volume
06/05/2023,863.6,871.8,854.6,871.8,12.6,+1.47%,642275
06/02/2023,831.2,860,826.2,859.2,45.6,+5.60%,1209918
06/01/2023,791,820.4,785.92,813.6,30,+3.83%,535595
05/31/2023,790,809.2,779.4,783.6,-12.8,-1.61%,673610
05/30/2023,800.2,831.6,794,796.4,-0.8,-0.10%,417337
05/26/2023,788.8,806.6,780.208,797.2,18.8,+2.42%,421301
05/25/2023,753.4,793.8,740.32,778.4,35.2,+4.74%,794670
05/24/2023,784.2,784.6,735.2,743.2,-55.4,-6.94%,1335518
05/23/2023,790,810.4,780.8,798.6,10.8,+1.37%,940150
05/22/2023,774.2,792,763.6,787.8,17.2,+2.23%,1403789
05/19/2023,793.2,797.2,770.6,770.6,-16.2,-2.06%,507387
05/18/2023,767,794,765.01,786.8,21.6,+2.82%,551806
05/17/2023,722.8,766.8,722.6,765.2,29.8,+4.05%,793080
05/16/2023,715,739.6,707.8,735.4,16,+2.22%,436066
05/15/2023,701.2,720,691.4,719.4,18.6,+2.65%,307856
05/12/2023,719,726.4,699.2,700.8,-23,-3.18%,840469
05/11/2023,728.6,741.2,719,723.8,-12.2,-1.66%,628572
05/10/2023,748,761,735.4,736,-9.4,-1.26%,674200
05/09/2023,736.8,749.6,727.2,745.4,43,+6.12%,1452456
05/05/2023,663.2,704.2,663.2,702.4,32.6,+4.87%,654822
05/04/2023,675.2,701.4,658.6,669.8,-16.6,-2.42%,1013425
05/03/2023,679.8,688,673,686.4,14,+2.08%,517256
05/02/2023,685.2,697.4,662.4,672.4,18,+2.75%,1068095
04/28/2023,635.6,661.6,631.401,654.4,19.6,+3.09%,587993
04/27/2023,628,642.4,625.8,634.8,-1.6,-0.25%,741229
04/26/2023,646.8,652.8,631.6,636.4,-22,-3.34%,1145345
04/25/2023,652,666.6,651.8,658.4,-2.6,-0.39%,516512
04/24/2023,670.4,678.8,656.4,661,-2.8,-0.42%,432016
04/21/2023,672.8,684.6,657.2,663.8,-23.8,-3.46%,654841
04/20/2023,691.4,702.6,682,687.6,-16,-2.27%,627731
04/19/2023,703.6,704.8,686.6,703.6,-3.6,-0.51%,544537
04/18/2023,704,709.2,698.6,707.2,7.8,+1.12%,591433
04/17/2023,701.2,710.6,690,699.4,0.4,+0.06%,359142
04/14/2023,686.6,709.4,686.6,699,0.6,+0.09%,295765
04/13/2023,686.8,704.8,679.4,698.4,3.8,+0.55%,536314
04/12/2023,718,735.2,694.6,694.6,-35,-4.80%,987070
04/11/2023,714.4,729.6,708.4,729.6,27.8,+3.96%,648777
04/06/2023,699.4,708,689.8,701.8,5.4,+0.78%,780234
04/05/2023,706.6,714.271,692.071,696.4,6,+0.87%,716920
04/04/2023,720.6,722.4,687,690.4,-22.8,-3.20%,964750
04/03/2023,733.4,734.6,705,713.2,-21,-2.86%,738554
03/31/2023,733.8,742.38,731.8,734.2,3.4,+0.47%,610376
03/30/2023,709.4,736,704.608,730.8,30.2,+4.31%,1243629
03/29/2023,668.4,705,660.8,700.6,36,+5.42%,1294850
03/28/2023,647,676.8,629,664.6,12,+1.84%,1609050
03/27/2023,665.2,700,647.4,652.6,0,0.00%,1263653
03/24/2023,681.8,681.8,648,652.6,-17,-2.54%,859993
03/23/2023,662.6,686,650.8,669.6,1.8,+0.27%,1209166
03/22/2023,669,681,660.6,667.8,-8.2,-1.21%,823584
03/21/2023,637.6,676,633.6,676,45.8,+7.27%,1141415
03/20/2023,623.2,647.8,612,630.2,-4.6,-0.72%,694168
03/17/2023,667.2,677,631.6,634.8,-22.6,-3.44%,1218235
03/16/2023,649.4,663,628.6,657.4,21,+3.30%,1292521
03/15/2023,685,685,634.4,636.4,-62.6,-8.96%,1712376
03/14/2023,688,705.2,676.2,699,11.8,+1.72%,1139773
03/13/2023,737.6,743.6,677.8,687.2,-57.2,-7.68%,1315675
03/10/2023,742.4,754.8,705.967,744.4,-29.6,-3.82%,1075412
03/09/2023,795,797.2,770.8,774,-42,-5.15%,891158
03/08/2023,820,825.2,806.8,816,-17.6,-2.11%,474743
03/07/2023,825,839,820.601,833.6,-10.4,-1.23%,551017
03/06/2023,823.2,853.6,823.2,844,22.8,+2.78%,794514
03/03/2023,795.4,825.8,789.2,821.2,44.4,+5.72%,1103475
03/02/2023,774.2,785,764.8,776.8,-6.8,-0.87%,679112
03/01/2023,791.2,797.6,779,783.6,4.2,+0.54%,1049961
02/28/2023,802.8,807.8,761.8,779.4,-36,-4.42%,1127791
02/27/2023,807,818.2,798.8,815.4,26.4,+3.35%,955159
02/24/2023,812,815.4,785.4,789,-21.4,-2.64%,795537
02/23/2023,820.2,844.4,805.6,810.4,-11,-1.34%,604762
02/22/2023,813.2,835,804,821.4,-2.8,-0.34%,540346
02/21/2023,846.8,846.8,817,824.2,-21,-2.48%,639914
02/20/2023,847.8,848.8,833.2,845.2,-3,-0.35%,292946
02/17/2023,864.2,866.6,843.6,848.2,-37.2,-4.20%,502499
02/16/2023,896.2,907.8,874,885.4,-1.4,-0.16%,814672
02/15/2023,859,893.6,850,886.8,40.2,+4.75%,715075
02/14/2023,849.2,863,831,846.6,3.8,+0.45%,585424
02/13/2023,821.8,842.8,818.1,842.8,20.8,+2.53%,354990
02/10/2023,850,856.8,810,822,-44.6,-5.15%,1290263
02/09/2023,889.8,893.2,860,866.6,-16,-1.81%,903907
02/08/2023,895,914,881.4,882.6,8.4,+0.96%,923016
02/07/2023,872.8,928.2,869.962,874.2,1.4,+0.16%,1111633
02/06/2023,872.4,877.6,845.8,872.8,-17.2,-1.93%,1484375
02/03/2023,875,893.292,861.8,890,11.2,+1.27%,1100304
02/02/2023,797,883.2,796.721,878.8,105.8,+13.69%,1977368
02/01/2023,772.8,785.4,765.2,773,5.4,+0.70%,572116
01/31/2023,764.6,775.4,757.18,767.6,-16.2,-2.07%,734886
01/30/2023,781.6,800.4,759.2,783.8,-2.4,-0.31%,944745
01/27/2023,770,797.2,757.6,786.2,15,+1.95%,1452679
01/26/2023,794.4,794.85,765.6,771.2,-3.6,-0.46%,820008
01/25/2023,770.6,780.6,751,774.8,-10.6,-1.35%,672478
01/24/2023,768.8,792.2,759,785.4,16.6,+2.16%,1972812
01/23/2023,751.8,780.4,751.2,768.8,11.4,+1.51%,575287
01/20/2023,729,760.2,723.8,757.4,36.4,+5.05%,712506
01/19/2023,762.6,762.6,716.55,721,-39,-5.13%,1287525
01/18/2023,784.2,798.4,757.8,760,-12.2,-1.58%,1482050
01/17/2023,791.8,803,755.2,772.2,-27.6,-3.45%,2176666
01/16/2023,760,800.8,749.8,799.8,40,+5.26%,1034600
01/13/2023,740,766.6,738.202,759.8,32.8,+4.51%,1960866
01/12/2023,704.4,739.4,704.4,727,14.8,+2.08%,1700817
01/11/2023,693.4,716.2,693.4,712.2,22.4,+3.25%,900422
01/10/2023,690,697.4,673,689.8,9,+1.32%,845758
01/09/2023,658.4,685,658.4,680.8,15.6,+2.35%,890998
01/06/2023,645.2,672.2,643,665.2,22,+3.42%,2511493
01/05/2023,620.4,652,620.4,643.2,11.2,+1.77%,1599452
01/04/2023,593.6,635.8,585,632,40,+6.76%,1385166
01/03/2023,595.2,619.4,585.4,592,12.6,+2.17%,1158883
12/30/2022,585.8,588.8,579.4,579.4,-6.2,-1.06%,239135
12/29/2022,565.2,585.6,554.064,585.6,19.4,+3.43%,709498
12/28/2022,575,583.4,563.2,566.2,-13.8,-2.38%,1300404
12/23/2022,573.8,581.4,571.6,580,8.8,+1.54%,266366
12/22/2022,611.6,622,571.2,571.2,-39.8,-6.51%,1132429
12/21/2022,587.4,635.818,564.707,611,23.4,+3.98%,1689156
12/20/2022,578.8,596.4,567.2,587.6,0.6,+0.10%,912558
12/19/2022,610,618.8,583.8,587,-26,-4.24%,663001
12/16/2022,619.6,623.8,606,613,-7.4,-1.19%,1658130
12/15/2022,625,637.2,615.8,620.4,-15.6,-2.45%,827738
12/14/2022,638,644.6,627.8,636,-10.4,-1.61%,815058
12/13/2022,648.8,693.4,640.6,646.4,1.4,+0.22%,911488
12/12/2022,652.8,652.8,619.2,645,-10,-1.53%,913633
12/09/2022,654.4,662.4,649,655,-5,-0.76%,557597
12/08/2022,647,669.2,645.878,660,5,+0.76%,637514
12/07/2022,673.6,682.824,650,655,-20.4,-3.02%,916616
12/06/2022,715,715.2,674,675.4,-45.4,-6.30%,1076792
12/05/2022,710.6,736.4,701.2,720.8,24.2,+3.47%,1017758
12/02/2022,707.6,719.4,685.4,696.6,-29.2,-4.02%,1283576
12/01/2022,725.2,742.2,717.2,725.8,10,+1.40%,1086242
11/30/2022,730,736.4,712.2,715.8,9.4,+1.33%,901675
11/29/2022,708,708,693,706.4,-2.8,-0.39%,581127
11/28/2022,715.6,730.2,707,709.2,-20.6,-2.82%,529445
11/25/2022,736.6,736.6,712.6,729.8,-11.2,-1.51%,1016251
11/24/2022,727.2,742.4,713.6,741,24,+3.35%,315835
11/23/2022,700.6,718.6,698,717,9,+1.27%,535093
11/22/2022,714,714.8,688.8,708,5.8,+0.83%,901829
11/21/2022,707.4,715.8,691.6,702.2,-12,-1.68%,747585
11/18/2022,724.6,729.4,702.2,714.2,1.8,+0.25%,745212
11/17/2022,727.6,734.722,694.4,712.4,-15,-2.06%,846991
11/16/2022,786,793,718.8,727.4,-116.4,-13.79%,1960533
11/15/2022,804.6,854.8,804.6,843.8,34.4,+4.25%,1082741
11/14/2022,788,814,775.6,809.4,40.6,+5.28%,1256483
