Time,Open,High,Low,Last,Change,%Chg,Volume
06/05/2023,2460,2493.918,2454,2463,1,+0.04%,395112
06/02/2023,2425,2475,2408,2462,49,+2.03%,563179
06/01/2023,2408,2417,2397,2413,4,+0.17%,571678
05/31/2023,2376,2426,2356,2409,6,+0.25%,2628734
05/30/2023,2401,2428,2391,2403,8,+0.33%,880894
05/26/2023,2380,2406,2364,2395,23,+0.97%,1446461
05/25/2023,2346,2377,2336,2372,32,+1.37%,965352
05/24/2023,2365,2374,2322,2340,-40,-1.68%,1284734
05/23/2023,2429,2441,2377,2380,-75,-3.05%,1073720
05/22/2023,2491,2497,2430,2455,-43,-1.72%,711378
05/19/2023,2495,2520.954,2483,2498,14,+0.56%,899231
05/18/2023,2474,2506.187,2471,2484,39,+1.60%,487270
05/17/2023,2464,2477,2437,2445,-33,-1.33%,440427
05/16/2023,2473,2489,2463,2478,18,+0.73%,528354
05/15/2023,2451,2463,2445.864,2460,17,+0.70%,449600
05/12/2023,2432,2458,2430.959,2443,10,+0.41%,508353
05/11/2023,2386,2433,2385,2433,48,+2.01%,1230450
05/10/2023,2381,2400,2358,2385,-2,-0.08%,518427
05/09/2023,2390,2406.13,2375,2387,-3,-0.13%,1187454
05/05/2023,2404,2411,2359,2390,2,+0.08%,482845
05/04/2023,2344,2390,2344,2388,30,+1.27%,665529
05/03/2023,2326,2371,2326,2358,28,+1.20%,1219283
05/02/2023,2312,2342,2305,2330,22,+0.95%,639337
04/28/2023,2282,2317,2273,2308,37,+1.63%,573862
04/27/2023,2222,2278,2216,2271,46,+2.07%,604122
04/26/2023,2276,2282.612,2222,2225,-62,-2.71%,638133
04/25/2023,2252,2295,2250,2287,25,+1.11%,584412
04/24/2023,2237,2269,2233,2262,24,+1.07%,344317
04/21/2023,2204,2239,2198,2238,27,+1.22%,581016
04/20/2023,2192,2211,2174,2211,14,+0.64%,729737
04/19/2023,2226,2236,2197,2197,-49,-2.18%,397588
04/18/2023,2261,2269,2240,2246,-14,-0.62%,380700
04/17/2023,2262,2272,2257,2260,4,+0.18%,293896
04/14/2023,2219,2264,2217,2256,41,+1.85%,575068
04/13/2023,2225,2243.07,2206,2215,2,+0.09%,365517
04/12/2023,2179,2220,2178.679,2213,31,+1.42%,563600
04/11/2023,2184,2188.068,2165,2182,5,+0.23%,411341
04/06/2023,2142,2177,2142,2177,22,+1.02%,349243
04/05/2023,2201,2201,2131,2155,-49,-2.22%,461987
04/04/2023,2211,2229,2199,2204,-1,-0.05%,669344
04/03/2023,2228,2228,2191,2205,-24,-1.08%,458713
03/31/2023,2212,2241,2190,2229,16,+0.72%,729166
03/30/2023,2177,2213,2171.945,2213,47,+2.17%,413587
03/29/2023,2147,2166,2137,2166,38,+1.79%,307105
03/28/2023,2125,2151,2120,2128,11,+0.52%,487802
03/27/2023,2116,2133.24,2100,2117,21,+1.00%,524054
03/24/2023,2106,2120,2093,2096,-15,-0.71%,298651
03/23/2023,2101,2118.382,2087.44,2111,12,+0.57%,898462
03/22/2023,2095,2108,2076,2099,13,+0.62%,631295
03/21/2023,2090,2109,2085,2086,9,+0.43%,553462
03/20/2023,2053,2104,2048,2077,10,+0.48%,516013
03/17/2023,2097,2114,2046,2067,-24,-1.15%,1603764
03/16/2023,2078,2101,2037,2091,44,+2.15%,804300
03/15/2023,2105,2105,2047,2047,-42,-2.01%,473166
03/14/2023,2045,2100,2045,2089,38,+1.85%,764747
03/13/2023,2078,2079,2022,2051,-29,-1.39%,393881
03/10/2023,2122,2122,2067,2080,-64,-2.99%,430447
03/09/2023,2149,2149,2113,2144,-12,-0.56%,371688
03/08/2023,2143,2156,2130,2156,1,+0.05%,309710
03/07/2023,2151,2174,2144.839,2155,-4,-0.19%,556435
03/06/2023,2175,2180,2140,2159,-17,-0.78%,379631
03/03/2023,2202,2204,2162,2176,-10,-0.46%,685141
03/02/2023,2155,2194,2153,2186,19,+0.88%,503799
03/01/2023,2172,2201,2158,2167,3,+0.14%,492683
02/28/2023,2193,2193,2152,2164,-29,-1.32%,992344
02/27/2023,2193,2216,2192,2193,14,+0.64%,372270
02/24/2023,2204,2227,2177,2179,-17,-0.77%,453545
02/23/2023,2200,2220,2194,2196,3,+0.14%,446430
02/22/2023,2197,2225,2181,2193,-16,-0.72%,572436
02/21/2023,2215,2220,2189,2209,-14,-0.63%,518082
02/20/2023,2238,2242,2218,2223,-16,-0.71%,219962
02/17/2023,2226,2251,2210,2239,-21,-0.93%,449179
02/16/2023,2252,2270,2225,2260,19,+0.85%,428954
02/15/2023,2228,2259,2218,2241,21,+0.95%,399600
02/14/2023,2249,2273,2220,2220,-27,-1.20%,525085
02/13/2023,2217,2247,2212.9,2247,36,+1.63%,585579
02/10/2023,2256,2280,2211,2211,-54,-2.38%,794793
02/09/2023,2301,2315,2265,2265,-28,-1.22%,958515
02/08/2023,2284,2328,2283,2293,22,+0.97%,840033
02/07/2023,2293,2313,2259,2271,-28,-1.22%,715705
02/06/2023,2294,2308,2282,2299,-16,-0.69%,485912
02/03/2023,2278,2320,2259,2315,26,+1.14%,756059
02/02/2023,2211,2289,2200.72,2289,110,+5.05%,478079
02/01/2023,2152,2210,2152,2179,31,+1.44%,585357
01/31/2023,2140,2154,2122,2148,-6,-0.28%,878536
01/30/2023,2101,2154,2095,2154,39,+1.84%,382993
01/27/2023,2129,2145,2100,2115,-23,-1.08%,564592
01/26/2023,2112,2162,2107,2138,45,+2.15%,622802
01/25/2023,2130,2132,2079,2093,-35,-1.64%,1893010
01/24/2023,2144,2148.19,2116,2128,-4,-0.19%,1049895
01/23/2023,2128,2144.306,2100,2132,27,+1.28%,645475
01/20/2023,2104,2124,2090,2105,-3,-0.14%,503643
01/19/2023,2154,2158,2108,2108,-49,-2.27%,368744
01/18/2023,2184,2206.136,2151,2157,-23,-1.06%,484720
01/17/2023,2161,2182,2142,2180,14,+0.65%,710456
01/16/2023,2132,2183,2124,2166,41,+1.93%,413995
01/13/2023,2112,2128,2093,2125,19,+0.90%,657052
01/12/2023,2135,2142,2081,2106,-27,-1.27%,526622
01/11/2023,2084,2166.082,2081.08,2133,43,+2.06%,737929
01/10/2023,2069,2095,2050,2090,7,+0.34%,448195
01/09/2023,2094,2094,2062,2083,20,+0.97%,559724
01/06/2023,2057,2067,2022,2063,6,+0.29%,352738
01/05/2023,2064,2075,2046,2057,-19,-0.92%,342788
01/04/2023,2048,2076,2036,2076,46,+2.27%,857726
01/03/2023,1969.5,2038,1969,2030,56,+2.84%,816746
12/30/2022,2013,2020,1974,1974,-46,-2.28%,327554
12/29/2022,2013,2021,1993,2020,3,+0.15%,317791
12/28/2022,2000,2033,1991,2017,26.5,+1.33%,438008
12/23/2022,1995,2031,1990.5,1990.5,-4,-0.20%,210210
12/22/2022,2054,2065,1994.5,1994.5,-53.5,-2.61%,363268
12/21/2022,2067,2072,2018,2048,-8,-0.39%,556829
12/20/2022,2034,2060,2027,2056,-6,-0.29%,744293
12/19/2022,2076,2076,2049.763,2062,-5,-0.24%,326295
12/16/2022,2125,2130,2064,2067,-73,-3.41%,1365789
12/15/2022,2149,2172,2129.36,2140,-37,-1.70%,429449
12/14/2022,2167,2177,2144,2177,-9,-0.41%,362120
12/13/2022,2138,2227,2116,2186,49,+2.29%,708836
12/12/2022,2128,2152,2113,2137,4,+0.19%,496355
12/09/2022,2090,2135.82,2068,2133,56,+2.70%,544253
12/08/2022,2133,2133,2074,2077,-47,-2.21%,656158
12/07/2022,2149,2172,2118,2124,-36,-1.67%,1053320
12/06/2022,2201,2212,2159.789,2160,-58,-2.61%,567728
12/05/2022,2258,2258,2218,2218,-31,-1.38%,561147
12/02/2022,2222,2268.64,2197,2249,30,+1.35%,581514
12/01/2022,2207,2240,2202,2219,47,+2.16%,685054
11/30/2022,2130,2192,2126,2172,44,+2.07%,1864154
11/29/2022,2260,2263,2113,2128,-143,-6.30%,784852
11/28/2022,2262,2289,2244,2271,2,+0.09%,545289
11/25/2022,2254,2270,2228,2269,3,+0.13%,709039
11/24/2022,2252,2280,2228,2266,11,+0.49%,398030
11/23/2022,2248,2271,2216,2255,15,+0.67%,499976
11/22/2022,2215,2245,2196,2240,15,+0.67%,595157
11/21/2022,2207,2232,2162,2225,0,0.00%,623792
11/18/2022,2232,2250,2207,2225,-22,-0.98%,781500
11/17/2022,2394,2394,2200.728,2247,-102,-4.34%,764489
11/16/2022,2376,2397.96,2342,2349,-21,-0.89%,566339
11/15/2022,2421,2436,2353,2370,-49,-2.03%,884992
11/14/2022,2361,2419,2347,2419,62,+2.63%,963152
11/11/2022,2310,2361,2305,2357,28,+1.20%,520037
11/10/2022,2194,2333,2159,2329,116,+5.24%,491615
11/09/2022,2176,2215,2176,2213,11,+0.50%,341762
11/08/2022,2143,2205,2128.04,2202,45,+2.09%,478995
11/07/2022,2155,2163,2125,2157,0,0.00%,639227
11/04/2022,2079,2157,2063,2157,91,+4.40%,700847
11/03/2022,2079,2086,2037,2066,-52,-2.46%,736960
11/02/2022,2135,2143,2117,2118,-7,-0.33%,469788
11/01/2022,2139,2158,2112,2125,10,+0.47%,431088
10/31/2022,2149,2149,2105,2115,-23,-1.08%,521495
10/28/2022,2158,2160,2124,2138,-48,-2.20%,659769
10/27/2022,2191,2197,2156,2186,-20,-0.91%,694541
10/26/2022,2154,2217,2150,2206,36,+1.66%,475435
10/25/2022,2121,2184.224,2111,2170,55,+2.60%,515052
10/24/2022,2112,2144,2092,2115,41,+1.98%,567631
10/21/2022,2048,2074,2019,2074,0,0.00%,6073353
10/20/2022,2026,2074,2007,2074,30,+1.47%,906416
10/19/2022,2077,2077,2018,2044,-30,-1.45%,682553
10/18/2022,2063,2099,2056,2074,46,+2.27%,691641
10/17/2022,2037,2037,1930,2028,-15,-0.73%,1153425
10/14/2022,2048,2102,2030,2043,28,+1.39%,682543
10/13/2022,2069,2075,1950.927,2015,-65,-3.13%,1106187
10/12/2022,2095,2126,2073,2080,-17,-0.81%,545895
10/11/2022,2109,2121,2067,2097,-13,-0.62%,619928
10/10/2022,2100,2127,2077,2110,8,+0.38%,474995
10/07/2022,2145,2161,2087,2102,-58,-2.69%,992750
10/06/2022,2162,2174,2144,2160,19,+0.89%,430633
10/05/2022,2169,2191.172,2126,2141,-23,-1.06%,653739
10/04/2022,2080,2183.2,2066,2164,105,+5.10%,890390
10/03/2022,2014,2060,1968,2059,14,+0.68%,784016
09/30/2022,1980,2061.319,1980,2045,34,+1.69%,784326
09/29/2022,2041,2053.507,1981.5,2011,-49,-2.38%,967875
09/28/2022,2006,2062,1989.5,2060,14,+0.68%,1438719
09/27/2022,2120,2124,2045,2046,-61,-2.90%,1603941
09/26/2022,2056,2128,2056,2107,46,+2.23%,785179
09/23/2022,2011,2080,2005,2061,36,+1.78%,1211416
09/22/2022,2090,2128,2015,2025,-83,-3.94%,2256802
09/21/2022,2024,2108,2022,2108,73,+3.59%,855616
09/20/2022,2017,2049,2004,2035,35,+1.75%,1230045
09/16/2022,2020,2026,1961,2000,-38,-1.86%,2318758
09/15/2022,2049,2073,2032,2038,-26,-1.26%,1090111
09/14/2022,2137,2141,2059,2064,-74,-3.46%,940395
09/13/2022,2207,2236,2138,2138,-58,-2.64%,778608
09/12/2022,2164.456,2204,2161.8,2196,39,+1.81%,640091
