Time,Open,High,Low,Last,Change,%Chg,Volume
06/05/2023,41.2,41.8,41.2,41.3,0.3,+0.73%,3906
06/02/2023,40.4,41.6,40.4,41,3,+7.89%,27313
06/01/2023,39.5,39.5,38,38,-0.9,-2.31%,5350
05/31/2023,39.6,39.9,38.8,38.9,-1.3,-3.23%,15224
05/30/2023,40.3,40.3,38.1,40.2,-0.4,-0.99%,25044
05/26/2023,41,41.1,40.2,40.6,0,0.00%,5377
05/25/2023,41.6,42,40.1,40.6,-1,-2.40%,14119
05/24/2023,41.8,41.9,41.1,41.6,-0.5,-1.19%,4454
05/23/2023,41.5,42.9,41,42.1,1.2,+2.93%,9255
05/22/2023,41.1,42.1,40.6,40.9,-0.1,-0.24%,3021
05/19/2023,41.3,41.3,40.1,41,-0.2,-0.49%,3156
05/18/2023,40.7,41.3,40.5,41.2,1.3,+3.26%,1596
05/17/2023,40.6,40.6,39.7,39.9,0,0.00%,18027
05/16/2023,39.5,40.1,39,39.9,-0.1,-0.25%,3014
05/15/2023,40.5,41.2,38.6,40,-0.2,-0.50%,5713
05/12/2023,40.6,40.9,40.2,40.2,-0.7,-1.71%,2554
05/11/2023,41.4,41.5,39.7,40.9,-0.7,-1.68%,9622
05/10/2023,41.6,42.9,41.6,41.6,0.4,+0.97%,3920
05/09/2023,41.5,42,40.6,41.2,0.2,+0.49%,5600
05/05/2023,40.7,42.2,40.6,41,0.1,+0.24%,3906
05/04/2023,40.4,41.6,40.3,40.9,0.6,+1.49%,15872
05/03/2023,39.8,40.3,39.5,40.3,1.2,+3.07%,26110
05/02/2023,40,40.2,39,39.1,0.5,+1.30%,69341
04/28/2023,39.3,39.3,38.3,38.6,-0.2,-0.52%,11778
04/27/2023,39.3,39.7,37,38.8,-0.4,-1.02%,8375
04/26/2023,38.6,40,38.6,39.2,2.2,+5.95%,37948
04/25/2023,36.8,37.7,36.7,37,1,+2.78%,8968
04/24/2023,36.5,36.5,34.6,36,0.3,+0.84%,7511
04/21/2023,35.8,37.7,35.4,35.7,-0.3,-0.83%,11921
04/20/2023,36.3,36.3,35.8,36,-0.4,-1.10%,5202
04/19/2023,36.7,37.7,35.3,36.4,0.7,+1.96%,1603
