Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,1979.5,2015,1979.5,1998,16,+0.81%,4622111
06/07/2023,2005,2016,1966.5,1982,-18,-0.90%,1995682
06/06/2023,1954.5,2000,1954,2000,44.5,+2.28%,2093058
06/05/2023,1964,1968.25,1944.5,1955.5,-4.5,-0.23%,1017791
06/02/2023,1951,1970,1947.5,1960,23.5,+1.21%,1410511
06/01/2023,1948,1957,1919.5,1936.5,-19,-0.97%,3145444
05/31/2023,1936,1992.5,1930.5,1955.5,-3.5,-0.18%,11743259
05/30/2023,1950,1974,1933.5,1959,21,+1.08%,3906512
05/26/2023,1914.5,1944.5,1906,1938,34.5,+1.81%,1584270
05/25/2023,1912.5,1917.5,1886.25,1903.5,5,+0.26%,3981003
05/24/2023,1911,1925,1867.155,1898.5,-26.5,-1.38%,2505312
05/23/2023,1940.5,1960.5,1925,1925,-21,-1.08%,1813993
05/22/2023,1943.5,1955,1924,1946,16.5,+0.86%,3699732
05/19/2023,1919,1936.5,1905.5,1929.5,12,+0.63%,1572875
05/18/2023,1900,1917.5,1892,1917.5,36.5,+1.94%,3743519
05/17/2023,1877.5,1886.5,1860,1881,-4.5,-0.24%,1575350
05/16/2023,1900,1922.5,1878,1885.5,9.5,+0.51%,1647041
05/15/2023,1845.5,1889.12,1837,1876,47.5,+2.60%,4564375
05/12/2023,1803,1887,1793.949,1828.5,30,+1.67%,2993230
05/11/2023,1711,1798.5,1709.5,1798.5,52.5,+3.01%,2297630
05/10/2023,1774,1778,1741.5,1746,-24.5,-1.38%,1038681
05/09/2023,1771,1787.5,1764,1770.5,-2.5,-0.14%,1461174
05/05/2023,1770.5,1783,1756.5,1773,13,+0.74%,1106503
05/04/2023,1768,1773.001,1749.5,1760,-14,-0.79%,2190816
05/03/2023,1766,1779.5,1762,1774,13,+0.74%,2231514
05/02/2023,1771,1787.5,1757,1761,-6,-0.34%,2750342
04/28/2023,1736,1769,1727.5,1767,37,+2.14%,1963280
04/27/2023,1723,1733,1704.752,1730,6.5,+0.38%,4805971
04/26/2023,1725,1732,1705.25,1723.5,-9,-0.52%,5149816
04/25/2023,1713,1732.5,1705,1732.5,10,+0.58%,999587
04/24/2023,1705,1731.265,1698.003,1722.5,10,+0.58%,880041
04/21/2023,1702.5,1712.5,1689.5,1712.5,15,+0.88%,1279919
04/20/2023,1702,1702.375,1686.911,1697.5,0,0.00%,1037304
04/19/2023,1694,1702.5,1687.5,1697.5,0,0.00%,880009
04/18/2023,1695,1704,1685,1697.5,7,+0.41%,1175329
04/17/2023,1723,1728,1683.5,1690.5,-27.5,-1.60%,2344009
04/14/2023,1720.5,1734.5,1715,1718,0,0.00%,1106516
04/13/2023,1711,1730.738,1707.375,1718,18,+1.06%,2279183
04/12/2023,1700,1716.5,1692.5,1700,3.5,+0.21%,4614512
04/11/2023,1684,1703,1676.501,1696.5,20,+1.19%,5823751
04/06/2023,1661.5,1686.875,1658.5,1676.5,12,+0.72%,2006068
04/05/2023,1671.5,1675,1648.5,1664.5,-4,-0.24%,1437899
04/04/2023,1676,1686.499,1665,1668.5,0.5,+0.03%,2684957
04/03/2023,1677.5,1682.866,1659.5,1668,-17,-1.01%,1479740
03/31/2023,1677.5,1903.963,1667.5,1685,7,+0.42%,4541691
03/30/2023,1673,1683.5,1659,1678,19.5,+1.18%,2550305
03/29/2023,1639.5,1662,1630,1658.5,48,+2.98%,2127713
03/28/2023,1622.5,1625.275,1603.5,1610.5,1.5,+0.09%,8338296
03/27/2023,1569.5,1612.5,1560,1609,66.5,+4.31%,3309985
03/24/2023,1569.5,1572.38,1527.5,1542.5,-41,-2.59%,1457637
03/23/2023,1593,1610,1568,1583.5,14.5,+0.92%,3009269
03/22/2023,1555.5,1578,1549.32,1569,1.5,+0.10%,1252502
03/21/2023,1533.5,1571.5,1531.997,1567.5,47.5,+3.13%,2523033
03/20/2023,1464.5,1531,1440.498,1520,37.5,+2.53%,6580378
03/17/2023,1525.5,1541.201,1465,1482.5,-36.5,-2.40%,3932407
03/16/2023,1518,1529.5,1494.5,1519,31,+2.08%,2341108
03/15/2023,1535,1536.5,1471.8,1488,-51.5,-3.35%,1358480
03/14/2023,1510.5,1540,1493,1539.5,30,+1.99%,1470395
03/13/2023,1586,1586.5,1503,1509.5,-72,-4.55%,2703133
03/10/2023,1616.5,1616.5,1567,1581.5,-52.5,-3.21%,2010509
03/09/2023,1628.5,1639.685,1612.5,1634,-5.5,-0.34%,2340787
03/08/2023,1629,1640.5,1623,1639.5,-1,-0.06%,810604
03/07/2023,1641.5,1657.5,1635,1640.5,-6.5,-0.39%,1685283
03/06/2023,1637.5,1648.5,1623.5,1647,14.5,+0.89%,1146895
03/03/2023,1640.5,1662,1632.5,1632.5,-17,-1.03%,3087521
03/02/2023,1632.5,1653.5,1630.5,1649.5,12.5,+0.76%,3302119
03/01/2023,1625.5,1664.5,1625.5,1637,10,+0.61%,1550451
02/28/2023,1642.5,1657.998,1627,1627,-24,-1.45%,3104562
02/27/2023,1635,1655.5,1630.5,1651,27,+1.66%,2536954
02/24/2023,1634.5,1637,1613,1624,-5.5,-0.34%,887235
02/23/2023,1614.5,1639.5,1614.5,1629.5,15,+0.93%,914541
02/22/2023,1625,1625,1596.5,1614.5,-17.5,-1.07%,2086850
02/21/2023,1645,1645,1616.5,1632,-18,-1.09%,3869366
02/20/2023,1645.5,1660,1638.961,1650,5,+0.30%,1564954
02/17/2023,1626.5,1650.5,1622,1645,4,+0.24%,10649175
02/16/2023,1685,1685,1639,1641,-32,-1.91%,1891029
02/15/2023,1641,1673,1637.5,1673,31.5,+1.92%,1044908
02/14/2023,1655.5,1665.5,1637.5,1641.5,-13,-0.79%,1111766
02/13/2023,1631,1656,1629.5,1654.5,22.5,+1.38%,1814650
02/10/2023,1635,1646,1615,1632,-14,-0.85%,1912558
02/09/2023,1639.5,1661,1633.5,1646,15,+0.92%,7451027
02/08/2023,1634.5,1645.22,1626,1631,2.5,+0.15%,1135058
02/07/2023,1631.5,1634.96,1619.5,1628.5,-6,-0.37%,1390993
02/06/2023,1630.5,1641.25,1625.5,1634.5,-2,-0.12%,974525
02/03/2023,1639,1644,1626.5,1636.5,-3.5,-0.21%,2613692
02/02/2023,1620.5,1651.5,1617.5,1640,30,+1.86%,2234772
02/01/2023,1577.5,1610,1574.5,1610,35,+2.22%,3003294
01/31/2023,1580.5,1583,1559.45,1575,-11.5,-0.72%,2913741
01/30/2023,1604,1610.5,1570.5,1586.5,-21,-1.31%,1931834
01/27/2023,1599.5,1609.5,1581.5,1607.5,13.5,+0.85%,2806585
01/26/2023,1489,1600.249,1489,1594,134,+9.18%,6224641
