Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,4.867,4.885,4.861,4.883,0.008,+0.16%,58455
06/07/2023,4.891,4.902,4.871,4.875,-0.011,-0.23%,319312
06/06/2023,4.889,4.897,4.874,4.886,-0.006,-0.12%,275689
06/05/2023,4.871,4.896,4.863,4.892,0.001,+0.02%,278595
06/02/2023,4.903,4.917,4.89,4.891,-0.012,-0.24%,6248612
06/01/2023,4.887,4.904,4.882,4.903,0.004,+0.08%,118577
05/31/2023,4.894,4.904,4.882,4.899,0.005,+0.10%,169743
05/30/2023,4.888,4.896,4.879,4.894,0.031,+0.64%,199036
05/26/2023,4.88,4.881,4.855,4.863,-0.009,-0.18%,148607
05/25/2023,4.879,4.895,4.872,4.872,-0.029,-0.59%,182618
05/24/2023,4.911,4.923,4.901,4.901,0.003,+0.06%,713470
05/23/2023,4.89,4.9,4.878,4.898,0.01,+0.20%,198061
05/22/2023,4.915,4.915,4.885,4.888,-0.021,-0.43%,59277
05/19/2023,4.897,4.936,4.89,4.909,-0.027,-0.55%,264471
05/18/2023,4.957,4.962,4.925,4.936,-0.015,-0.30%,177359
05/17/2023,4.963,4.965,4.948,4.951,0.002,+0.04%,111127
05/16/2023,4.972,4.981,4.947,4.949,-0.018,-0.36%,161205
05/15/2023,4.975,4.986,4.965,4.967,-0.023,-0.46%,263445
05/12/2023,4.989,5,4.981,4.99,-0.005,-0.10%,123853
05/11/2023,4.982,5.002,4.976,4.995,0.018,+0.36%,128569
05/10/2023,4.984,4.989,4.965,4.977,0.005,+0.10%,237396
05/09/2023,4.984,4.991,4.967,4.972,-0.015,-0.30%,332247
05/05/2023,5.005,5.005,4.984,4.987,-0.022,-0.44%,104233
05/04/2023,5,5.018,4.984,5.009,0.013,+0.26%,148521
05/03/2023,4.981,5,4.975,4.996,0.016,+0.32%,77073
05/02/2023,4.949,4.986,4.949,4.98,-0.009,-0.18%,156485
04/28/2023,4.994,5,4.979,4.989,0.002,+0.04%,140509
04/27/2023,5.009,5.009,4.983,4.987,-0.02,-0.40%,91568
04/26/2023,5.005,5.019,5.001,5.007,0.002,+0.04%,112289
04/25/2023,4.999,5.009,4.994,5.005,0.024,+0.48%,63053
04/24/2023,4.963,4.987,4.963,4.981,0.017,+0.34%,171221
04/21/2023,4.979,4.982,4.936,4.964,-0.006,-0.12%,135101
04/20/2023,4.964,4.972,4.953,4.97,0.023,+0.46%,108995
04/19/2023,4.956,4.956,4.941,4.947,-0.012,-0.24%,175972
04/18/2023,4.948,4.968,4.948,4.959,0.001,+0.02%,153841
04/17/2023,4.974,4.98,4.955,4.958,-0.021,-0.42%,198745
04/14/2023,5.002,5.005,4.975,4.979,-0.034,-0.68%,148121
04/13/2023,5.019,5.025,4.974,5.013,0.009,+0.18%,244132
04/12/2023,5.002,5.035,4.991,5.004,0.004,+0.08%,110389
04/11/2023,5.1,5.1,4.996,5,-0.037,-0.73%,107607
04/06/2023,5.032,5.037,5.022,5.037,0.006,+0.12%,174057
04/05/2023,5.023,5.039,5.005,5.031,0.018,+0.36%,838895
04/04/2023,4.992,5.014,4.976,5.013,0.001,+0.02%,466883
04/03/2023,4.97,5.021,4.969,5.012,0.037,+0.74%,123715
03/31/2023,4.962,4.978,4.944,4.975,0.014,+0.28%,152054
03/30/2023,4.973,4.976,4.952,4.961,0.005,+0.10%,445227
03/29/2023,4.942,4.958,4.941,4.956,0.007,+0.14%,193127
03/28/2023,4.941,4.949,4.927,4.949,0.005,+0.10%,417600
03/27/2023,4.971,4.971,4.943,4.944,-0.039,-0.78%,399090
03/24/2023,4.981,5.012,4.972,4.983,0.005,+0.10%,127214
03/23/2023,4.96,4.98,4.945,4.978,0.046,+0.93%,207164
03/22/2023,4.915,4.938,4.901,4.932,0.018,+0.37%,59801
03/21/2023,4.922,4.928,4.89,4.914,-0.01,-0.20%,432275
03/20/2023,4.947,4.95,4.901,4.924,-0.001,-0.02%,151072
03/17/2023,4.883,4.949,4.883,4.925,0.005,+0.10%,156670
03/16/2023,4.961,4.994,4.905,4.92,-0.051,-1.03%,245776
03/15/2023,4.907,4.973,4.901,4.971,0.055,+1.12%,124783
03/14/2023,4.936,4.947,4.898,4.916,-0.028,-0.57%,256583
03/13/2023,4.887,4.975,4.887,4.944,0.072,+1.48%,143019
03/10/2023,4.856,4.895,4.837,4.872,0.05,+1.04%,286353
03/09/2023,4.804,4.826,4.802,4.822,-0.007,-0.14%,201364
03/08/2023,4.835,4.85,4.827,4.829,-0.019,-0.39%,365222
03/07/2023,4.88,4.889,4.838,4.848,-0.037,-0.76%,277829
03/06/2023,4.894,4.904,4.882,4.885,0.013,+0.27%,155516
03/03/2023,4.859,4.876,4.847,4.872,0.04,+0.83%,330178
03/02/2023,4.832,4.845,4.808,4.832,0.005,+0.10%,228770
03/01/2023,4.834,4.846,4.819,4.827,-0.013,-0.27%,94676
02/28/2023,4.856,4.856,4.816,4.84,0.013,+0.27%,118992
02/27/2023,4.828,4.839,4.815,4.827,0.005,+0.10%,89427
02/24/2023,4.85,4.856,4.818,4.822,-0.028,-0.58%,102040
02/23/2023,4.843,4.854,4.84,4.85,-0.013,-0.27%,193537
02/22/2023,4.854,4.87,4.838,4.863,0.013,+0.27%,205806
02/21/2023,4.858,4.859,4.843,4.85,-0.009,-0.19%,146876
02/20/2023,4.853,4.864,4.853,4.859,0.004,+0.08%,70791
02/17/2023,4.848,4.862,4.837,4.855,-0.018,-0.37%,109273
02/16/2023,4.883,4.883,4.852,4.873,-0.006,-0.12%,90481
02/15/2023,4.888,4.892,4.874,4.879,0.011,+0.23%,122984
02/14/2023,4.906,4.909,4.868,4.868,-0.027,-0.55%,141232
