Time,Open,High,Low,Last,Change,%Chg,Volume
06/05/2023,187.4,189.7,185.35,187.9,1.85,+0.99%,3862762
06/02/2023,183.45,187.748,182.075,186.05,4.25,+2.34%,4656351
06/01/2023,180.1,181.95,178.6,181.8,3.2,+1.79%,4219998
05/31/2023,179.95,181.9,177.7,178.6,-2.5,-1.38%,7999613
05/30/2023,180.3,181.3,177.4,181.1,1.6,+0.89%,3780214
05/26/2023,182.1,183.1,178,179.5,-1.8,-0.99%,5685305
05/25/2023,185.75,187.09,180.7,181.3,-3.45,-1.87%,6102937
05/24/2023,175.35,189.1,173.639,184.75,21.15,+12.93%,18703284
05/23/2023,162.25,164.7,161.151,163.6,0.85,+0.52%,3376953
05/22/2023,162.35,163.954,160.9,162.75,1.2,+0.74%,6722032
05/19/2023,165,166.8,161.55,161.55,-0.4,-0.25%,2699450
05/18/2023,160.8,163.85,159.15,161.95,-1.9,-1.16%,4167648
05/17/2023,162.85,165.35,162,163.85,-1.05,-0.64%,2552081
05/16/2023,166.45,167,164.2,164.9,-1.55,-0.93%,1303984
05/15/2023,168.85,169.15,166.05,166.45,-1.25,-0.75%,3344216
05/12/2023,168.3,169.3,166.8,167.7,-0.2,-0.12%,2058749
05/11/2023,167.75,168.8,165.95,167.9,0.85,+0.51%,3548389
05/10/2023,168.9,169.515,166,167.05,-1.15,-0.68%,3846238
05/09/2023,163,168.4,161.5,168.2,3.45,+2.09%,6548178
05/05/2023,162.95,165.1,162.2,164.75,2.95,+1.82%,3508157
05/04/2023,163.4,163.45,157.2,161.8,-1.6,-0.98%,2804548
05/03/2023,164.45,166.95,162.3,163.4,-1.15,-0.70%,3294021
05/02/2023,163.85,167,161.65,164.55,0.2,+0.12%,3389516
04/28/2023,162.8,164.9,161.801,164.35,0.5,+0.31%,3710291
04/27/2023,167.15,169.1,163.1,163.85,-2.85,-1.71%,3721867
04/26/2023,163.5,167.75,162.45,166.7,2.2,+1.34%,4314978
04/25/2023,163.15,165.95,161.15,164.5,-0.15,-0.09%,3660448
04/24/2023,160,165.1,160,164.65,0.75,+0.46%,3904173
04/21/2023,161.6,164.2,160.4,163.9,1.3,+0.80%,4028837
04/20/2023,163,165.35,162,162.6,-2.35,-1.42%,3315769
04/19/2023,169,169.75,164.95,164.95,-4.3,-2.54%,6066483
04/18/2023,168.15,170.2,168.15,169.25,0.6,+0.36%,6161292
04/17/2023,168.6,169.65,167.25,168.65,1.4,+0.84%,3761726
04/14/2023,167,168.5,165.75,167.25,1.45,+0.87%,2755115
04/13/2023,164.85,167.537,164.5,165.8,0,0.00%,3625148
04/12/2023,165,166.4,164.15,165.8,0.5,+0.30%,7879959
04/11/2023,164.6,167.35,163.2,165.3,2.7,+1.66%,3750539
04/06/2023,161.05,164.05,161.05,162.6,-1.1,-0.67%,3243741
04/05/2023,163.95,164.45,161.95,163.7,0.15,+0.09%,3308279
04/04/2023,167.4,167.4,162.941,163.55,-2.5,-1.51%,4797659
04/03/2023,168,168.5,165.029,166.05,-0.95,-0.57%,4188996
03/31/2023,162.3,168.45,162.3,167,1,+0.60%,6863500
03/30/2023,160.9,166.5,159.6,166,6.3,+3.94%,5928128
03/29/2023,160.1,160.1,154.3,159.7,0.9,+0.57%,5054310
03/28/2023,158.55,159.933,155.85,158.8,3.7,+2.39%,5184094
03/27/2023,155.65,156.2,153.55,155.1,2.6,+1.70%,3865282
03/24/2023,155.2,155.95,150.5,152.5,-4.25,-2.71%,4711280
03/23/2023,156.5,158.7,153.9,156.75,2.1,+1.36%,4725906
03/22/2023,154.5,155.199,153,154.65,6.6,+4.46%,15422039
03/21/2023,145,149.2,144.85,148.05,4,+2.78%,3891439
03/20/2023,140.05,145.1,136.1,144.05,2.45,+1.73%,4275851
03/17/2023,147.35,149.55,140.148,141.6,-5,-3.41%,14885981
03/16/2023,146.95,149.55,145.05,146.6,1.2,+0.83%,6913953
03/15/2023,153.95,155,144.75,145.4,-10.15,-6.53%,9373924
03/14/2023,151.65,156.15,150.254,155.55,3.4,+2.23%,4260701
03/13/2023,156.45,158.3,150.45,152.15,-5.85,-3.70%,8932774
03/10/2023,156.55,158.1,155.45,158,-2.35,-1.47%,3005035
03/09/2023,159.1,160.85,158.25,160.35,-0.15,-0.09%,2270038
03/08/2023,159,160.5,157.34,160.5,0.3,+0.19%,5110476
03/07/2023,159.5,163,159.5,160.2,-0.85,-0.53%,6168449
03/06/2023,161.1,162.45,159.85,161.05,0.85,+0.53%,4054650
03/03/2023,158.75,161.5,158.55,160.2,1.95,+1.23%,9269752
03/02/2023,157.6,159.25,157,158.25,0.3,+0.19%,5145991
03/01/2023,159.3,161.648,157.5,157.95,-2.05,-1.28%,5900507
02/28/2023,157.25,161.25,154.5,160,2.15,+1.36%,10584359
02/27/2023,154,158.65,153.45,157.85,4.95,+3.24%,6807576
02/24/2023,153.1,153.95,152,152.9,0.15,+0.10%,16759056
02/23/2023,154.05,154.35,151.15,152.75,2.25,+1.50%,6763514
02/22/2023,151.2,151.95,147.95,150.5,-2.05,-1.34%,4108019
02/21/2023,151.65,153.2,150.12,152.55,1.85,+1.23%,3995038
02/20/2023,154.85,154.85,148.164,150.7,-0.05,-0.03%,17063875
02/17/2023,157.35,157.35,150.7,150.75,-3.05,-1.98%,5261660
02/16/2023,154.7,155.75,152.77,153.8,0.55,+0.36%,4250389
02/15/2023,154.8,154.8,150.3,153.25,-0.35,-0.23%,14209885
02/14/2023,154,155.3,152,153.6,-0.15,-0.10%,3272738
02/13/2023,153.65,154.5,152.65,153.75,0.1,+0.07%,6326123
02/10/2023,157.25,158.05,152.65,153.65,-4.8,-3.03%,4690967
02/09/2023,160.4,160.4,157.85,158.45,-0.35,-0.22%,2761112
02/08/2023,160,161.7,158.2,158.8,0.8,+0.51%,5525291
02/07/2023,159.5,160.6,156.75,158,-0.6,-0.38%,3150137
02/06/2023,161.8,161.8,157.75,158.6,-4.4,-2.70%,4469398
02/03/2023,164.15,166.7,161,163,1.95,+1.21%,8359032
02/02/2023,151.15,162.05,151.079,161.05,10.95,+7.30%,15704615
02/01/2023,146,150.9,145.7,150.1,4.3,+2.95%,10080289
01/31/2023,148.8,148.8,144.095,145.8,-1.3,-0.88%,7689582
01/30/2023,145.55,147.4,143.95,147.1,0.9,+0.62%,2638171
01/27/2023,146.6,147.38,145,146.2,0.65,+0.45%,7695157
01/26/2023,146.1,146.95,143.76,145.55,0.5,+0.34%,5656245
01/25/2023,146.75,148.65,144.2,145.05,-2.7,-1.83%,7207478
01/24/2023,149.5,150.088,146.82,147.75,-1.1,-0.74%,9502646
01/23/2023,150,152.599,147.15,148.85,-2.15,-1.42%,8153355
01/20/2023,150.2,151.452,148.35,151,1.8,+1.21%,11434778
01/19/2023,150.6,151.95,147.663,149.2,-1.9,-1.26%,18338106
01/18/2023,152,152.637,149.563,151.1,0.2,+0.13%,7354317
01/17/2023,149.3,152.5,146.271,150.9,0.8,+0.53%,32087293
01/16/2023,146.75,150.7,146.15,150.1,4.2,+2.88%,8355046
01/13/2023,147.65,150.488,144.825,145.9,0.6,+0.41%,10352925
01/12/2023,141.5,145.5,138.851,145.3,1.9,+1.32%,9515938
01/11/2023,142.6,146.55,141.7,143.4,2.1,+1.49%,8163020
01/10/2023,140.65,142.2,139.2,141.3,0.2,+0.14%,7441928
01/09/2023,138.8,141.4,137.911,141.1,3.55,+2.58%,5674571
01/06/2023,136.15,138.003,133.7,137.55,1.4,+1.03%,4335378
01/05/2023,133.5,138.85,133.121,136.15,4.5,+3.42%,6597921
