Time,Open,High,Low,Last,Change,%Chg,Volume
06/05/2023,2660,2810,2660,2745,-45,-1.61%,50864
06/02/2023,2795,2840,2756.8,2790,25,+0.90%,242600
06/01/2023,2770,2795,2740,2765,0,0.00%,52675
05/31/2023,2650,2835,2650,2765,45,+1.65%,451441
05/30/2023,2700,2830,2640,2720,30,+1.12%,46009
05/26/2023,2650,2714.964,2650,2690,20,+0.75%,187738
05/25/2023,2670,2778.4,2597.934,2670,10,+0.38%,148219
05/24/2023,2715,2815,2650,2660,-45,-1.66%,65126
05/23/2023,2680,2745,2525,2705,-35,-1.28%,47908
05/22/2023,2710,2825,2620,2740,-5,-0.18%,179515
05/19/2023,2770,2785,2735,2745,-15,-0.54%,73607
05/18/2023,2730,2795,2614.2,2760,-10,-0.36%,55213
05/17/2023,2770,2810,2735,2770,-40,-1.42%,223610
05/16/2023,2820,2840,2770,2810,-15,-0.53%,163465
05/15/2023,2835,2860,2790,2825,-10,-0.35%,106239
05/12/2023,2850,2865,2800,2835,-10,-0.35%,112143
05/11/2023,2785,2875,2785,2845,-10,-0.35%,365634
05/10/2023,2770,2884.8,2765,2855,60,+2.15%,79778
05/09/2023,2810,2810,2770,2795,0,0.00%,101489
05/05/2023,2800,2818.9,2755,2795,0,0.00%,48994
05/04/2023,2765,2805,2730,2795,45,+1.64%,121200
05/03/2023,2745,2775,2726.7,2750,-10,-0.36%,64779
05/02/2023,2795,2815,2735,2760,0,0.00%,75215
04/28/2023,2730,2809.9,2650,2760,-5,-0.18%,80804
04/27/2023,2695,2800.775,2695,2765,40,+1.47%,181016
04/26/2023,2725,2755,2685,2725,-5,-0.18%,193761
04/25/2023,2670,2730,2645,2730,60,+2.25%,109645
04/24/2023,2690,2720.5,2660,2670,-45,-1.66%,214408
04/21/2023,2705,2805,2695,2715,-10,-0.37%,211166
04/20/2023,2585,2740,2570,2725,115,+4.41%,234981
04/19/2023,2640,2663.15,2585,2610,-45,-1.69%,528231
04/18/2023,2655,2690,2555,2655,-20,-0.75%,309960
04/17/2023,2675,2700,2625,2675,-10,-0.37%,133955
04/14/2023,2625,2745,2595,2685,100,+3.87%,361571
04/13/2023,2465,2600,2465,2585,140,+5.73%,198572
04/12/2023,2440,2470,2379.843,2445,30,+1.24%,99358
04/11/2023,2425,2475,2415,2415,-15,-0.62%,34051
04/06/2023,2310,2455,2310,2430,10,+0.41%,216264
04/05/2023,2495,2495,2390,2420,-70,-2.81%,119309
04/04/2023,2485,2535,2459.1,2490,-20,-0.80%,362383
04/03/2023,2515,2535,2470,2510,5,+0.20%,87635
03/31/2023,2515,2606.1,2490.495,2505,-10,-0.40%,78853
03/30/2023,2505,2535,2345,2515,30,+1.21%,53997
