Time,Open,High,Low,Last,Change,%Chg,Volume
06/05/2023,1955,1955,1913.2,1914.8,-45.6,-2.33%,25387
06/02/2023,1925.4,1963.1,1915.8,1960.4,52.8,+2.77%,39654
06/01/2023,1922.2,1931.8,1885.6,1907.6,-1.6,-0.08%,31379
05/31/2023,1918,1938.7,1895.4,1909.2,-45.3,-2.32%,41957
05/30/2023,1955.8,1984,1941.6,1954.5,7.7,+0.40%,26889
05/29/2023,1964.4,1969,1941,1946.8,-13.1,-0.67%,8552
05/26/2023,1918.4,1963.8,1917.2,1959.9,37.1,+1.93%,32833
05/25/2023,1891.4,1926.8,1879,1922.8,39.4,+2.09%,40300
05/24/2023,1888.4,1895,1846.2,1883.4,-6.2,-0.33%,45872
05/23/2023,2007,2016.5,1874.6,1889.6,-133.4,-6.59%,77372
05/22/2023,2012,2035.75,2011.75,2023,20,+1.00%,24595
05/19/2023,1984.6,2007.5,1982.8,2003,25,+1.26%,21572
05/18/2023,1982.6,1995.8,1977,1978,1.5,+0.08%,19897
05/17/2023,1972.6,1983.6,1954,1976.5,-2.5,-0.13%,20209
05/16/2023,1976.2,1981.4,1965.8,1979,1.7,+0.09%,27214
05/15/2023,1985,2001,1963,1977.3,11.9,+0.61%,22177
05/12/2023,2002,2026.5,1958.2,1965.4,-14.6,-0.74%,34858
05/11/2023,1964.5,1989.6,1964,1980,24.4,+1.25%,37689
05/10/2023,1990.2,1993.2,1949.4,1955.6,-31.6,-1.59%,24519
05/09/2023,1999.8,2001.5,1965.4,1987.2,-21.3,-1.06%,25898
05/08/2023,1986.8,2012.75,1985.2,2008.5,15.1,+0.76%,12502
05/05/2023,1992.6,1995.8,1972,1993.4,16,+0.81%,21991
05/04/2023,1989.8,1993.2,1973.8,1977.4,-15.6,-0.78%,22360
05/03/2023,1959.6,1994.3,1958.4,1993,47.4,+2.44%,22967
05/02/2023,1970.6,1986,1945.4,1945.6,-16.4,-0.84%,32133
04/28/2023,1977.8,1982.6,1950.4,1962,-10.6,-0.54%,26891
04/27/2023,1963.4,1993.8,1957.4,1972.6,16.6,+0.85%,30600
04/26/2023,1985.2,1985.2,1935.9,1956,-37.2,-1.87%,39625
04/25/2023,2002,2009.5,1989.1,1993.2,-22.55,-1.12%,24841
04/24/2023,1998.8,2020,1991.2,2015.75,12.25,+0.61%,20638
04/21/2023,1978.2,2003.5,1972.4,2003.5,9.9,+0.50%,23875
04/20/2023,1965,1996.2,1946.6,1993.6,33,+1.68%,21440
04/19/2023,1969.4,1982.8,1957.8,1960.6,-14.6,-0.74%,28469
04/18/2023,1937.4,1978.4,1936.6,1975.2,40.8,+2.11%,29710
