Time,Open,High,Low,Last,Change,%Chg,Volume
06/05/2023,667,684.2,650.2,658.8,-5.2,-0.78%,5934851
06/02/2023,645,668.8,644.4,664,22.4,+3.49%,5207619
06/01/2023,633.8,647.6,632.4,641.6,8,+1.26%,3882230
05/31/2023,634,643.4,630.8,633.6,-9.6,-1.49%,18449237
05/30/2023,644.6,648.6,640.8,643.2,-6.2,-0.95%,8227852
05/26/2023,646.2,653.4,638.6,649.4,5.6,+0.87%,6223151
05/25/2023,637,651.8,631.4,643.8,3.2,+0.50%,3571391
05/24/2023,651.4,653.4,636.6,640.6,-18.6,-2.82%,4362009
05/23/2023,652,666.6,651.8,659.2,6,+0.92%,5950850
05/22/2023,646,656.6,642.6,653.2,19.2,+3.03%,10290560
05/19/2023,644.2,644.8,634,634,-8.6,-1.34%,4448707
05/18/2023,628.4,646.2,628,642.6,18,+2.88%,5522390
05/17/2023,618,628.8,617.8,624.6,4.8,+0.77%,4774060
05/16/2023,617,622.4,615.8,619.8,0.8,+0.13%,3271289
05/15/2023,623.8,624.2,611.2,619,2.8,+0.45%,4212217
05/12/2023,620.2,624.4,615,616.2,-3.8,-0.61%,3805765
05/11/2023,613.4,620.6,613.2,620,6.2,+1.01%,9093428
05/10/2023,605.6,615.2,601.6,613.8,9.2,+1.52%,4892163
05/09/2023,607.2,610.4,603,604.6,-0.6,-0.10%,4743489
05/05/2023,602,610.6,599.4,605.2,6.8,+1.14%,4519360
05/04/2023,612,616.2,592.6,598.4,-13,-2.13%,7664278
05/03/2023,612.8,619.8,607.8,611.4,0.8,+0.13%,4624637
05/02/2023,626.8,634,610.6,610.6,-17.8,-2.83%,4791866
04/28/2023,631,634.8,619.8,628.4,-1.8,-0.29%,6348234
04/27/2023,642.8,642.8,626.8,630.2,-3.8,-0.60%,6991742
04/26/2023,614.8,640.8,612.2,634,13.4,+2.16%,7966282
04/25/2023,625.4,626.6,613.6,620.6,-11.8,-1.87%,8483107
04/24/2023,632.6,639.6,629,632.4,-6.2,-0.97%,5423402
04/21/2023,641,646,636.4,638.6,-6,-0.93%,7021482
04/20/2023,655.4,659.4,644.4,644.6,-7.6,-1.17%,6480040
04/19/2023,649.4,654,645,652.2,1.6,+0.25%,4677443
04/18/2023,638.6,656.8,637.2,650.6,8.6,+1.34%,4938475
04/17/2023,651.4,656.714,635.8,642,-4,-0.62%,6507302
04/14/2023,621,648.2,617.322,646,27.4,+4.43%,11308592
04/13/2023,617.6,620,613.4,618.6,1.6,+0.26%,6454610
04/12/2023,620.2,621,611.6,617,-1.4,-0.23%,7234010
04/11/2023,621,624.4,614.8,618.4,0.4,+0.06%,3253241
04/06/2023,612.6,620.4,610.6,618,3,+0.49%,2722157
04/05/2023,615.4,619,608.4,615,1.8,+0.29%,5273003
04/04/2023,635.2,636.4,613.176,613.2,-9.8,-1.57%,4443301
04/03/2023,616.2,630.6,607,623,8.8,+1.43%,5417650
03/31/2023,609.2,620.2,607.2,614.2,-0.6,-0.10%,14901223
03/30/2023,607,618,599,614.8,11.4,+1.89%,11972803
03/29/2023,598.2,606.312,598.2,603.4,9.2,+1.55%,5409155
03/28/2023,606,608.2,592.688,594.2,1.8,+0.30%,5351098
03/27/2023,603.6,606.4,587,592.4,0.6,+0.10%,7232938
03/24/2023,630.4,631.6,589.8,591.8,-40.6,-6.42%,9665642
03/23/2023,648.2,649.228,630.797,632.4,-19.6,-3.01%,8134846
03/22/2023,644,661.8,638.6,652,8.4,+1.31%,7789191
03/21/2023,623.8,652,618,643.6,28.6,+4.65%,9043980
03/20/2023,610.2,619,578.8,615,-19,-3.00%,13624506
03/17/2023,652.8,659,625.4,634,-16.4,-2.52%,12983253
03/16/2023,657.4,661.4,636.8,650.4,7.2,+1.12%,15265659
03/15/2023,699.4,703.6,633.2,643.2,-53.6,-7.69%,10188614
03/14/2023,683,696.8,669.2,696.8,8,+1.16%,11094123
03/13/2023,744.8,744.8,677.2,688.8,-51,-6.89%,16143564
03/10/2023,749,749.8,733.2,739.8,-35.2,-4.54%,12107271
03/09/2023,787.4,788.499,774.2,775,-12.4,-1.57%,7221703
03/08/2023,783,793.6,779.6,787.4,0.4,+0.05%,5451729
03/07/2023,789.4,791.6,783.2,787,-3.8,-0.48%,5856137
03/06/2023,790.4,792,784.4,790.8,1.8,+0.23%,6653154
03/03/2023,787.6,792.2,783.6,789,1.2,+0.15%,6842242
03/02/2023,783.4,790,776.2,787.8,-2,-0.25%,5114864
03/01/2023,787.2,794.6,780.8,789.8,5.6,+0.71%,5970695
02/28/2023,783.2,799.4,777,784.2,-3.4,-0.43%,14059495
02/27/2023,775,795.6,769.8,787.6,16.4,+2.13%,4304753
02/24/2023,760.4,779,760.4,771.2,8.2,+1.07%,9521842
02/23/2023,754.6,764.8,740.2,763,-0.8,-0.10%,6940982
02/22/2023,762.6,768,754.2,763.8,-8,-1.04%,4612157
02/21/2023,768.2,780.8,751,771.8,3.2,+0.42%,7996721
02/20/2023,760,771.4,760,768.6,3.4,+0.44%,25719865
02/17/2023,757,775,754.2,765.2,6,+0.79%,19379879
02/16/2023,736,761,733.4,759.2,30,+4.11%,6659446
02/15/2023,715.2,730.8,711.9,729.2,7.6,+1.05%,3380103
02/14/2023,727,730.4,719.2,721.6,-8.2,-1.12%,6046464
02/13/2023,728.8,736.8,726,729.8,0.4,+0.05%,2615697
02/10/2023,720,740.6,714,729.4,-38.2,-4.98%,11128430
02/09/2023,686.4,772.55,686.11,767.6,78.8,+11.44%,16843395
02/08/2023,686.4,692.8,677.4,688.8,6.2,+0.91%,3318457
02/07/2023,675,684.6,671.8,682.6,11.2,+1.67%,5721704
02/06/2023,674.2,675.4,666.8,671.4,-4.6,-0.68%,7314362
02/03/2023,672,677.8,666,676,6.4,+0.96%,4364230
