Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,42.72,43.645,42.4,43.615,0.5,+1.16%,470381
06/07/2023,41.785,43.275,41.66,43.115,1.435,+3.44%,559604
06/06/2023,41.45,41.845,40.813,41.68,0.155,+0.37%,311636
06/05/2023,41.98,42.105,41.23,41.525,-0.445,-1.06%,384468
06/02/2023,41.845,42.21,41.475,41.97,0.33,+0.79%,348811
06/01/2023,40.76,41.75,40.51,41.64,1.085,+2.68%,485052
05/31/2023,39.9,41.29,39.71,40.555,-0.025,-0.06%,746253
05/30/2023,40.34,41.67,40.215,40.58,0.395,+0.98%,337010
05/29/2023,41.04,41.04,40.155,40.185,-0.455,-1.12%,232580
05/26/2023,39.735,40.995,39.345,40.64,1.46,+3.73%,382303
05/25/2023,40.175,40.39,38.8,39.18,-0.075,-0.19%,492380
05/24/2023,41.185,41.185,39.08,39.255,-2.293,-5.52%,653050
05/23/2023,41.795,41.88,41.395,41.548,-0.33,-0.79%,408625
05/22/2023,41.61,41.93,41.42,41.878,0.198,+0.48%,262833
05/19/2023,41.045,42.07,41.045,41.68,0.53,+1.29%,338917
05/18/2023,40.245,41.215,40.215,41.15,1.365,+3.43%,473532
05/17/2023,39.195,39.81,39.06,39.785,0.245,+0.62%,448703
05/16/2023,39,39.585,39,39.54,0.775,+2.00%,413471
05/15/2023,39.19,39.26,38.56,38.765,-0.155,-0.40%,257313
05/12/2023,38.375,39.015,38.325,38.92,0.56,+1.46%,476649
05/11/2023,38.92,39.155,38.2,38.36,-0.835,-2.13%,475835
05/10/2023,38.605,39.425,38.245,39.195,0.595,+1.54%,588981
05/09/2023,38.62,39.075,38.315,38.6,-0.11,-0.28%,477752
05/08/2023,38.81,38.87,38.45,38.71,0.165,+0.43%,368288
05/05/2023,37.88,38.56,37.72,38.545,1.035,+2.76%,605812
05/04/2023,38.535,38.535,37.275,37.51,-0.97,-2.52%,633802
05/03/2023,39.2,39.345,38.465,38.48,-0.685,-1.75%,594803
05/02/2023,39.315,39.86,39.095,39.165,0.715,+1.86%,738202
04/28/2023,39,39.08,38.085,38.45,-0.315,-0.81%,585131
04/27/2023,42.173,42.173,37.75,38.765,-3.425,-8.12%,1088733
04/26/2023,41.51,42.325,41.23,42.19,0.31,+0.74%,346626
04/25/2023,42.248,42.295,41.73,41.88,-0.48,-1.13%,174468
04/24/2023,42.885,43.045,42.335,42.36,-0.785,-1.82%,302639
04/21/2023,43.455,43.535,42.75,43.145,-0.23,-0.53%,368503
04/20/2023,45.165,45.33,43.08,43.375,-1.7,-3.77%,660131
04/19/2023,45.675,45.81,44.788,45.075,-1.01,-2.19%,239132
04/18/2023,46.06,46.3,45.795,46.085,0.305,+0.67%,233339
04/17/2023,46.3,46.32,45.515,45.78,-0.36,-0.78%,365676
04/14/2023,46.42,46.793,46.01,46.14,-0.21,-0.45%,208930
04/13/2023,45.788,46.755,45.65,46.35,0.685,+1.50%,299943
04/12/2023,46.065,46.64,45.51,45.665,-0.625,-1.35%,288444
04/11/2023,46.245,46.905,46.165,46.29,0.305,+0.66%,294636
04/06/2023,45.885,46.42,45.675,45.985,0.23,+0.50%,130481
04/05/2023,47.23,47.275,45.665,45.755,-1.92,-4.03%,588316
04/04/2023,48.555,48.64,47.565,47.675,-0.65,-1.35%,129214
04/03/2023,48.97,49.035,48.235,48.325,-0.76,-1.55%,128016
03/31/2023,48.59,49.125,48.16,49.085,0.55,+1.13%,181434
03/30/2023,47.9,48.59,47.775,48.535,1.365,+2.89%,324935
03/29/2023,46.058,47.345,46.025,47.17,2.615,+5.87%,234917
03/28/2023,46.225,46.255,44.385,44.555,-1.315,-2.87%,133743
03/27/2023,45.91,46.343,45.69,45.87,0.43,+0.95%,237304
03/24/2023,47.015,47.1,45.215,45.44,-1.753,-3.71%,127820
03/23/2023,46.205,47.383,45.895,47.193,0.863,+1.86%,116598
03/22/2023,45.905,46.565,45.815,46.33,0.515,+1.12%,90301
03/21/2023,46.01,46.543,45.6,45.815,0.435,+0.96%,133020
03/20/2023,44.8,45.645,43.86,45.38,0.1,+0.22%,169971
03/17/2023,45.715,46.255,44.935,45.28,0.025,+0.06%,316223
03/16/2023,45.075,45.365,43.695,45.255,1.285,+2.92%,164146
03/15/2023,45.84,45.97,43.91,43.97,-1.84,-4.02%,238136
03/14/2023,44.73,46.09,44.19,45.81,1.36,+3.06%,132132
"Downloaded from Barchart.com as of 06-08-2023 04:20pm CDT"
