Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,212.05,215.3,212.05,213.775,1.55,+0.73%,1341100
06/07/2023,210.5,212.8,209.3,212.225,2.925,+1.40%,1448697
06/05/2023,208.15,211.35,207.9,209.3,1.5,+0.72%,1059629
06/02/2023,204.55,208.35,204.375,207.8,4.85,+2.39%,966044
06/01/2023,201.35,203.2,201.1,202.95,2.25,+1.12%,823579
05/31/2023,200.5,202.15,198.89,200.7,-1.25,-0.62%,1278690
05/30/2023,204.25,205.8,201.9,201.95,-2.1,-1.03%,1059999
05/29/2023,205.1,206.4,203.175,204.05,0.2,+0.10%,374467
05/26/2023,202.2,204.575,201.6,203.85,2.4,+1.19%,1076919
05/25/2023,201.55,202.65,198.58,201.45,0,0.00%,1443049
05/24/2023,206.2,206.75,200.825,201.45,-6.4,-3.08%,1699221
05/23/2023,208.4,209.3,207.45,207.85,-1.45,-0.69%,961350
05/22/2023,208.6,209.75,207.95,209.3,1,+0.48%,1296123
05/19/2023,207.2,209.2,206.8,208.3,4.275,+2.10%,2203374
05/17/2023,203.8,204.375,201.725,204.025,-0.675,-0.33%,1389491
05/16/2023,206.7,207.125,204.35,204.7,-2,-0.97%,1119132
05/15/2023,207,207.9,205.95,206.7,0.075,+0.04%,883908
05/12/2023,205.95,207.175,204.8,206.625,1.725,+0.84%,1133029
05/11/2023,204.75,206.55,202.35,204.9,0.95,+0.47%,969196
05/10/2023,206.65,207.5,202.15,203.95,-1.45,-0.71%,799710
05/09/2023,206.9,206.9,203.3,205.4,-1.6,-0.77%,1056595
05/08/2023,205.05,208,204.25,207,1.7,+0.83%,1013625
05/05/2023,202.75,205.3,200.675,205.3,3.075,+1.52%,1054309
05/04/2023,201.8,204.25,200.3,202.225,-0.15,-0.07%,2128915
05/03/2023,207.4,207.4,201.675,202.375,-5.575,-2.68%,3000083
05/02/2023,212.05,212.15,207.75,207.95,-2.5,-1.19%,1372465
04/28/2023,210.6,211.5,208.35,210.45,2,+0.96%,1265691
04/27/2023,211.65,212,207.95,208.45,-2.25,-1.07%,1523226
04/26/2023,210.8,211.2,208.15,210.7,-0.65,-0.31%,2039158
04/25/2023,215.6,215.7,211.2,211.35,-3.05,-1.42%,2008333
04/24/2023,212.05,215.675,211.75,214.4,2.8,+1.32%,1456461
04/21/2023,211.8,214.75,210.55,211.6,0.45,+0.21%,1519452
04/20/2023,213.5,213.7,209.175,211.15,2.35,+1.13%,2136381
04/19/2023,212.35,212.65,208.425,208.8,-2.85,-1.35%,1512122
04/18/2023,212.675,213.5,211,211.65,0.05,+0.02%,1300773
04/17/2023,211.5,213.025,211.05,211.6,0.95,+0.45%,1128174
04/14/2023,210.8,211.3,208.9,210.65,0.85,+0.41%,1302463
04/13/2023,209.4,210.7,207.5,209.8,1.4,+0.67%,2139868
04/12/2023,211.65,213.1,207.525,208.4,14.54,+7.50%,4356066
04/11/2023,194.98,196.16,193.38,193.86,2.18,+1.14%,2811765
04/06/2023,191.4,192.86,190.34,191.68,1.5,+0.79%,1302112
04/05/2023,201.3,201.4,189.08,190.18,-25.27,-11.73%,2986961
04/04/2023,215.15,218.45,214.925,215.45,1.725,+0.81%,1600639
04/03/2023,213.9,215.225,212,213.725,-0.425,-0.20%,1690357
03/31/2023,210.55,214.65,209.3,214.15,3.25,+1.54%,1349583
03/30/2023,206.3,211.2,206,210.9,6.5,+3.18%,1752857
03/29/2023,204.35,204.75,203.5,204.4,1.7,+0.84%,1531616
03/28/2023,202.25,203.45,202.1,202.7,2.1,+1.05%,1453330
03/27/2023,200,201.25,197.72,200.6,3.32,+1.68%,760189
03/24/2023,200.6,200.6,196.36,197.28,-4.02,-2.00%,1601376
03/23/2023,203.1,203.1,200.1,201.3,-2.375,-1.17%,1213298
03/22/2023,203.55,205,202.5,203.675,-0.025,-0.01%,816687
03/21/2023,200.6,204.5,199.72,203.7,5.24,+2.64%,1388941
03/20/2023,194.74,199.87,190.64,198.46,2.28,+1.16%,1789649
03/17/2023,199.84,202.2,194.36,196.18,-2.84,-1.43%,1583361
03/16/2023,199.32,200.175,193.82,199.02,2.48,+1.26%,2202796
03/15/2023,206.1,206.1,196.52,196.54,-10.21,-4.94%,2386687
03/14/2023,202,207.95,201.25,206.75,4.25,+2.10%,1412805
03/13/2023,209.95,210.25,201.2,202.5,-7,-3.34%,1933167
03/10/2023,211.7,213.25,208.5,209.5,-6.3,-2.92%,1710411
03/09/2023,216.4,217.35,214.1,215.8,-0.4,-0.19%,938183
03/08/2023,216.45,218.25,216.1,216.2,-0.85,-0.39%,928846
03/07/2023,219.3,219.75,216.9,217.05,-1.8,-0.82%,1386879
03/06/2023,218.25,219.3,217.375,218.85,1.05,+0.48%,1553435
03/03/2023,213.35,217.9,213.35,217.8,5.35,+2.52%,1693439
03/02/2023,210.7,213.15,209.8,212.45,2.35,+1.12%,1047462
03/01/2023,210.475,213.2,209.95,210.1,0.95,+0.45%,1371755
02/28/2023,206,209.475,205.8,209.15,2.45,+1.19%,1206042
02/27/2023,205.4,207.9,205.4,206.7,1.5,+0.73%,887086
02/24/2023,208.05,209.275,204.35,205.2,-2.75,-1.32%,1042391
02/23/2023,206.7,208.75,206.7,207.95,1.65,+0.80%,814060
02/22/2023,205.3,206.775,203.4,206.3,0.7,+0.34%,1012198
02/21/2023,207.4,208.6,205.45,205.6,-2,-0.96%,774050
02/20/2023,209.95,210.35,207,207.6,-2.15,-1.03%,805812
02/17/2023,206.9,210.3,206.2,209.75,1.25,+0.60%,1186054
02/16/2023,208.8,210.6,207,208.5,0.2,+0.10%,961006
02/15/2023,204.35,208.6,203.2,208.3,2.9,+1.41%,1414676
02/14/2023,206.35,207.35,204.975,205.4,-0.7,-0.34%,829670
02/13/2023,204.55,206.45,204.4,206.1,2.65,+1.30%,651510
02/10/2023,206.7,207.05,202.75,203.45,-3.65,-1.76%,1089626
02/09/2023,206.5,208.85,205.55,207.1,1.2,+0.58%,1141031
02/08/2023,206.1,207.15,204.9,205.9,-1.5,-0.72%,1539338
02/07/2023,207.2,208.8,206.65,207.4,0.4,+0.19%,1353863
02/06/2023,210.4,210.4,206.625,207,-3.35,-1.59%,1377852
02/03/2023,210.05,210.8,208.2,210.35,-3.4,-1.59%,1830723
02/02/2023,209.15,213.85,209,213.75,5.35,+2.57%,1695166
02/01/2023,207.3,209.075,206.95,208.4,1.65,+0.80%,1194733
01/31/2023,205.95,207.1,204.925,206.75,0.35,+0.17%,2223981
01/30/2023,205.5,207.15,204.75,206.4,0.85,+0.41%,1336992
01/27/2023,203.6,207.475,203.3,205.55,3.1,+1.53%,1645406
01/26/2023,200.55,203.225,196.13,202.45,-3.9,-1.89%,4375042
01/25/2023,206.7,209.7,205.35,206.35,-0.25,-0.12%,2085431
01/24/2023,204.75,206.75,203.55,206.6,1.95,+0.95%,1498716
01/23/2023,202.75,204.7,202.35,204.65,3.45,+1.71%,1160346
01/20/2023,199.5,201.85,199.4,201.2,2.36,+1.19%,1389290
01/19/2023,200.35,201.9,198.7,198.84,-5.01,-2.46%,2865747
01/18/2023,202,204.95,201.6,203.85,3.5,+1.75%,1577872
01/17/2023,201.375,202.1,199.57,200.35,-0.8,-0.40%,2223329
01/16/2023,200.65,201.85,199.42,201.15,1.23,+0.62%,1133599
01/13/2023,201,201.4,198.98,199.92,-0.83,-0.41%,1591573
01/12/2023,199.24,202,198.5,200.75,1.67,+0.84%,1368856
01/11/2023,195.62,199.13,195.5,199.08,4.04,+2.07%,1509663
01/10/2023,197.5,197.52,193.34,195.04,-2.38,-1.21%,1349541
01/09/2023,195.13,200.825,195.13,197.42,4.7,+2.44%,1681343
01/05/2023,193.08,193.2,190.76,192.72,0.56,+0.29%,673439
01/04/2023,191.46,193.86,190.76,192.16,-0.86,-0.45%,1296179
01/03/2023,191.84,194.84,191.54,193.02,1.56,+0.81%,717480
01/02/2023,189.38,191.72,189.16,191.46,3.12,+1.66%,475416
12/30/2022,189.63,190.4,188.34,188.34,-1.36,-0.72%,656648
12/29/2022,188.66,190.08,187.64,189.7,0.72,+0.38%,726439
12/28/2022,191.48,191.48,188.8,188.98,-2.28,-1.19%,683852
12/27/2022,190.7,191.9,190.48,191.26,1.72,+0.91%,489837
12/23/2022,188.88,190.22,188.18,189.54,1.02,+0.54%,482258
12/22/2022,191.42,192.14,188.22,188.52,-2.31,-1.21%,823970
12/21/2022,188.94,191.02,188.2,190.83,2.43,+1.29%,770733
12/20/2022,188.12,189.2,186.49,188.4,-1.26,-0.66%,1023750
12/19/2022,190.18,191.08,189.12,189.66,0.12,+0.06%,1119379
12/16/2022,191,192.66,189.12,189.54,-1.46,-0.76%,1850125
12/15/2022,194.56,195.22,190.9,191,-5.58,-2.84%,1728827
12/14/2022,198.04,198.26,195.22,196.58,-1.44,-0.73%,1521653
12/13/2022,193.8,199.12,193.7,198.02,4.88,+2.53%,2257328
12/12/2022,193.6,193.6,191.46,193.14,-1.18,-0.61%,1163206
12/09/2022,192.12,194.5,192.12,194.32,2.82,+1.47%,1447120
12/08/2022,191.5,192.56,190.69,191.5,-0.4,-0.21%,1264550
12/07/2022,192.4,192.74,190.26,191.9,-0.8,-0.42%,1248945
12/06/2022,193.9,194.54,192.38,192.7,-1.06,-0.55%,1134028
12/05/2022,192.94,194.48,191.89,193.76,0.46,+0.24%,1217120
12/02/2022,193.16,193.9,191.5,193.3,0.5,+0.26%,1254346
12/01/2022,193.52,194.02,191.18,192.8,1.02,+0.53%,1339398
11/30/2022,191.98,193.6,190.82,191.78,1.02,+0.53%,1723509
11/29/2022,191.6,192.4,190.5,190.76,0.32,+0.17%,2154445
11/28/2022,194.02,194.5,190.42,190.44,-4.64,-2.38%,1588466
11/25/2022,192.6,195.36,192.06,195.08,3.64,+1.90%,864337
11/24/2022,192.46,193.38,191.02,191.44,-0.92,-0.48%,1149387
11/23/2022,193.68,193.74,192.08,192.36,-0.78,-0.40%,1803052
11/22/2022,192.24,193.37,191.46,193.14,0.37,+0.19%,1538018
11/21/2022,191.5,193.18,191.2,192.77,0.55,+0.29%,976781
11/18/2022,190.26,193.22,190.26,192.22,3.48,+1.84%,1281353
11/17/2022,189.38,191.14,186.3,188.74,-0.46,-0.24%,1784989
11/16/2022,190.92,192.21,188.3,189.2,-2.33,-1.22%,2298825
11/15/2022,193,193.08,188.76,191.53,-0.67,-0.35%,1813383
11/14/2022,192.42,194.52,190.67,192.2,-0.24,-0.12%,2113527
11/11/2022,194.93,195.38,189.84,192.44,-1.43,-0.74%,2732366
11/10/2022,187.63,193.93,187.14,193.87,5.17,+2.74%,1767515
11/09/2022,187.3,189.76,187.3,188.7,0.69,+0.37%,1684975
11/08/2022,186.52,188.91,185.96,188.01,1.17,+0.63%,1553719
11/07/2022,184.78,187.96,183.72,186.84,1.3,+0.70%,1521145
11/04/2022,181.39,185.58,181.39,185.54,4.72,+2.61%,861339
11/03/2022,181.58,182.62,179.45,180.82,-2.34,-1.28%,1539297
11/02/2022,183,184.06,182.26,183.16,0.92,+0.50%,1535045
11/01/2022,182.02,184.7,181.84,182.24,1.48,+0.82%,1681125
10/31/2022,181.21,181.84,179.26,180.76,-0.56,-0.31%,1479666
10/28/2022,178.04,181.64,176.42,181.32,1.86,+1.04%,1806195
10/27/2022,177.16,179.94,177.06,179.46,2.26,+1.28%,1441694
10/26/2022,176.39,177.62,174.42,177.2,1.3,+0.74%,1745200
10/25/2022,174.38,175.92,172.18,175.9,2.72,+1.57%,1631941
10/24/2022,172.7,174,170.48,173.18,2.57,+1.51%,1051199
10/21/2022,167.76,171.26,166.7,170.61,1.31,+0.77%,2251791
10/20/2022,166.6,171.32,165.88,169.3,-7.36,-4.17%,4164151
10/19/2022,176.9,177.94,175.14,176.66,0.36,+0.20%,2173810
10/18/2022,173,177.4,171.16,176.3,5.72,+3.35%,3173070
10/17/2022,166.84,170.88,165.92,170.58,3.34,+2.00%,1783334
10/14/2022,168.96,170.22,166.3,167.24,-1.44,-0.85%,1653706
10/13/2022,164.16,169.38,163.24,168.68,4.62,+2.82%,2056291
10/12/2022,163.46,164.88,161.82,164.06,1.34,+0.82%,1294950
10/11/2022,162,163.26,160.06,162.72,0.12,+0.07%,1802948
10/10/2022,161.42,164.78,160.94,162.6,0.32,+0.20%,1014679
10/07/2022,165,166,161.68,162.28,-3.68,-2.22%,1134306
10/06/2022,165.36,167.26,164.78,165.96,0.94,+0.57%,1640861
10/05/2022,166.64,167.32,163.8,165.02,-1.42,-0.85%,1536136
10/04/2022,161.98,166.66,161.1,166.44,6.94,+4.35%,1951866
10/03/2022,156.56,159.86,154.46,159.5,1.42,+0.90%,1701611
09/30/2022,156.46,158.3,154.58,158.08,2.76,+1.78%,2328045
09/29/2022,159.2,159.2,154.24,155.32,-3.98,-2.50%,1790771
09/28/2022,157.58,159.3,154.6,159.3,1.02,+0.64%,2126524
09/27/2022,160.5,161.16,158.08,158.28,-0.48,-0.30%,1055738
09/26/2022,158.16,160.4,157.08,158.76,-0.56,-0.35%,1327438
09/23/2022,162.9,162.94,158.32,159.32,-3.08,-1.90%,1579596
09/22/2022,164,165,162.3,162.4,-4.06,-2.44%,1227386
09/21/2022,164.64,167.02,162.8,166.46,1.43,+0.87%,1870439
09/20/2022,168.17,169.88,164.66,165.03,-2.77,-1.65%,971187
09/19/2022,165.82,168.42,164.3,167.8,1.7,+1.02%,1012529
09/16/2022,168.28,168.53,165.06,166.1,-4.2,-2.47%,1883652
09/15/2022,167.66,173.26,167.66,170.3,2.76,+1.65%,1916659
09/14/2022,169.8,170.23,166.56,167.54,-3.91,-2.28%,1241137
09/13/2022,173.15,173.58,170.66,171.45,-1.18,-0.68%,1646910
09/12/2022,170,173.3,170,172.63,3.37,+1.99%,875706
09/09/2022,166.97,170.5,166.7,169.26,2.56,+1.54%,887570
09/08/2022,166.72,168.66,164.46,166.7,-0.04,-0.02%,1113237
09/07/2022,163.56,166.76,163.56,166.74,1.34,+0.81%,1519111
09/06/2022,165.3,167.42,163.86,165.4,-0.02,-0.01%,1191666
09/05/2022,165,166.38,163.84,165.42,-4.44,-2.61%,1396350
09/02/2022,165.34,169.9,164.46,169.86,5.7,+3.47%,829856
09/01/2022,167.9,168.24,164.04,164.16,-5.16,-3.05%,1239291
08/31/2022,172.5,172.72,168.74,169.32,-2.5,-1.46%,1061741
08/30/2022,171.1,174.82,170.88,171.82,1.22,+0.72%,733116
08/29/2022,170.16,171.26,167.2,170.6,-0.54,-0.32%,693628
08/26/2022,174.24,174.76,170.94,171.14,-1.92,-1.11%,979008
08/25/2022,174.88,175.56,172.74,173.06,-0.82,-0.47%,1044390
08/24/2022,173.3,174.04,171.34,173.88,-0.04,-0.02%,989695
08/23/2022,173,175.76,172.77,173.92,0.4,+0.23%,964749
08/22/2022,178,178.14,173.25,173.52,-5.28,-2.95%,1160114
08/19/2022,181.25,181.64,178.66,178.8,-3.21,-1.76%,1615437
08/18/2022,181.08,183.48,181.08,182.01,0.65,+0.36%,833597
08/17/2022,184.39,184.78,180.62,181.36,-2.68,-1.46%,1291545
08/16/2022,181.96,184.7,181.64,184.04,2.96,+1.63%,703127
08/15/2022,182.54,182.54,180.55,181.08,-1.88,-1.03%,612804
08/12/2022,183.28,184.3,182.14,182.96,0.46,+0.25%,572768
08/11/2022,184.74,185.18,181.62,182.5,-1.54,-0.84%,1248285
08/10/2022,178.52,184.26,178.46,184.04,4.82,+2.69%,1392603
08/09/2022,181,181.3,178.26,179.22,-2.44,-1.34%,994684
08/08/2022,181.74,183.04,180.96,181.66,1.58,+0.88%,939574
08/05/2022,182.52,182.66,179.44,180.08,-2.2,-1.21%,1058357
08/04/2022,181.46,183.57,181.04,182.28,1.18,+0.65%,1081195
08/03/2022,177.88,181.15,176.35,181.1,2.99,+1.68%,1782541
08/02/2022,179.62,180.78,176.83,178.11,-2.19,-1.21%,1500352
08/01/2022,181.84,182.44,178.6,180.3,-1.56,-0.86%,1220906
07/29/2022,179.98,181.94,179.56,181.86,2.92,+1.63%,1236914
07/28/2022,174.24,179.6,174.24,178.94,3.18,+1.81%,1620424
07/27/2022,176.19,177.42,175.56,175.76,1.66,+0.95%,786490
07/26/2022,177,177.46,173.66,174.1,-2.62,-1.48%,876158
07/25/2022,176.38,177.46,174.5,176.72,0.34,+0.19%,704886
07/22/2022,177.3,178.2,175.1,176.38,-0.58,-0.33%,1000808
07/21/2022,175.54,177.86,173.1,176.96,1.82,+1.04%,2102906
07/20/2022,177.2,177.4,173,175.14,-0.2,-0.11%,1965519
07/19/2022,173.04,175.9,166.2,175.34,6.3,+3.73%,3372933
07/18/2022,166.8,169.54,166.28,169.04,3.38,+2.04%,1594844
07/15/2022,163.98,166.52,163,165.66,1.98,+1.21%,2033863
07/14/2022,163.58,165.5,161.22,163.68,-1.32,-0.80%,1717758
07/13/2022,167.9,168.25,163.68,165,-3.65,-2.16%,1500193
07/12/2022,162.04,168.7,161.86,168.65,5.39,+3.30%,1302987
07/11/2022,165.72,166.06,162.18,163.26,-5.64,-3.34%,1328250
07/08/2022,165.98,169.67,165.1,168.9,3.24,+1.96%,1438372
07/07/2022,160.5,165.96,159.32,165.66,7.2,+4.54%,1618034
07/06/2022,156.9,159.34,156.11,158.46,3.46,+2.23%,1755520
07/05/2022,161.76,162.23,155,155,-5.4,-3.37%,1787215
07/04/2022,160.41,161.9,159.32,160.4,0.68,+0.43%,669408
07/01/2022,157.64,162.54,156.5,159.72,1.4,+0.88%,1392003
06/30/2022,162.06,162.66,156.72,158.32,-6,-3.65%,1700741
06/29/2022,162.22,165.4,161.96,164.32,-0.68,-0.41%,1366101
06/28/2022,166.4,168.38,164.72,165,-0.24,-0.15%,1297026
06/27/2022,160.68,166.12,160.24,165.24,7.96,+5.06%,1519711
06/23/2022,164.06,164.2,157.06,157.28,-6.6,-4.03%,1841567
06/22/2022,166,166.02,161.06,163.88,-3.64,-2.17%,1774394
06/21/2022,166.64,169.8,166.4,167.52,1.76,+1.06%,1390492
06/20/2022,166.02,166.18,163.3,165.76,0.3,+0.18%,1086499
06/17/2022,165.22,168.5,164.08,165.46,0.8,+0.49%,1704122
06/16/2022,169.38,169.86,164.24,164.66,-4.7,-2.78%,1452138
06/15/2022,167.9,170.92,166.52,169.36,4.82,+2.93%,1330449
06/14/2022,166.98,167.24,164.34,164.54,-0.64,-0.39%,1257170
06/13/2022,169.5,169.75,164.61,165.18,-5.94,-3.47%,2019228
06/10/2022,175,175.4,170.98,171.12,-4.42,-2.52%,1132892
06/09/2022,177.02,177.9,175.04,175.54,-2.12,-1.19%,978476
06/08/2022,179.3,179.98,176.59,177.66,-0.28,-0.16%,1019750
06/07/2022,180.04,181.3,176.16,177.94,-1.06,-0.59%,1600480
06/03/2022,180,180.4,177.64,179,0.1,+0.06%,907768
06/02/2022,176.34,178.96,175.98,178.9,3.24,+1.84%,1037996
06/01/2022,173.78,176.96,173.78,175.66,4.38,+2.56%,1738631
05/31/2022,172.64,173.3,171.16,171.28,-1.76,-1.02%,1373634
"Downloaded from Barchart.com as of 06-08-2023 05:01pm CDT"
