Time,Open,High,Low,Last,Change,%Chg,Volume
06/08/2023,3301,3341,3301,3328,14,+0.42%,1129055
06/07/2023,3357,3368,3314,3314,-44,-1.31%,462977
06/06/2023,3330,3363,3322,3358,17,+0.51%,438902
06/05/2023,3375,3383.789,3325,3341,-33,-0.98%,209781
06/02/2023,3324,3374,3320,3374,63,+1.90%,538422
06/01/2023,3304,3330.499,3289,3311,25,+0.76%,414908
05/31/2023,3293,3347,3265,3286,-21,-0.64%,2767116
05/30/2023,3272,3341,3266,3307,50,+1.54%,496656
05/26/2023,3289,3289,3235,3257,-15,-0.46%,767409
05/25/2023,3240,3295,3200,3272,-8,-0.24%,608268
05/24/2023,3303,3303.5,3230.634,3280,-50,-1.50%,774525
05/23/2023,3310,3360.515,3292,3330,12,+0.36%,507775
05/22/2023,3291,3334,3272.847,3318,12,+0.36%,1140705
05/19/2023,3287,3321.499,3263,3306,3,+0.09%,869925
05/18/2023,3314,3323,3292,3303,22,+0.67%,294043
05/17/2023,3259,3293,3244,3281,13,+0.40%,273119
05/16/2023,3260,3281,3247,3268,6,+0.18%,354650
05/15/2023,3221,3262,3216,3262,52,+1.62%,267904
05/12/2023,3261,3276,3209,3210,-36,-1.11%,3962002
05/11/2023,3246,3275.13,3227,3246,4,+0.12%,338237
05/10/2023,3289,3310,3242,3242,-39,-1.19%,297103
05/09/2023,3245,3289,3241,3281,28,+0.86%,590110
05/05/2023,3230,3265,3217.254,3253,15,+0.46%,366500
05/04/2023,3274,3280.088,3229,3238,-35,-1.07%,736395
05/03/2023,3277,3300,3248,3273,14,+0.43%,1130829
05/02/2023,3256,3310,3238,3259,12,+0.37%,1277501
04/28/2023,3196,3260,3180,3247,55,+1.72%,622127
04/27/2023,3268,3269,3192,3192,-69,-2.12%,788459
04/26/2023,3295,3295,3198.989,3261,2,+0.06%,2396534
04/25/2023,3266,3322.339,3212,3259,133,+4.25%,822983
04/24/2023,3147,3151,3112,3126,1,+0.03%,970510
04/21/2023,3060,3125,3060,3125,47,+1.53%,413690
04/20/2023,3137,3137,3078,3078,-50,-1.60%,1091329
04/19/2023,3117,3133,3109,3128,-3,-0.10%,329648
04/18/2023,3129,3148,3114,3131,11,+0.35%,367643
04/17/2023,3093,3120,3086,3120,34,+1.10%,543254
04/14/2023,3046,3103.559,3021,3086,70,+2.32%,734340
04/13/2023,2980,3027,2978.111,3016,37,+1.24%,1030445
04/12/2023,3001,3009,2967,2979,-22,-0.73%,2458605
04/11/2023,2993,3034,2989,3001,13,+0.44%,1259754
04/06/2023,2927,3004,2927,2988,58,+1.98%,261632
04/05/2023,2939,2947,2900,2930,1,+0.03%,402206
04/04/2023,2983,3004,2929,2929,-34,-1.15%,280890
04/03/2023,2985,2995.75,2956,2963,-24,-0.80%,1064961
03/31/2023,2963,2995,2946,2987,26,+0.88%,549245
03/30/2023,2904,2971.44,2891,2961,75,+2.60%,319066
03/29/2023,2864,2896,2855,2886,31,+1.09%,270244
03/28/2023,2854,2855,2817,2855,16,+0.56%,529319
03/27/2023,2851,2851,2815,2839,22,+0.78%,973658
03/24/2023,2867,2877.154,2789,2817,-72,-2.49%,395260
03/23/2023,2923,2926,2882,2889,-41,-1.40%,615923
03/22/2023,2934,2946,2919.66,2930,-11,-0.37%,487293
03/21/2023,2849,2941,2849,2941,97,+3.41%,668937
03/20/2023,2781,2860,2756,2844,40,+1.43%,421302
03/17/2023,2879,2909.2,2790.402,2804,-67,-2.33%,968561
03/16/2023,2841,2874,2809,2871,60,+2.13%,656250
03/15/2023,2901,2906,2768,2811,-105,-3.60%,818404
03/14/2023,2853,2920,2821,2916,64,+2.24%,526287
03/13/2023,2992,2995,2852,2852,-138,-4.62%,1345066
03/10/2023,3027,3027,2951.4,2990,-76,-2.48%,342481
03/09/2023,3076,3080,3035,3066,-13,-0.42%,296480
03/08/2023,3087,3095,3059,3079,-19,-0.61%,856686
03/07/2023,3109,3119,3093,3098,-17,-0.55%,322233
03/06/2023,3079,3115,3068,3115,39,+1.27%,335209
03/03/2023,3082,3090,3063,3076,1,+0.03%,659148
03/02/2023,3044,3089,3036,3075,22,+0.72%,273761
03/01/2023,3078,3080,3048,3053,-36,-1.17%,457979
02/28/2023,3148,3148,3088,3089,-55,-1.75%,847883
